frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.749173,1.980292,17.009237,0.962813,12.609121,33.330343,2.012895,2.324944,8.852854,1.146352,1.722046,1.858883,84,18105,0,0
121,0,2.767056,1.974128,16.657349,1.024139,12.909041,33.357585,2.211989,2.246558,8.544061,1.195421,1.514333,1.757334,84,18105,0,0
122,0,2.751004,1.983324,16.838888,0.967166,12.732676,33.289734,2.050001,2.311591,8.732259,1.199378,1.512204,1.813029,84,18105,0,0
123,0,2.758002,1.952786,16.789029,0.963911,12.816389,33.327332,2.147017,2.279270,8.607466,1.153120,1.554274,1.705427,84,18105,0,0
124,0,2.807990,2.008226,16.875997,0.964481,12.679372,33.327840,2.217448,2.333652,8.425981,1.083700,1.464871,1.775360,84,18105,0,0
125,0,2.758898,1.991421,16.780843,0.966916,12.820431,33.327087,2.181142,2.322801,8.603441,1.193244,1.582255,1.768287,84,18105,0,0
126,0,2.763943,1.979160,16.879747,0.964630,12.686764,33.295085,2.168552,2.292565,8.481272,1.134779,1.479675,1.731879,84,18105,0,0
127,0,2.731167,1.925686,16.900655,0.966441,12.728356,33.326619,2.178982,2.195190,8.886359,1.190077,1.501906,1.859870,84,18105,0,0
128,0,2.762987,1.993707,16.860453,0.971242,12.732751,33.327433,2.270738,2.284604,8.364916,1.212134,1.483297,1.727844,84,18105,0,0
129,0,2.793220,1.996202,16.813687,0.972083,12.748281,33.327271,2.230465,2.200589,8.504150,1.230730,1.591675,1.747504,84,18105,0,0
130,0,2.794156,1.990099,16.886108,0.967689,12.679399,33.327352,2.062883,2.462453,8.569465,1.226874,1.547350,1.771678,84,18105,0,0
131,0,2.760247,1.989468,16.811476,0.964705,12.790578,33.327006,2.044701,2.186696,8.524105,1.241428,1.426371,1.736043,84,18105,0,0
132,0,2.789218,1.990309,16.833354,0.987674,12.738081,33.348328,2.147078,2.242801,8.514048,1.229343,1.564711,1.708672,84,18105,0,0
133,0,2.761603,1.993863,16.787903,0.964169,12.792396,33.306071,2.098090,2.328047,8.640625,1.236399,1.523522,1.777544,84,18105,0,0
134,0,2.803087,1.988288,16.796855,0.996646,12.730764,33.327352,2.216322,2.370534,8.496050,1.231652,1.472324,1.759243,84,18105,0,0
135,0,2.753079,1.982551,16.825562,0.967763,12.780806,33.327209,1.950328,2.435730,8.581289,1.076599,1.456974,1.720818,84,18105,0,0
136,0,2.762092,1.996589,16.855835,0.983341,12.748647,33.349915,2.155836,2.278904,8.566986,1.303931,1.596937,1.749620,84,18105,0,0
137,0,2.786282,1.985284,16.731323,0.959958,12.820167,33.297729,2.120046,2.261854,8.484558,1.113393,1.579115,1.746362,84,18105,0,0
138,0,2.800483,1.954556,16.835775,0.995385,12.695730,33.327372,2.235338,2.274217,8.362596,1.068132,1.492445,1.789507,84,18105,0,0
139,0,2.789558,1.961778,16.796244,0.965688,12.775007,33.326497,2.273895,2.246073,8.411184,1.297404,1.504618,1.701077,84,18105,0,0
140,0,2.752163,1.987983,16.936768,0.988895,12.668304,33.346130,2.271406,2.252943,8.622233,1.325921,1.432102,1.716156,84,18105,0,0
141,0,2.746752,1.979499,16.852417,0.963640,12.745195,33.308004,2.062778,2.475959,8.482781,1.188677,1.564955,1.798733,84,18105,0,0
142,0,2.821730,1.987210,16.783834,0.994843,12.727380,33.327786,2.214800,2.296482,8.511010,1.113580,1.491930,1.777598,84,18105,0,0
143,0,2.763007,1.993890,16.924581,0.966943,12.672312,33.326843,2.190816,2.386366,8.636247,1.197303,1.459839,1.803114,84,18105,0,0
144,0,2.789110,1.991136,16.870585,0.993066,12.700999,33.353760,2.187242,2.204807,8.596992,1.239889,1.481466,1.771912,84,18105,0,0
145,0,2.749498,1.982632,16.670797,0.964990,12.914235,33.299520,2.189338,2.201735,8.454990,1.113508,1.576891,1.758114,84,18105,0,0
146,0,2.779772,1.934055,16.873779,0.963667,12.709442,33.326660,2.148543,2.365526,8.487922,1.134071,1.546305,1.793447,84,18105,0,0
147,0,2.762600,1.930630,16.773783,0.966170,12.824656,33.327209,2.160417,2.281674,8.550028,1.198608,1.476251,1.705855,84,18105,0,0
148,0,2.768053,1.998603,16.987223,0.970910,12.619090,33.345276,2.221941,2.283220,8.654582,1.154900,1.642931,1.771183,84,18105,0,0
149,0,2.777656,1.983019,16.791097,0.964888,12.776133,33.309774,2.146549,2.239204,8.660875,1.189521,1.585049,1.914107,84,18105,0,0
