frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.822852,2.021301,28.041853,1.014299,8.085676,39.964681,2.559421,3.153381,16.060388,2.022725,2.320797,5.954810,132,45633,0,0
121,0,2.811642,1.980408,23.764652,1.016212,12.371891,39.964396,2.222422,2.491106,13.338915,1.709486,1.777991,5.027930,106,35061,0,0
122,0,2.851539,2.006002,28.050947,1.022295,8.038985,39.963765,2.659414,3.027300,16.109762,1.934092,2.331407,6.026215,132,45633,0,0
123,0,2.830075,2.031413,24.001875,1.017982,12.103845,39.953776,2.279453,2.558628,13.542653,1.640506,2.001967,5.006571,106,35061,0,0
124,0,2.816850,2.015503,28.049991,1.013513,8.063921,39.944275,2.609185,2.906247,16.221076,1.990662,2.278826,6.123545,132,45633,0,0
125,0,2.842099,1.982849,23.792525,1.019263,12.309838,39.963725,2.187978,2.444139,13.426392,1.684458,1.949025,4.903470,106,35061,0,0
126,0,2.847422,1.975464,28.213023,1.014448,7.888953,39.963847,2.686327,2.936978,16.177175,2.052205,2.242286,6.127743,132,45633,0,0
127,0,2.859344,2.006836,23.992686,1.021318,12.090173,39.963521,2.205085,2.744639,13.344520,1.641449,1.991255,4.888513,106,35061,0,0
128,0,2.847836,2.020426,28.139306,1.020023,7.956702,39.963867,2.593350,2.959791,16.319628,2.033922,2.421339,6.119347,132,45633,0,0
129,0,2.808156,2.007955,23.883881,1.017663,12.254086,39.963786,2.253635,2.497470,13.355804,1.557237,2.047723,4.919084,106,35061,0,0
130,0,2.873376,2.014811,28.126550,1.020179,7.943648,39.963752,2.714617,3.065203,16.049428,2.039463,2.313307,5.909142,132,45633,0,0
131,0,2.872386,2.005147,23.916758,1.027367,12.140825,39.957336,2.205319,2.516632,13.325348,1.630897,1.860857,4.935001,106,35061,0,0
132,0,2.827816,2.026794,28.094221,1.013424,8.028588,39.964050,2.610460,2.929121,16.122742,1.903697,2.552599,6.074690,132,45633,0,0
133,0,2.850989,2.023580,24.042525,1.018823,12.051348,39.963684,2.195753,2.474257,13.780514,1.756629,1.970486,5.078044,106,35061,0,0
134,0,2.846975,2.013448,28.255056,1.020186,7.841875,39.964091,2.843231,2.962009,15.983653,2.042704,2.370772,5.979750,132,45633,0,0
135,0,2.827857,1.996765,24.018456,1.016761,12.100895,39.963969,2.190186,2.420478,13.562904,1.682312,1.999729,5.021484,106,35061,0,0
136,0,2.865089,2.035380,28.096378,1.045881,7.956519,39.963867,2.594686,2.994995,16.027998,2.018090,2.316613,5.968282,132,45633,0,0
137,0,2.819495,2.018819,23.864126,1.047496,12.233036,39.964152,2.172801,2.440599,13.608619,1.700531,1.979801,5.236789,106,35061,0,0
138,0,2.842092,2.010864,28.133718,1.017541,7.970334,39.963684,2.653920,2.866431,16.174862,2.019992,2.208849,5.964562,132,45633,0,0
139,0,2.845191,2.012105,23.783735,1.022179,12.281999,39.933105,2.143548,2.606293,13.272976,1.630829,1.892809,4.953718,106,35061,0,0
140,0,2.821774,2.019307,28.072513,1.015398,8.053877,39.963562,2.726935,3.119690,15.803033,1.973409,2.305247,5.988024,132,45633,0,0
141,0,2.822852,2.020691,23.801497,1.020125,12.319577,39.964050,2.082411,2.476512,13.484860,1.706126,1.851973,5.039880,106,35061,0,0
142,0,2.872637,2.010071,28.125329,1.018599,7.947832,39.964396,2.669586,2.912428,16.218814,2.018019,2.365862,5.981333,132,45633,0,0
143,0,2.798560,1.998352,24.008996,1.016015,12.108232,39.931803,2.260630,2.489136,13.577698,1.623376,1.943203,4.969503,106,35061,0,0
144,0,2.822934,2.022257,28.035790,1.044376,8.054135,39.957235,2.420353,2.866496,16.361420,2.123867,2.304976,6.022664,132,45633,0,0
145,0,2.882321,1.980632,23.819197,1.019263,12.243798,39.964579,2.151198,2.550880,13.463121,1.659468,1.843638,4.988261,106,35061,0,0
146,0,2.835019,2.002747,28.199304,1.022546,7.906552,39.963420,2.646664,2.905558,16.288900,1.986582,2.430728,5.940447,132,45633,0,0
147,0,2.816728,2.017192,24.010888,1.045597,12.060625,39.933838,2.187636,2.547302,13.603926,1.671722,1.965790,5.006829,106,35061,0,0
148,0,2.831526,2.002380,28.330387,1.020267,7.782020,39.964199,2.743503,3.060377,16.303847,2.007653,2.362125,6.226264,132,45633,0,0
