frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.970161,2.032023,28.481035,1.021776,7.491177,39.964149,2.613095,3.110491,16.529365,2.053399,2.316640,6.198266,133,46247,0,0
121,0,3.050910,2.057861,24.086694,1.016724,11.809150,39.963477,2.212918,2.523627,13.721585,1.613203,1.895677,5.067315,107,35675,0,0
122,0,2.999674,2.041246,28.168894,1.047675,7.791680,40.007924,2.706679,2.916094,16.329586,1.944265,2.288428,6.082862,133,46247,0,0
123,0,2.975715,2.039937,24.597938,1.013292,11.315213,39.902157,2.485904,2.563449,13.727000,1.645823,1.952701,5.106527,107,35675,0,0
124,0,3.050585,2.055650,28.388628,1.019063,7.504910,39.963186,2.738939,2.969496,16.295919,2.097690,2.351057,6.030643,133,46247,0,0
125,0,3.003649,2.030260,24.109372,1.015951,11.838962,39.967933,2.161913,2.544247,13.645318,1.620856,1.897817,4.986915,107,35675,0,0
126,0,3.026923,2.061937,28.394691,1.038527,7.523939,39.984080,2.790168,2.904433,16.516663,2.060649,2.459920,6.171065,133,46247,0,0
127,0,3.003750,2.037374,24.141985,1.018887,11.757392,39.922014,2.199710,2.474694,13.581638,1.647007,1.939284,5.109222,107,35675,0,0
128,0,3.002224,2.035278,28.243554,1.043593,7.702623,39.991994,2.696652,2.994948,16.378903,1.928894,2.426385,6.016425,133,46247,0,0
129,0,3.000027,2.037394,23.965552,1.014011,11.954949,39.934540,2.177168,2.403863,13.810757,1.806176,1.911248,5.081350,107,35675,0,0
130,0,3.006070,2.036709,28.475257,1.017924,7.463081,39.962331,2.685886,3.084727,16.413110,2.129496,2.459391,6.121731,133,46247,0,0
131,0,3.017456,1.993896,24.172407,1.016954,11.749844,39.956662,2.126634,2.673645,13.673537,1.610918,1.962897,5.114299,107,35675,0,0
132,0,2.996358,2.034899,28.261736,1.013780,7.658373,39.930247,2.563921,3.036279,16.462290,2.011834,2.499858,6.132304,133,46247,0,0
133,0,3.025194,2.034668,24.068132,1.017598,11.858575,39.969499,2.284783,2.398129,13.679796,1.690253,2.044898,5.096893,107,35675,0,0
134,0,2.973456,2.036560,28.370202,1.015781,7.597114,39.956553,2.691230,3.007026,16.275323,1.973914,2.360592,6.071587,133,46247,0,0
