frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.814138,1.942885,27.843221,1.020986,8.284936,39.963281,2.805796,3.146918,15.503767,2.050361,2.259508,5.762051,130,42691,0,0
121,0,2.835676,2.007229,23.763285,1.030019,12.304711,39.933692,2.358541,2.854401,12.829139,1.717702,1.830224,4.757653,104,32119,0,0
122,0,2.801565,2.003676,28.019762,1.020131,8.121558,39.963016,2.742011,3.252289,15.400706,2.012210,2.306105,5.713108,130,42691,0,0
123,0,2.799422,2.000529,23.771125,1.020816,12.371484,39.962847,2.361125,2.690457,12.873603,1.683797,1.966960,4.813636,104,32119,0,0
124,0,2.858490,2.002543,27.996589,1.021698,8.104672,39.981449,2.917891,3.120243,15.661211,2.124624,2.423472,5.857558,130,42691,0,0
125,0,2.793562,1.996887,23.846931,1.020471,12.283308,39.944272,2.172977,2.712663,12.969883,1.730238,1.935059,4.617381,104,32119,0,0
126,0,2.852746,1.963291,28.144090,1.027490,7.938277,39.962602,2.832126,3.204437,15.732069,2.224243,2.458086,5.770518,130,42691,0,0
127,0,2.838023,2.005141,23.895881,1.041589,12.204593,39.980086,2.339067,2.850491,12.970239,1.741716,1.994351,4.759304,104,32119,0,0
128,0,2.804535,2.008070,27.905362,1.020145,8.216536,39.946577,2.768538,2.992320,15.805701,2.250800,2.206085,5.751451,130,42691,0,0
129,0,2.840647,2.014818,23.810574,1.025075,12.286109,39.962406,2.329105,2.775319,12.854855,1.652242,1.861321,4.733799,104,32119,0,0
130,0,2.826162,1.996562,28.066413,1.022505,8.047977,39.963057,2.704766,3.276398,15.520247,2.068665,2.292667,5.914252,130,42691,0,0
131,0,2.791087,1.993117,23.540799,1.022139,12.572798,39.926822,2.278046,2.700273,12.836002,1.859270,1.873874,4.703868,104,32119,0,0
132,0,2.812266,2.004544,28.008755,1.022736,8.119056,39.962813,2.756327,3.021210,15.835829,2.026737,2.405440,5.678284,130,42691,0,0
133,0,2.797367,1.966492,23.779182,1.075043,12.337053,39.988644,2.350864,2.774902,12.854289,1.635115,1.907125,4.837545,104,32119,0,0
134,0,2.793203,1.999485,28.015449,1.022390,8.106157,39.937198,2.737240,3.020552,15.932688,2.129537,2.388255,5.948561,130,42691,0,0
135,0,2.833974,2.007378,23.777066,1.024295,12.327498,39.962833,2.326355,2.753404,12.844832,1.775730,1.827009,4.631070,104,32119,0,0
136,0,2.837324,1.968289,27.949612,1.052046,8.123803,39.962786,2.677341,3.179698,15.723694,2.094184,2.365689,5.777103,130,42691,0,0
137,0,2.818553,1.986437,23.820482,1.020898,12.303104,39.963036,2.321448,2.771471,12.992089,1.920936,1.842790,4.764747,104,32119,0,0
138,0,2.841414,2.013692,27.861660,1.018538,8.241316,39.962928,2.694156,3.187937,15.480350,2.081187,2.302812,5.787130,130,42691,0,0
139,0,2.802602,2.004503,23.785448,1.020050,12.355242,39.963342,2.419756,2.712446,12.793810,1.727010,1.942451,4.728977,104,32119,0,0
140,0,2.805695,1.980489,27.774726,1.020660,8.368832,39.969913,2.884762,3.156949,15.344774,2.081909,2.297373,5.736535,130,42691,0,0
141,0,2.830448,2.004517,23.802538,1.026432,12.296207,39.955624,2.287442,2.728482,12.928982,1.739122,1.868113,4.644725,104,32119,0,0
142,0,2.836070,1.966871,27.889615,1.022064,8.214718,39.962467,2.741106,3.168291,15.362522,2.060174,2.301656,5.739814,130,42691,0,0
143,0,2.840946,2.007806,23.878160,1.024180,12.219906,39.963192,2.367455,2.643239,13.114305,1.845089,1.896817,4.719784,104,32119,0,0
144,0,2.838342,2.010213,27.870816,1.025930,8.220944,39.956031,2.734534,3.139279,15.540032,2.131721,2.336802,5.769274,130,42691,0,0
145,0,2.804454,2.005181,23.783413,1.020532,12.355065,39.963464,2.405897,2.872772,12.714878,1.640001,2.004601,4.726488,104,32119,0,0
146,0,2.821150,1.996379,27.781460,1.038740,8.340702,39.982052,2.875241,3.161855,15.328569,2.015096,2.288157,5.679172,130,42691,0,0
147,0,2.828332,2.002489,23.713325,1.026242,12.375397,39.943295,2.368625,2.766930,12.660906,1.637973,1.887648,4.717424,104,32119,0,0
148,0,2.800012,2.002319,28.018114,1.021264,8.123457,39.962847,2.841661,3.181827,15.560655,2.149350,2.398363,5.781206,130,42691,0,0
149,0,2.858443,1.977153,23.833727,1.044973,12.245012,39.982154,2.305996,2.717821,13.157277,1.841787,1.829329,4.709374,104,32119,0,0
150,0,2.805688,2.008016,27.964138,1.049828,8.150923,39.970578,2.770959,3.231005,15.483897,1.976912,2.254154,5.845456,130,42691,0,0
151,0,2.803782,2.007853,23.841315,1.022383,12.268945,39.936425,2.296892,2.839725,12.843553,1.694706,1.866421,4.757623,104,32119,0,0
152,0,2.850698,2.005168,28.052823,1.025238,8.034136,39.962894,2.907396,3.232293,15.603207,2.170861,2.254747,5.833567,130,42691,0,0
153,0,2.810516,2.013936,23.769023,1.050479,12.330529,39.960548,2.291534,2.524733,13.197066,1.797950,1.962433,4.721212,104,32119,0,0
154,0,2.812246,2.015951,28.006110,1.020599,8.098772,39.937727,2.845520,3.230123,15.419698,2.081153,2.214610,5.831940,130,42691,0,0
155,0,2.880571,1.980808,23.657389,1.068526,12.381066,39.987552,2.348277,2.860324,12.583978,1.612678,1.821438,4.652191,104,32119,0,0
156,0,2.807566,2.012112,28.018012,1.019982,8.098250,39.943810,2.814741,2.939640,15.827986,2.210388,2.441908,5.824524,130,42691,0,0
157,0,2.787140,1.991245,23.854601,1.019352,12.289168,39.950260,2.256975,2.943488,12.879974,1.653225,1.897295,4.733046,104,32119,0,0
158,0,2.877221,2.020996,28.087511,1.026839,7.971378,39.962948,2.781921,3.151374,15.658095,2.038954,2.330556,5.853156,130,42691,0,0
159,0,2.845713,2.015035,23.826945,1.024913,12.277632,39.975203,2.335988,2.749098,12.951263,1.753235,1.878333,4.781128,104,32119,0,0
160,0,2.781362,1.983392,28.034431,1.018355,8.116662,39.950809,2.789503,3.065823,15.616594,2.112488,2.230472,5.746155,130,42691,0,0
161,0,2.819990,1.964532,23.739366,1.044647,12.358558,39.962562,2.306580,2.748250,12.856371,1.704329,1.819455,4.686961,104,32119,0,0
162,0,2.841543,2.017192,28.089417,1.045848,8.020938,39.997745,2.782579,3.267700,15.649173,1.953261,2.468998,5.867167,130,42691,0,0
163,0,2.801598,2.004571,23.793443,1.024051,12.309248,39.928341,2.167884,2.688972,13.035055,1.915354,1.924360,4.715129,104,32119,0,0
164,0,2.833201,1.977593,27.977159,1.025882,8.126651,39.962894,2.685618,3.207123,15.754086,2.189697,2.389286,5.679318,130,42691,0,0
165,0,2.814056,1.945285,23.709642,1.040978,12.417952,39.982629,2.366879,2.920851,12.616733,1.596575,1.902313,4.692874,104,32119,0,0
166,0,2.810577,2.013292,27.978522,1.027998,8.126183,39.943281,2.725488,3.031589,15.857144,2.073771,2.488024,5.798357,130,42691,0,0
167,0,2.802046,2.006097,23.841946,1.022363,12.296634,39.962989,2.218547,2.820845,12.782257,1.642649,1.990974,4.696859,104,32119,0,0
168,0,2.810774,1.942586,27.900743,1.017582,8.233320,39.962419,2.808760,3.199541,15.489919,2.039229,2.314728,5.809716,130,42691,0,0
