frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.795549,1.997036,28.372325,1.023539,7.772970,39.964383,2.782138,3.244222,15.829736,2.329553,2.274967,5.737281,130,45041,0,0
121,0,2.850898,1.980042,24.106628,1.045980,11.988993,39.992499,2.294857,2.732012,13.182007,1.916626,1.875251,4.637302,104,34469,0,0
122,0,2.843299,2.019586,28.216888,1.043654,7.830838,39.934679,2.809333,3.192010,15.714559,2.138753,2.347365,5.761512,130,45041,0,0
123,0,2.813107,2.016351,23.958140,1.067674,12.124695,39.963616,2.313436,2.750322,12.968818,1.841064,1.840854,4.650838,104,34469,0,0
124,0,2.810747,1.979472,28.478200,1.019043,7.655355,39.963345,2.713742,3.256334,15.977254,2.176663,2.366370,5.759023,130,45041,0,0
125,0,2.857174,2.006253,24.129506,1.017449,11.972276,39.976407,2.407376,2.881165,13.086677,1.695997,1.802636,4.692786,104,34469,0,0
126,0,2.853485,2.019538,28.264767,1.043335,7.789069,39.950656,2.612159,3.208004,15.885827,2.269511,2.357727,5.723741,130,45041,0,0
127,0,2.830014,2.031623,24.162893,1.012892,11.957282,39.963081,2.313649,2.918949,13.010657,1.726518,1.894155,4.697954,104,34469,0,0
128,0,2.849708,1.989855,28.312517,1.017436,7.784017,39.963677,2.805186,3.245531,15.762034,2.106744,2.336548,5.804186,130,45041,0,0
129,0,2.812436,2.013787,24.166880,1.049486,11.903293,39.932095,2.361111,2.835914,13.083971,1.979004,1.918572,4.727688,104,34469,0,0
130,0,2.824995,2.025730,28.333072,1.015333,7.790025,39.963426,2.779880,3.214132,15.926324,2.294820,2.403459,5.744673,130,45041,0,0
131,0,2.850772,2.024997,24.128774,1.021091,11.955939,39.956577,2.368676,2.675483,13.144867,1.740411,1.919437,4.703830,104,34469,0,0
132,0,2.875505,2.006761,28.262482,1.050551,7.804877,39.993415,2.732246,3.107435,15.819736,2.116225,2.349504,5.762268,130,45041,0,0
133,0,2.794166,1.998162,24.201650,1.023810,11.913940,39.933567,2.362556,2.673933,13.269385,1.938209,1.841105,4.805589,104,34469,0,0
134,0,2.851274,2.027418,28.298655,1.018195,7.795403,39.963528,2.539093,3.317315,15.962158,2.275282,2.440342,5.791958,130,45041,0,0
135,0,2.848385,1.974860,24.032583,1.021654,12.072503,39.975125,2.215868,2.801727,12.972070,1.686907,1.868615,4.724542,104,34469,0,0
136,0,2.844194,2.016697,28.189952,1.047879,7.869826,39.951850,2.682716,3.286177,15.757199,2.237281,2.416436,5.735270,130,45041,0,0
137,0,2.822038,2.024163,24.217743,1.015883,11.927355,39.983019,2.301005,2.696828,13.240265,1.879991,1.932237,4.665877,104,34469,0,0
138,0,2.853553,1.982388,28.362742,1.049391,7.678413,39.944099,2.692213,3.213396,15.828830,2.184845,2.329481,5.781148,130,45041,0,0
139,0,2.848324,1.991631,24.016958,1.020311,12.077955,39.963548,2.254350,2.786882,13.053653,1.754211,1.845954,4.688460,104,34469,0,0
140,0,2.819027,2.018297,28.347870,1.041063,7.778293,39.986254,2.950046,3.188507,15.939392,2.184357,2.303043,5.776150,130,45041,0,0
141,0,2.821754,2.023573,23.818024,1.041477,12.259352,39.940606,2.218699,2.692980,13.059184,1.784783,1.866004,4.671658,104,34469,0,0
142,0,2.845625,2.001112,28.343272,1.073337,7.731737,39.993971,2.629788,3.452009,15.807278,2.146803,2.293335,5.824273,130,45041,0,0
143,0,2.822730,2.025845,24.206146,1.016724,11.897298,39.942898,2.196869,2.703705,13.280619,1.927202,1.769348,4.849918,104,34469,0,0
144,0,2.815535,2.015998,28.442271,1.017849,7.670505,39.946160,2.510471,3.337840,15.901130,2.205580,2.346768,5.822906,130,45041,0,0
145,0,2.887204,1.989760,24.125417,1.052171,11.928304,39.993096,2.146878,2.882633,13.244961,1.855601,1.868961,4.699880,104,34469,0,0
146,0,2.820126,2.023960,28.191233,1.017531,7.905199,39.934089,2.726288,3.114376,15.792413,2.235982,2.330577,5.757046,130,45041,0,0
147,0,2.814694,2.019151,23.940297,1.023587,12.184950,39.963528,2.280582,2.650004,13.178874,1.827135,1.815108,4.596046,104,34469,0,0
148,0,2.892331,1.990065,28.391022,1.018114,7.661682,39.963148,2.648288,3.365153,15.898102,2.022892,2.222829,5.728750,130,45041,0,0
149,0,2.834164,2.000353,24.140594,1.020257,11.983487,39.978502,2.278683,2.768975,13.169139,1.953505,1.968028,4.713498,104,34469,0,0
150,0,2.829207,2.032545,28.381154,1.013855,7.724548,39.948764,2.810411,3.254493,15.871925,2.140635,2.368808,5.845323,130,45041,0,0
151,0,2.845537,2.014594,24.149587,1.015632,11.953118,39.963874,2.239414,2.721547,13.195858,1.808451,1.844547,4.751950,104,34469,0,0
152,0,2.822595,1.989841,28.326772,1.039476,7.774245,39.963087,2.874271,3.332787,15.761522,2.258674,2.256554,5.719262,130,45041,0,0
153,0,2.803341,2.005296,24.058828,1.044189,12.026903,39.933261,2.314480,2.744931,13.263387,1.932682,2.021159,4.648282,104,34469,0,0
154,0,2.845374,2.016554,28.285824,1.018595,7.813816,39.963609,2.668464,3.391235,15.876312,2.246582,2.307146,5.556481,130,45041,0,0
155,0,2.814355,2.016608,24.203257,1.021790,11.924113,39.963515,2.402212,2.881636,13.059275,1.851261,1.877560,4.749122,104,34469,0,0
156,0,2.841936,2.009488,28.296539,1.047906,7.795417,39.981798,2.681841,3.320458,15.792033,2.110118,2.371575,5.748047,130,45041,0,0
157,0,2.836856,2.018745,23.972951,1.049825,12.078491,39.938124,2.380666,2.887855,13.019070,1.863559,1.967689,4.529439,104,34469,0,0
158,0,2.823551,2.024421,28.275706,1.043918,7.820238,39.963413,2.742805,3.218848,15.925571,2.065891,2.403127,5.715559,130,45041,0,0
159,0,2.841597,1.974358,23.919010,1.020928,12.181932,39.963467,2.163106,2.808614,13.110799,1.832631,1.768121,4.532749,104,34469,0,0
160,0,2.825524,2.004666,28.387970,1.018812,7.731717,39.964023,2.821370,3.185828,15.961934,2.245755,2.433695,5.808116,130,45041,0,0
