frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.803585,2.008280,27.634911,1.017836,8.480618,39.936951,2.537025,2.864024,15.861332,1.962684,2.350040,6.080393,132,43283,0,0
121,0,2.811391,2.009277,23.406172,1.017436,12.728516,39.963515,2.145060,2.376278,13.275238,1.654965,1.785204,5.068688,106,32711,0,0
122,0,2.802087,1.973721,27.770762,1.016385,8.374464,39.963698,2.564884,2.925056,15.732418,1.894748,2.352481,5.870076,132,43283,0,0
123,0,2.837107,2.007406,23.565840,1.014370,12.562880,39.980197,2.197764,2.434865,13.255741,1.572306,1.867299,5.059462,106,32711,0,0
124,0,2.825226,2.009074,27.609589,1.035068,8.476095,39.945977,2.659824,2.755666,16.073286,2.113953,2.237152,6.076138,132,43283,0,0
125,0,2.807017,2.013529,23.606449,1.016873,12.532871,39.963209,2.162157,2.531406,13.455170,1.664296,1.898729,5.058590,106,32711,0,0
126,0,2.826209,1.956401,27.766110,1.015544,8.355570,39.963433,2.610012,2.931847,15.952613,2.007948,2.211962,6.056393,132,43283,0,0
127,0,2.858375,2.006110,23.430423,1.018053,12.656162,39.963013,2.223002,2.456085,13.264014,1.600315,1.931003,4.996039,106,32711,0,0
128,0,2.809479,2.012790,27.801598,1.016995,8.335693,39.963765,2.652174,2.947171,16.141836,2.086456,2.417287,6.161435,132,43283,0,0
129,0,2.805966,2.010613,23.538584,1.017103,12.601461,39.963114,2.180705,2.453586,13.270677,1.490570,1.978621,5.081835,106,32711,0,0
130,0,2.827348,2.000264,27.665938,1.018073,8.469109,39.980469,2.637431,2.924042,15.666972,1.911099,2.289062,6.039307,132,43283,0,0
131,0,2.814565,2.020813,23.455448,1.017904,12.651388,39.939304,2.190436,2.213213,13.461056,1.657416,1.865872,5.104584,106,32711,0,0
132,0,2.819550,1.995789,27.712996,1.018826,8.411268,39.962640,2.609016,2.916612,15.899634,1.839630,2.423455,5.962192,132,43283,0,0
133,0,2.839488,1.971903,23.568953,1.045024,12.538310,39.991774,1.972175,2.405056,13.339695,1.694977,1.961097,5.015995,106,32711,0,0
134,0,2.803558,2.010627,27.647871,1.013652,8.470764,39.935845,2.526720,2.826504,15.987240,1.929233,2.421950,6.128916,132,43283,0,0
135,0,2.831316,2.010105,23.377079,1.016262,12.738091,39.962748,2.127808,2.414910,13.304745,1.646769,1.834618,5.012492,106,32711,0,0
136,0,2.840057,1.973945,27.713911,1.016751,8.392856,39.963576,2.488966,2.802073,15.934937,1.970462,2.315209,5.991682,132,43283,0,0
137,0,2.839149,2.009677,23.527022,1.017890,12.579481,39.963542,2.189948,2.445418,13.161340,1.615350,1.857154,5.113980,106,32711,0,0
138,0,2.824561,2.008138,27.586721,1.045831,8.506002,39.963114,2.517046,2.923184,15.964206,2.061530,2.273936,5.949276,132,43283,0,0
139,0,2.807241,2.011203,23.566084,1.019185,12.571438,39.963949,2.106381,2.527025,13.360674,1.703576,1.837979,5.070048,106,32711,0,0
140,0,2.834754,2.004957,27.747989,1.015645,8.364461,39.962850,2.634630,2.853573,15.990838,1.963589,2.356557,6.053691,132,43283,0,0
141,0,2.828922,2.008043,23.450429,1.017436,12.638000,39.934787,2.327715,2.467882,13.176286,1.568254,1.835147,5.024597,106,32711,0,0
142,0,2.812063,2.014994,27.814070,1.019619,8.317234,39.962986,2.503774,2.788317,16.425649,2.139228,2.358432,6.162737,132,43283,0,0
