frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.867367,2.005351,28.140364,1.017256,7.939674,39.964661,2.647417,2.939148,16.092763,1.954325,2.268823,6.021050,132,45633,0,0
121,0,2.813453,2.013733,23.967899,1.018680,12.132504,39.932536,2.199799,2.454919,13.601359,1.770871,2.002075,4.914059,106,35061,0,0
122,0,2.831336,2.030579,23.903588,1.044735,12.184777,39.964437,2.039252,2.482408,13.534051,1.662977,1.856411,5.021074,106,35061,0,0
123,0,2.876787,1.969381,23.872013,1.019596,12.195106,39.963501,2.296885,2.484321,13.372318,1.552748,1.899261,4.949178,106,35061,0,0
124,0,2.843848,2.009786,28.126875,1.017358,7.975542,39.963623,2.627245,3.195658,16.043576,2.025235,2.351640,5.938093,132,45633,0,0
125,0,2.842994,2.011576,24.034671,1.017025,12.069583,39.964274,2.349932,2.463443,13.548157,1.597368,1.858558,5.110891,106,35061,0,0
126,0,2.833086,2.011536,23.846439,1.020450,12.263587,39.963562,2.153395,2.563612,13.486623,1.549655,1.894467,5.071177,106,35061,0,0
127,0,2.852637,1.979146,24.114627,1.018572,11.978010,39.963847,2.262933,2.495755,13.676324,1.702291,1.964515,5.081258,106,35061,0,0
128,0,2.840146,2.010173,28.144270,1.040382,7.967648,39.992445,2.514197,3.022122,16.225020,2.150679,2.387282,6.026415,132,45633,0,0
129,0,2.842628,2.017843,23.967614,1.014998,12.109331,39.934570,2.189992,2.480472,13.573656,1.586192,1.900018,5.106222,106,35061,0,0
130,0,2.832150,2.028809,23.890689,1.018741,12.222409,39.963989,2.270172,2.599972,13.220408,1.561605,1.830621,4.988054,106,35061,0,0
131,0,2.841034,1.971252,23.726267,1.012841,12.367754,39.947896,2.233995,2.364482,13.434570,1.637912,1.856042,4.878343,106,35061,0,0
132,0,2.866058,2.011353,28.087494,1.017270,7.993025,39.963847,2.643504,3.103767,15.967950,1.897132,2.351420,6.120358,132,45633,0,0
133,0,2.827125,2.026265,24.013655,1.016015,12.075924,39.932719,2.325857,2.456692,13.590437,1.714349,1.969394,5.016324,106,35061,0,0
134,0,2.803484,2.001200,23.910709,1.012699,12.237159,39.964050,2.184960,2.596897,13.343045,1.560676,1.855269,5.052850,106,35061,0,0
135,0,2.890703,1.991557,23.955773,1.024512,12.093062,39.964050,2.107449,2.523471,13.587033,1.623990,1.967394,5.086734,106,35061,0,0
136,0,2.862525,2.029154,28.135807,1.069828,7.950314,40.018473,2.507304,2.891374,16.154195,2.064311,2.237745,6.115963,132,45633,0,0
137,0,2.811622,2.013489,24.342899,1.020260,11.733809,39.908590,2.248878,2.460042,13.496667,1.674259,1.868835,4.991926,106,35061,0,0
138,0,2.851858,2.017008,24.324473,1.010095,11.777747,39.964172,2.169607,2.456472,13.534522,1.716187,1.836616,5.026279,106,35061,0,0
139,0,2.808611,1.975077,24.138248,1.018416,11.998471,39.963745,2.309235,2.485477,13.477400,1.679074,1.818220,4.958428,106,35061,0,0
140,0,2.857032,2.006327,28.066796,1.041833,8.024390,39.990051,2.558573,2.984477,16.198866,1.966346,2.407064,5.961032,132,45633,0,0
141,0,2.844377,2.018331,23.889754,1.018945,12.185096,39.938171,2.141385,2.569065,13.461249,1.559021,1.959429,4.994168,106,35061,0,0
142,0,2.817766,2.016032,24.064538,1.017270,12.064985,39.964559,2.168891,2.491486,13.642164,1.717807,2.046241,5.031450,106,35061,0,0
