
== garage-day   (baseline: ctl)
metric                           ctl        cand        t160         m64        cad4      d cand      d t160       d m64      d cad4
work_ms                       30.246      29.888      29.508      30.080      28.855      -0.358      -0.738      -0.166      -1.391
total_ms                      39.958      39.960      39.961      39.961      39.960      +0.002      +0.002      +0.002      +0.002
update_ms                      3.014       2.836       2.828       2.835       2.838      -0.178      -0.185      -0.179      -0.176
submit_ms                     26.204      26.030      25.650      26.218      24.994      -0.174      -0.554      +0.014      -1.210
finish_ms                      1.029       1.023       1.029       1.028       1.024      -0.006      +0.001      -0.001      -0.005
present_ms                     9.712      10.072      10.453       9.880      11.105      +0.360      +0.741      +0.168      +1.393
bounds_included_ms             2.472       2.406       2.368       2.498       2.306      -0.067      -0.104      +0.025      -0.167
prepare_included_ms            2.758       2.755       2.651       3.027       2.637      -0.003      -0.107      +0.269      -0.121
dispatch_included_ms          15.013      14.816      14.690      14.501      14.149      -0.197      -0.323      -0.512      -0.864
packet_included_ms             1.867       1.832       1.882       2.021       1.752      -0.035      +0.015      +0.153      -0.115
dma_included_ms                2.158       2.132       2.089       2.122       2.021      -0.026      -0.068      -0.035      -0.137
vif_wait_included_ms           5.589       5.534       5.526       5.224       5.268      -0.055      -0.063      -0.365      -0.321
flushes                      120.000     119.000     119.000     117.000     112.500      -1.000      -1.000      -3.000      -7.500
triangles                  40961.000   40347.000   39245.000   39755.000   37704.000    -614.000   -1716.000   -1206.000   -3257.000
reuploads                      0.000       0.000       0.000       0.000       0.000      +0.000      +0.000      +0.000      +0.000

== garage-night   (baseline: ctl)
metric                           ctl        cand        t160         m64        cad4      d cand      d t160       d m64      d cad4
work_ms                       37.505      37.138      36.684      37.270      35.860      -0.367      -0.821      -0.235      -1.645
total_ms                      46.043      40.043      40.043      40.128      39.960      -6.000      -6.000      -5.915      -6.083
update_ms                      3.091       2.914       2.904       2.909       2.915      -0.177      -0.187      -0.182      -0.176
submit_ms                     32.892      32.691      32.234      32.828      31.398      -0.200      -0.657      -0.064      -1.494
finish_ms                      1.522       1.533       1.545       1.533       1.547      +0.011      +0.023      +0.010      +0.025
present_ms                     8.538       2.905       3.359       2.858       4.100      -5.633      -5.179      -5.679      -4.438
bounds_included_ms             3.405       3.379       3.241       3.393       3.222      -0.026      -0.164      -0.012      -0.182
prepare_included_ms            4.642       4.614       4.515       4.912       4.403      -0.028      -0.126      +0.270      -0.239
dispatch_included_ms          16.791      16.476      16.432      16.196      15.699      -0.316      -0.359      -0.595      -1.092
packet_included_ms             2.060       2.018       2.058       2.192       1.917      -0.041      -0.002      +0.132      -0.143
dma_included_ms                2.540       2.521       2.475       2.531       2.363      -0.019      -0.065      -0.009      -0.177
vif_wait_included_ms           6.075       5.971       5.995       5.628       5.695      -0.104      -0.080      -0.447      -0.380
flushes                      142.500     141.500     141.500     139.500     132.250      -1.000      -1.000      -3.000     -10.250
triangles                  41629.000   41015.000   39913.000   40423.000   38339.000    -614.000   -1716.000   -1206.000   -3290.000
reuploads                      0.000       0.000       0.000       0.000       0.000      +0.000      +0.000      +0.000      +0.000

== outer-day   (baseline: ctl)
metric                           ctl        cand        t160         m64        cad4      d cand      d t160       d m64      d cad4
work_ms                       13.554      12.963      12.947      13.110      12.421      -0.591      -0.607      -0.444      -1.133
total_ms                      19.955      19.955      19.957      19.956      19.955      +0.001      +0.002      +0.002      -0.000
update_ms                      3.014       2.848       2.837       2.850       2.849      -0.166      -0.177      -0.164      -0.165
submit_ms                      9.502       9.064       9.076       9.217       8.528      -0.438      -0.426      -0.285      -0.974
finish_ms                      1.038       1.051       1.034       1.043       1.043      +0.013      -0.004      +0.005      +0.005
present_ms                     6.401       6.992       7.010       6.847       7.534      +0.591      +0.609      +0.446      +1.133
bounds_included_ms             1.343       1.345       1.299       1.374       1.271      +0.001      -0.044      +0.031      -0.072
prepare_included_ms            0.817       0.780       0.756       0.849       0.719      -0.038      -0.061      +0.032      -0.098
dispatch_included_ms           5.284       4.857       4.945       4.756       4.605      -0.427      -0.338      -0.528      -0.679
packet_included_ms             0.772       0.742       0.761       0.773       0.701      -0.030      -0.012      +0.001      -0.072
dma_included_ms                0.767       0.741       0.729       0.711       0.690      -0.026      -0.038      -0.056      -0.077
vif_wait_included_ms           1.259       0.986       1.010       0.909       0.934      -0.274      -0.249      -0.350      -0.325
flushes                       43.000      41.000      41.000      39.000      38.000      -2.000      -2.000      -4.000      -5.000
triangles                  16053.500   13236.500   13236.500   12644.500   12344.250   -2817.000   -2817.000   -3409.000   -3709.250
reuploads                      0.000       0.000       0.000       0.000       0.000      +0.000      +0.000      +0.000      +0.000

== outer-night   (baseline: ctl)
metric                           ctl        cand        t160         m64        cad4      d cand      d t160       d m64      d cad4
work_ms                       16.447      15.900      15.838      16.085      15.361      -0.547      -0.609      -0.362      -1.087
total_ms                      19.960      19.961      19.960      19.961      19.960      +0.000      -0.000      +0.001      +0.000
update_ms                      3.093       2.912       2.903       2.914       2.914      -0.181      -0.190      -0.179      -0.178
submit_ms                     11.803      11.430      11.380      11.623      10.896      -0.373      -0.423      -0.180      -0.907
finish_ms                      1.551       1.558       1.555       1.548       1.551      +0.006      +0.004      -0.003      -0.001
present_ms                     3.513       4.061       4.122       3.876       4.600      +0.548      +0.609      +0.363      +1.087
bounds_included_ms             1.939       1.962       1.869       1.976       1.869      +0.023      -0.070      +0.037      -0.070
prepare_included_ms            1.314       1.272       1.249       1.372       1.215      -0.042      -0.065      +0.057      -0.099
dispatch_included_ms           5.470       5.050       5.156       4.971       4.819      -0.420      -0.314      -0.499      -0.651
packet_included_ms             0.812       0.804       0.808       0.830       0.759      -0.008      -0.004      +0.018      -0.052
dma_included_ms                0.841       0.798       0.785       0.782       0.749      -0.043      -0.056      -0.059      -0.092
vif_wait_included_ms           1.237       0.951       0.987       0.893       0.920      -0.286      -0.250      -0.344      -0.317
flushes                       47.000      45.000      45.000      43.000      42.000      -2.000      -2.000      -4.000      -5.000
triangles                  16385.500   13568.500   13568.500   12976.500   12676.250   -2817.000   -2817.000   -3409.000   -3709.250
reuploads                      0.000       0.000       0.000       0.000       0.000      +0.000      +0.000      +0.000      +0.000
