
== garage-day   (baseline: ctl1)
metric                          ctl1        ctl2       cand1       cand2      d ctl2     d cand1     d cand2
work_ms                       30.246      30.246      29.888      29.904      -0.001      -0.358      -0.342
total_ms                      39.958      39.959      39.960      39.961      +0.001      +0.002      +0.002
update_ms                      3.014       3.013       2.836       2.838      -0.001      -0.178      -0.175
submit_ms                     26.204      26.210      26.030      26.044      +0.006      -0.174      -0.160
finish_ms                      1.029       1.023       1.023       1.022      -0.006      -0.006      -0.007
present_ms                     9.712       9.713      10.072      10.057      +0.001      +0.360      +0.345
bounds_included_ms             2.472       2.472       2.406       2.425      -0.000      -0.067      -0.047
prepare_included_ms            2.758       2.764       2.755       2.757      +0.006      -0.003      -0.001
dispatch_included_ms          15.013      15.007      14.816      14.809      -0.006      -0.197      -0.204
packet_included_ms             1.867       1.869       1.832       1.839      +0.002      -0.035      -0.028
dma_included_ms                2.158       2.156       2.132       2.141      -0.001      -0.026      -0.017
vif_wait_included_ms           5.589       5.588       5.534       5.528      -0.002      -0.055      -0.061
flushes                      120.000     120.000     119.000     119.000      +0.000      -1.000      -1.000
triangles                  40961.000   40961.000   40347.000   40347.000      +0.000    -614.000    -614.000
reuploads                      0.000       0.000       0.000       0.000      +0.000      +0.000      +0.000

== garage-night   (baseline: ctl1)
metric                          ctl1        ctl2       cand1       cand2      d ctl2     d cand1     d cand2
work_ms                       37.505      37.506      37.138      37.126      +0.001      -0.367      -0.379
total_ms                      46.043      46.460      40.043      39.961      +0.418      -6.000      -6.082
update_ms                      3.091       3.089       2.914       2.916      -0.002      -0.177      -0.175
submit_ms                     32.892      32.888      32.691      32.677      -0.004      -0.200      -0.215
finish_ms                      1.522       1.529       1.533       1.533      +0.007      +0.011      +0.011
present_ms                     8.538       8.954       2.905       2.835      +0.416      -5.633      -5.703
bounds_included_ms             3.405       3.403       3.379       3.377      -0.002      -0.026      -0.027
prepare_included_ms            4.642       4.653       4.614       4.612      +0.012      -0.028      -0.030
dispatch_included_ms          16.791      16.784      16.476      16.483      -0.007      -0.316      -0.308
packet_included_ms             2.060       2.056       2.018       2.014      -0.004      -0.041      -0.045
dma_included_ms                2.540       2.533       2.521       2.521      -0.007      -0.019      -0.019
vif_wait_included_ms           6.075       6.069       5.971       5.981      -0.006      -0.104      -0.094
flushes                      142.500     142.500     141.500     141.500      +0.000      -1.000      -1.000
triangles                  41629.000   41629.000   41015.000   41015.000      +0.000    -614.000    -614.000
reuploads                      0.000       0.000       0.000       0.000      +0.000      +0.000      +0.000

== outer-day   (baseline: ctl1)
metric                          ctl1        ctl2       cand1       cand2      d ctl2     d cand1     d cand2
work_ms                       13.554      13.547      12.963      12.954      -0.008      -0.591      -0.600
total_ms                      19.955      19.954      19.955      19.956      -0.001      +0.001      +0.001
update_ms                      3.014       3.014       2.848       2.849      -0.000      -0.166      -0.165
submit_ms                      9.502       9.496       9.064       9.063      -0.006      -0.438      -0.439
finish_ms                      1.038       1.036       1.051       1.042      -0.002      +0.013      +0.004
present_ms                     6.401       6.407       6.992       7.002      +0.007      +0.591      +0.601
bounds_included_ms             1.343       1.349       1.345       1.339      +0.005      +0.001      -0.005
prepare_included_ms            0.817       0.818       0.780       0.773      +0.000      -0.038      -0.044
dispatch_included_ms           5.284       5.272       4.857       4.864      -0.012      -0.427      -0.419
packet_included_ms             0.772       0.769       0.742       0.748      -0.004      -0.030      -0.024
dma_included_ms                0.767       0.773       0.741       0.738      +0.006      -0.026      -0.029
vif_wait_included_ms           1.259       1.259       0.986       0.986      -0.000      -0.274      -0.274
flushes                       43.000      43.000      41.000      41.000      +0.000      -2.000      -2.000
triangles                  16053.500   16053.500   13236.500   13236.500      +0.000   -2817.000   -2817.000
reuploads                      0.000       0.000       0.000       0.000      +0.000      +0.000      +0.000

== outer-night   (baseline: ctl1)
metric                          ctl1        ctl2       cand1       cand2      d ctl2     d cand1     d cand2
work_ms                       16.447      16.453      15.900      15.909      +0.006      -0.547      -0.539
total_ms                      19.960      19.960      19.961      19.961      -0.001      +0.000      +0.000
update_ms                      3.093       3.091       2.912       2.914      -0.002      -0.181      -0.179
submit_ms                     11.803      11.804      11.430      11.435      +0.001      -0.373      -0.368
finish_ms                      1.551       1.558       1.558       1.560      +0.006      +0.006      +0.009
present_ms                     3.513       3.507       4.061       4.052      -0.006      +0.548      +0.539
bounds_included_ms             1.939       1.931       1.962       1.952      -0.007      +0.023      +0.014
prepare_included_ms            1.314       1.319       1.272       1.269      +0.004      -0.042      -0.046
dispatch_included_ms           5.470       5.471       5.050       5.061      +0.001      -0.420      -0.409
packet_included_ms             0.812       0.813       0.804       0.800      +0.001      -0.008      -0.012
dma_included_ms                0.841       0.845       0.798       0.797      +0.004      -0.043      -0.044
vif_wait_included_ms           1.237       1.238       0.951       0.964      +0.000      -0.286      -0.273
flushes                       47.000      47.000      45.000      45.000      +0.000      -2.000      -2.000
triangles                  16385.500   16385.500   13568.500   13568.500      +0.000   -2817.000   -2817.000
reuploads                      0.000       0.000       0.000       0.000      +0.000      +0.000      +0.000
