frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.041463,2.030986,41.638658,1.878482,9.406416,59.965020,5.273380,4.740248,21.248064,3.350620,2.498864,6.197089,143,28106,8,8
121,0,7.673950,2.067688,37.216132,1.888390,13.185896,59.964369,4.922835,4.712162,17.505873,2.674733,2.117008,4.951246,117,23227,12,12
122,0,2.843506,2.031698,36.447191,2.213749,18.459842,59.964288,4.787899,3.876224,18.001641,2.851634,2.164490,5.127194,116,23227,4,4
123,0,2.847338,1.988627,38.853129,1.817766,16.446116,59.964349,4.732663,5.835751,18.396250,2.743395,2.322201,5.145135,130,23227,27,27
124,0,2.836161,2.051717,42.160265,1.917063,13.049306,59.962796,5.145070,5.192301,21.588325,3.467441,2.541640,6.438989,142,28106,10,10
125,0,21.826789,2.032654,37.313009,2.225325,18.569136,79.934258,4.588711,4.753269,18.003601,2.838616,2.137285,5.048343,117,23227,12,12
126,0,2.826172,2.042216,36.599596,2.067217,18.464956,59.957940,5.027181,3.714393,17.775370,2.749264,2.158020,5.114922,116,23227,4,4
127,0,2.871663,1.991984,55.656725,2.599023,18.836856,79.964267,4.832272,6.010390,18.444750,2.882165,2.278846,5.093408,130,23227,27,27
128,0,2.859382,1.989848,42.276815,2.212650,12.615665,59.964511,5.424784,5.172526,21.086626,3.279426,2.512631,6.284556,142,28106,10,10
129,0,11.714681,2.038981,37.489448,2.211002,8.548770,59.963901,4.721900,4.485294,18.128062,2.821554,2.291172,5.187202,117,23227,12,12
130,0,2.909241,2.064819,36.218187,2.214901,18.622142,59.964471,4.637166,3.817440,18.114461,2.805478,1.882517,5.236142,116,23227,4,4
131,0,2.813199,2.028992,38.741767,1.868018,16.540924,59.963908,4.768205,5.912676,18.370626,2.758728,2.319119,5.117377,130,23227,26,26
132,0,2.845825,2.024801,42.150804,1.855838,13.111860,59.964328,5.200216,4.978631,21.429250,3.339718,2.484409,6.290992,142,28106,10,10
133,0,7.153768,2.041077,37.251268,1.987688,13.604095,59.996819,4.712931,4.612257,17.921889,2.825239,1.993059,5.102264,117,23227,12,12
134,0,2.852281,2.028829,36.184021,2.222694,18.666066,59.925062,4.863196,3.779697,17.753977,2.678040,2.022563,5.240424,116,23227,4,4
135,0,2.802450,2.013855,38.811469,2.081750,16.268680,59.964349,4.869873,5.831970,18.376953,2.750014,2.346025,5.106971,130,23227,27,27
136,0,2.857591,2.035482,41.993225,1.873233,13.240278,59.964328,5.420275,5.048116,21.259379,3.648115,2.503215,6.076847,142,28106,10,10
137,0,81.595364,2.061300,37.204631,2.233761,18.959781,139.993537,4.713057,4.647081,17.619982,2.591315,2.060069,4.999000,117,23227,12,12
138,0,2.833238,2.034566,36.632304,2.062727,18.406498,59.934767,4.819658,3.813270,17.828691,2.756466,2.077074,5.222456,116,23227,4,4
139,0,2.824300,2.036621,36.935655,1.816857,18.387780,59.964593,4.527896,4.215186,18.004120,2.859945,2.046149,5.009084,117,23227,6,6
140,0,2.875732,2.032145,47.325141,1.861128,7.902347,59.964349,5.187005,9.748454,22.010796,3.495934,3.009952,6.126139,165,28106,60,60
141,0,11.425741,2.025879,37.466315,1.884769,9.225060,60.001885,4.685432,5.093835,17.888672,2.938619,2.018711,4.921705,116,23227,13,13
142,0,2.833618,2.048360,41.360887,1.860952,13.865448,59.920905,4.880042,8.219123,18.156002,2.887414,2.292650,4.950172,138,23227,45,45
143,0,2.833923,2.051086,37.129116,1.877438,18.092478,59.932956,4.712358,4.755486,17.940403,2.979204,2.048513,4.935371,116,23227,11,11
144,0,2.848389,2.060303,45.914252,1.835344,9.366099,59.964084,5.377306,8.829634,21.366994,3.471636,2.804372,5.742052,157,28106,48,48
145,0,16.981527,2.023417,37.233873,1.856455,3.892487,59.964342,4.560896,5.087162,17.920081,2.892609,2.050859,5.002489,116,23227,12,12
146,0,2.873237,2.013590,41.127299,1.870622,14.093374,59.964532,4.648353,8.187768,18.643205,2.985786,2.339528,5.047485,138,23227,46,46
147,0,2.883158,2.062113,37.208421,1.882416,18.039113,60.013109,4.736894,4.686869,17.728611,2.945716,1.995097,4.923326,116,23227,11,11
148,0,2.837552,2.053202,46.066549,1.839379,9.171065,59.914544,5.220839,8.755907,21.773305,3.615360,2.710141,5.709564,157,28106,48,48
149,0,7.937256,2.059062,37.250068,1.860213,12.884545,59.932081,4.737803,4.869622,17.884983,2.795329,1.946754,5.033990,116,23227,12,12
150,0,18.306702,2.053162,41.187181,2.071632,18.398916,79.964430,4.897081,8.177348,18.232018,2.790541,2.405362,5.009616,138,23227,46,46
151,0,2.856303,2.062317,37.932726,1.822371,17.346785,59.958184,4.782545,4.884433,18.219676,2.976661,2.026957,4.959605,117,23255,11,11
152,0,2.892320,2.061951,46.573547,1.898929,8.599267,59.964064,5.587901,8.879968,21.416263,3.474826,2.538171,5.822822,158,28134,48,48
153,0,7.960470,2.074239,37.680610,2.054487,12.268619,59.964186,4.742981,5.067044,17.957645,2.919929,2.026703,4.971870,117,23248,12,12
154,0,7.323934,2.070048,41.639818,1.824832,9.175968,59.964552,5.201660,7.782389,18.880761,2.967651,2.310106,5.156528,139,23262,46,46
155,0,2.904121,2.063721,37.499613,1.871802,17.688568,59.964105,4.815104,4.929454,17.874373,2.881877,2.107544,5.022400,117,23262,11,11
156,0,2.943909,2.075358,94.247464,1.828278,0.944366,99.964016,7.335527,8.899550,22.182139,3.448256,2.822035,5.775842,162,28734,48,48
157,0,7.091858,2.068888,39.730781,1.890377,11.251753,59.964769,5.045834,4.749661,19.672635,2.967055,2.161926,5.498817,124,24871,12,12
158,0,2.932014,2.065572,43.313517,1.824934,11.893477,59.963942,4.899278,8.011186,20.228943,3.188361,2.459083,5.442576,146,24919,46,46
159,0,2.898010,2.062805,39.129239,1.842512,16.088172,59.957933,4.667704,4.750841,19.715315,3.090512,2.256080,5.683326,125,25468,11,11
160,0,2.876817,2.048991,47.828898,1.894385,7.331872,59.931973,5.629818,9.124237,22.953827,3.631483,2.837433,6.567847,165,30384,48,48
