frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.493456,2.027120,42.138590,2.042464,8.290117,59.964627,4.996009,4.699093,22.147010,3.385634,2.512427,7.234789,143,28106,8,8
121,0,6.991116,2.034648,37.339613,1.823537,13.809465,59.963732,4.344672,4.874064,17.960880,2.692447,2.032142,5.663649,117,23227,12,12
122,0,2.863878,1.992859,36.421360,2.506690,18.165497,59.957425,4.407244,3.666589,18.555650,2.656616,2.083425,6.088630,116,23227,4,4
123,0,2.798265,2.011027,39.007690,1.891795,16.299896,59.997647,4.401754,6.073005,18.831675,2.897325,2.362464,5.872715,130,23227,27,27
124,0,2.841187,2.027405,42.340759,1.876482,12.871328,59.929755,4.966109,4.993150,22.030460,3.372114,2.658830,7.264347,142,28106,10,10
125,0,19.506639,2.027161,37.464857,1.822893,1.174815,59.969204,4.261766,4.816230,18.437690,2.657776,2.115106,5.908437,117,23227,12,12
126,0,2.832811,2.018901,36.680318,1.967933,18.477773,59.958835,4.459334,3.868469,18.204169,2.649851,2.035916,5.999288,116,23227,4,4
127,0,2.828091,1.967814,54.567912,1.857737,0.709978,59.963718,4.313280,6.014784,18.821693,2.919905,2.174578,5.778307,130,23227,27,27
128,0,2.846910,2.030029,42.248467,1.874061,12.994971,59.964410,4.873393,4.865156,22.132612,3.441844,2.598446,7.305691,142,28106,10,10
129,0,12.169623,2.030796,37.415317,1.822927,8.556271,59.964138,4.284651,4.719862,18.366364,2.563273,1.990892,5.713559,117,23227,12,12
130,0,2.850260,2.027791,36.525845,2.440108,18.147519,59.963732,4.449012,3.677962,18.312385,2.492784,2.111969,6.146413,116,23227,4,4
131,0,2.791321,2.006775,39.086405,1.870602,16.209015,59.957343,4.284475,6.005747,18.820953,2.665714,2.140306,6.058984,130,23227,26,26
132,0,2.867296,2.016642,42.409037,1.921844,12.765656,59.963833,4.901611,5.228478,21.979180,3.499084,2.603302,7.087446,142,28106,10,10
133,0,7.021654,1.967061,37.431410,1.921709,13.620941,59.995714,4.251126,4.877357,18.346208,2.690609,2.080892,5.741838,117,23227,12,12
134,0,2.842326,2.020915,36.634386,1.977115,18.477963,59.931790,4.576338,3.574551,18.622342,2.615017,2.180861,6.067176,116,23227,4,4
135,0,2.840603,1.979431,38.782410,1.846575,16.494781,59.964369,4.397786,5.808963,18.749051,2.597226,2.466895,5.695350,130,23227,27,27
136,0,2.787910,2.002197,42.310825,1.870141,12.994944,59.963820,4.939460,5.071120,22.090535,3.148482,2.544834,7.211161,142,28106,10,10
137,0,69.243496,2.064596,37.430705,1.816010,11.474118,119.964328,4.584283,4.613810,18.098514,2.606283,2.040178,5.756317,117,23227,12,12
138,0,2.797777,2.011617,36.775282,1.937103,18.421790,59.931953,4.359209,3.519274,18.722422,2.742201,2.030202,6.107530,116,23227,4,4
139,0,2.834357,1.983582,37.237122,1.809703,18.075938,59.957119,4.439260,4.086409,18.430155,2.770087,2.036784,5.985277,117,23227,6,6
140,0,2.782111,1.995565,47.592000,1.867910,7.721649,59.963671,5.038517,9.448517,22.905287,3.129778,2.860324,7.133864,165,28106,60,60
141,0,11.956285,2.023844,37.635125,1.874183,8.498138,59.963732,4.462399,5.079210,18.320913,2.603316,2.127923,5.933027,116,23227,13,13
142,0,2.853604,2.033651,41.723809,1.840186,13.546316,59.963915,4.561412,8.110338,19.190677,2.738508,2.353807,5.761136,138,23227,45,45
143,0,2.865200,2.042704,37.338535,1.855994,17.904449,59.964179,4.264014,4.813992,18.291650,2.968845,2.098931,5.588138,116,23227,11,11
144,0,2.833333,2.047872,46.054545,1.885881,9.190358,59.964118,4.961310,8.665744,22.017975,3.243371,2.666551,6.725108,157,28106,48,48
145,0,10.009793,2.060649,37.532227,1.866241,10.555620,59.963881,4.449436,4.769202,18.384752,2.564667,2.117459,5.974013,116,23227,12,12
146,0,2.860664,2.035868,41.572218,1.815467,13.715349,59.963698,4.402998,8.213437,18.976596,2.575850,2.420180,5.940457,138,23227,46,46
147,0,2.847439,2.032328,37.374973,1.868893,17.872189,59.963494,4.509684,4.997840,18.171902,2.541924,2.038323,5.874254,116,23227,11,11
148,0,2.823961,2.037821,46.415059,1.819583,8.865516,59.924120,5.131531,8.599338,22.457991,3.288049,2.790714,6.759901,157,28106,48,48
149,0,7.203579,2.040527,37.603699,2.084225,13.094059,59.985562,4.304145,5.008447,18.490526,2.670444,2.176053,5.851573,116,23227,12,12
150,0,17.038961,2.003092,41.266093,1.917029,19.719601,79.941684,4.399967,8.187127,18.882538,2.754279,2.547014,5.565704,138,23227,46,46
151,0,2.830587,2.037801,38.026435,1.888865,17.219194,59.965081,4.657352,4.948768,18.501926,2.668213,2.212772,5.672567,117,23419,11,11
152,0,2.890198,2.029704,46.458198,1.822642,8.808624,59.979662,5.100308,8.561513,22.267636,3.290076,2.700517,6.981876,158,28298,48,48
153,0,7.054511,2.045288,37.758050,1.850094,13.285309,59.947964,4.508837,4.995568,18.547014,2.842445,2.097911,5.846961,117,23419,12,12
154,0,7.049127,2.070007,41.777486,1.844167,9.293467,59.964247,4.567061,8.104485,19.328237,2.794101,2.400872,5.636315,139,23419,46,46
155,0,2.845120,2.048116,37.743490,1.915036,17.518178,60.021823,4.421648,5.001526,18.462606,2.646128,2.294956,5.838362,117,23419,11,11
156,0,2.858731,2.062154,100.401347,1.821204,14.819021,119.900302,6.624847,8.806617,23.119890,3.365963,2.781514,6.792423,162,28905,48,48
157,0,7.184882,2.042765,39.974162,1.821279,10.983639,59.963962,4.671268,4.765205,20.276337,2.873827,2.297123,6.400835,124,25034,12,12
158,0,2.827481,2.024882,43.737040,1.894419,11.504818,59.963759,4.577209,8.111864,20.907613,3.074076,2.417413,6.352037,146,25082,46,46
159,0,2.876350,2.038086,39.750183,1.857310,15.480079,59.963921,4.356774,4.747080,20.630642,3.054443,2.234324,6.535024,125,25610,11,11
160,0,2.880778,2.046570,48.004435,2.187558,6.891435,59.964206,5.067247,9.139398,23.869788,3.579888,2.725823,7.692156,165,30504,48,48
161,0,7.138068,2.042908,60.229587,1.824439,10.771868,79.963962,4.441549,5.151506,19.999532,3.087436,2.216760,6.516086,124,25625,12,12
162,0,65.705675,2.047526,43.823975,1.856008,8.578264,119.963921,4.495104,8.428575,20.811690,3.113902,2.729865,6.634013,146,25625,46,46
163,0,2.893216,2.016866,39.226949,1.835826,16.022600,59.978590,4.443125,5.024133,20.037604,2.954437,2.329261,6.644538,124,25625,11,11
164,0,2.870076,2.066121,47.999898,1.861860,7.210500,59.942335,5.108507,8.665198,23.463440,3.545112,2.914313,7.532779,165,30504,48,48
165,0,7.230570,2.005025,39.571947,1.823056,11.338328,59.963901,4.610582,5.172204,19.945296,2.886783,2.208394,6.675012,124,25625,12,12
166,0,6.931098,2.007365,43.342095,1.821191,7.869761,59.964145,4.476474,8.472212,20.557078,3.063724,2.516964,6.411865,146,25625,46,46
167,0,2.913520,2.076335,39.310621,2.004723,15.734975,59.963840,4.474630,4.998718,19.905558,3.023282,2.335849,6.646807,124,25625,11,11
168,0,2.890564,2.048564,48.103434,1.867374,7.128326,59.989699,5.253248,8.895084,23.611776,3.402317,2.848395,7.706536,165,30504,48,48
169,0,7.273010,1.992574,39.690694,1.822879,11.151845,59.938429,4.304426,5.187968,20.130693,3.120558,2.188490,6.839071,124,25625,12,12
170,0,7.146227,2.075094,43.468404,1.883786,7.484263,59.982680,4.448890,8.269033,20.804064,2.961002,2.485674,6.770426,146,25625,46,46
171,0,2.861450,2.034607,39.304097,1.875607,15.903541,59.944695,4.579000,4.964678,19.740774,2.837928,2.324588,6.666361,124,25625,11,11
172,0,2.896871,2.059204,47.567749,1.817359,7.675920,59.957899,4.946503,8.800032,23.431725,3.454519,2.907355,7.482788,165,30504,48,48
173,0,7.174547,2.061462,39.256524,1.820187,11.680925,59.932183,4.267822,5.203105,20.031033,2.888038,2.116757,6.608944,124,25625,12,12
174,0,2.915710,2.074687,43.079922,1.858476,12.109934,59.964044,4.436866,8.432973,20.351369,2.867455,2.492540,6.557902,146,25625,46,46
175,0,17.880113,2.080851,38.944207,1.836409,1.303151,59.963881,4.555183,4.972344,19.546621,2.833598,2.107310,6.546193,124,25625,11,11
176,0,2.872728,2.069743,47.746270,1.820621,7.524078,59.963698,5.009237,8.716366,23.531477,3.631995,2.787804,7.747589,165,30504,48,48
177,0,7.016201,2.069906,39.292277,1.820235,11.854902,59.983615,4.317464,5.449354,19.831078,2.830448,2.338511,6.604513,124,25625,12,12
178,0,2.861925,2.062113,43.174398,1.821143,12.086761,59.944227,4.387014,8.258762,20.668494,3.079390,2.667748,6.527279,146,25625,46,46
179,0,7.477376,2.080302,39.215359,1.839006,11.431773,59.963515,4.661686,4.900774,19.873169,2.875888,2.274845,6.795044,124,25625,11,11
180,0,2.870816,2.069702,47.924316,1.822011,7.334408,59.951552,5.157857,8.856964,23.534617,3.419617,2.879978,7.582781,165,30504,48,48
181,0,8.165066,2.071859,39.257989,1.820126,10.695797,59.938978,4.308658,5.165799,20.048286,2.947194,2.168382,6.706312,124,25625,12,12
182,0,2.900309,2.022949,43.383525,1.849545,11.861589,59.994968,4.516496,8.308150,20.601729,2.945418,2.514147,6.617052,146,25625,46,46
183,0,2.889106,2.053935,39.275248,2.031165,15.737376,59.932895,4.561737,4.915873,19.841814,2.944862,2.286655,6.647010,124,25625,11,11
184,0,2.869141,1.994263,48.067919,1.852597,7.174082,59.963738,4.903917,8.763977,23.942017,3.500634,2.911404,7.746341,165,30504,48,48
185,0,6.944892,2.037862,39.491191,1.821645,11.706289,59.964016,4.354146,5.347059,19.851776,3.007294,2.216139,6.789581,124,25625,12,12
186,0,2.862311,2.051229,43.287354,1.906816,11.907115,59.963596,4.610196,8.315141,20.481072,3.010691,2.568431,6.513184,146,25629,46,46
187,0,67.874722,2.059021,39.352288,1.891707,10.900930,120.019647,4.653205,5.208316,19.572978,2.855231,2.217031,6.734524,124,25625,11,11
188,0,2.853271,2.043701,48.478075,1.843909,6.733205,59.908461,5.157247,8.865685,23.630998,3.563209,2.865743,7.546522,165,30504,48,48
189,0,7.308621,2.042216,39.765944,1.869707,11.034888,59.979160,4.603539,5.147786,20.005310,3.060215,2.263872,6.568329,124,25625,12,12
190,0,2.919793,2.072795,43.622009,1.836110,11.564002,59.941915,4.459602,8.342065,20.935872,2.951840,2.564250,6.630975,147,25627,46,46
191,0,6.776842,2.088440,39.758965,1.949114,11.482886,59.967807,4.566979,4.722900,20.464128,3.111152,2.323571,6.745778,127,26035,11,11
192,0,2.932665,2.083171,45.601868,1.862885,9.562883,59.960300,5.166785,6.086968,24.094442,3.544807,2.741343,7.814440,154,30938,22,22
193,0,6.611294,2.072327,39.670119,1.874671,11.807716,59.963799,4.529338,4.749332,20.073714,2.802741,2.337284,6.822808,128,26103,11,11
194,0,2.863342,2.046000,38.635539,1.854190,16.610423,59.963494,4.546085,3.627272,20.310683,2.962087,2.244880,7.141018,127,26103,2,2
