frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.006490,2.017904,42.193929,1.860735,8.871619,59.932773,4.806637,4.672584,22.316854,3.276686,2.531189,7.483676,143,28106,8,8
121,0,6.807027,2.040975,37.305847,1.817284,14.055220,59.985379,4.156158,4.827386,18.440128,2.705370,2.190043,5.826080,117,23227,12,12
122,0,2.812324,2.025920,36.449090,2.196896,18.495249,59.953559,4.334866,3.697384,18.480906,2.538957,2.022200,6.052487,116,23227,4,4
123,0,2.794766,2.009298,39.175327,1.857703,16.118337,59.946133,4.410739,6.038893,18.803277,2.692630,2.265201,5.895274,130,23227,27,27
124,0,2.851508,1.984802,42.128513,1.885027,13.098623,59.963671,4.818888,5.108334,21.920034,3.079444,2.517392,7.233880,142,28106,10,10
125,0,21.255887,1.988464,37.125014,1.907325,19.643226,79.931451,4.170478,4.586351,18.381460,2.658152,2.191796,5.524821,117,23227,12,12
126,0,2.835090,2.016764,37.003357,1.881276,18.274363,59.994086,4.532664,3.618005,18.533688,2.735463,2.086680,5.968842,116,23227,4,4
127,0,2.799344,2.015381,54.965569,1.815467,0.353302,59.933682,4.490567,5.885169,18.771596,2.513468,2.305657,5.962151,130,23227,27,27
128,0,2.837260,2.013387,42.136319,1.879608,13.110484,59.963671,4.870412,5.174259,21.841180,3.366842,2.403307,7.092048,142,28106,10,10
129,0,10.384284,2.034200,37.554620,1.844682,10.180511,59.964098,4.372664,4.645732,18.517049,2.793169,2.126563,5.795210,117,23227,12,12
130,0,2.844950,2.023478,36.399353,2.211483,18.508087,59.963874,4.378964,3.855387,18.250336,2.699785,2.111108,5.987413,116,23227,4,4
131,0,2.807604,2.024272,39.129530,1.865380,16.154592,59.957106,4.524963,5.915212,18.878723,2.720862,2.419742,5.842692,130,23227,26,26
132,0,2.882799,2.031698,42.380798,1.858185,12.842363,59.964145,4.912811,5.048947,22.114638,3.661479,2.538964,7.105598,142,28106,10,10
133,0,6.845649,2.020101,37.293844,2.136098,13.687822,59.963413,4.395026,4.731869,18.174567,2.603882,2.107686,5.844289,117,23227,12,12
134,0,2.830939,2.007609,36.302979,2.202179,18.628028,59.964125,4.297309,3.689355,18.523790,2.654080,2.057431,5.798099,116,23227,4,4
135,0,2.845344,2.026652,38.838311,2.132355,16.167294,59.983303,4.416497,5.847036,18.708811,2.766398,2.324860,5.687259,130,23227,27,27
136,0,2.805040,2.019857,42.383138,2.188195,12.567685,59.944058,5.059713,4.977790,22.099545,3.303158,2.491991,7.280073,142,28106,10,10
137,0,70.959513,2.029032,37.382975,1.820431,9.768178,119.931098,4.728105,4.577498,18.125492,2.602600,2.061178,5.807753,117,23227,12,12
138,0,2.840746,2.017253,36.710442,1.943824,18.469065,59.964077,4.389075,3.730092,18.386729,2.834361,2.032949,5.981127,116,23227,4,4
139,0,2.840678,2.015096,37.388346,2.149445,17.598616,59.977085,4.426039,4.077016,18.729479,2.529324,2.172763,6.014265,117,23227,6,6
140,0,2.816779,2.031453,47.551229,1.863047,7.713552,59.944607,4.985789,9.725284,22.533502,3.399590,2.950331,6.793701,165,28106,60,60
141,0,10.303962,2.016703,37.762044,2.175059,9.722850,59.963915,4.202057,4.932994,18.450534,2.638343,2.015642,5.683533,116,23227,13,13
142,0,2.872030,2.031630,41.606249,1.839610,13.646033,59.963921,4.312280,7.910597,19.430715,2.986528,2.378126,5.610823,138,23227,45,45
143,0,2.857998,2.041443,37.462830,1.885969,17.757083,59.963881,4.331838,5.120660,18.256327,2.775957,2.077355,5.878903,116,23227,11,11
144,0,2.845873,2.022176,45.748149,1.887319,9.482480,59.963820,4.899563,8.595696,21.938968,3.260562,2.665321,6.690375,157,28106,48,48
145,0,10.163947,2.018758,37.500753,1.873484,10.393341,59.931525,4.353929,4.882206,18.280874,2.737901,2.090990,5.817061,116,23227,12,12
146,0,2.822272,2.034363,41.282688,1.832598,14.026072,59.963630,4.297499,8.080543,19.069350,2.744700,2.485243,5.664093,138,23227,46,46
147,0,2.868781,2.016581,37.465495,2.131602,17.498525,59.964403,4.290246,4.910729,18.507284,2.600186,2.227492,5.914276,116,23227,11,11
148,0,2.857734,1.998535,46.140984,1.822222,9.136424,59.957364,4.858385,8.830519,22.348772,3.365740,2.798414,6.850389,157,28106,48,48
149,0,6.981818,2.044189,37.492981,1.822540,13.666372,59.963711,4.329119,4.986376,18.328115,2.623735,2.141385,5.862810,116,23227,12,12
