frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.717027,2.036357,42.109775,2.164127,7.967255,59.958184,4.884932,4.724382,22.226678,3.197717,2.418359,7.316884,143,28106,8,8
121,0,6.887132,2.002014,37.354445,1.897871,13.824941,59.964389,4.368856,4.614885,18.345286,2.651649,2.185703,5.606140,117,23227,12,12
122,0,2.856859,2.041931,36.364014,2.144762,18.598531,59.964166,4.237864,3.791121,18.513265,2.601003,2.184848,6.108154,116,23227,4,4
123,0,2.808967,1.950094,38.942173,1.921811,16.315582,59.988532,4.447418,5.820631,18.844913,2.825945,2.305996,5.769691,130,23227,27,27
124,0,2.842251,2.024028,42.355747,1.914439,12.826887,59.939324,4.905755,5.197232,21.858002,3.500631,2.480082,6.998935,142,28106,10,10
125,0,20.146674,2.035909,37.415297,1.812846,0.589308,59.964125,4.347585,4.799398,18.204803,2.573120,2.000604,5.657935,117,23227,12,12
126,0,2.885993,2.031087,36.646335,1.957194,18.474542,59.964064,4.268429,3.740360,18.772186,2.604292,2.001326,6.006975,116,23227,4,4
127,0,2.801202,2.015849,54.260390,1.996572,0.906009,59.964172,4.348931,5.811883,18.894748,2.742733,2.429989,5.762817,130,23227,27,27
128,0,2.873135,1.987488,42.085083,1.868934,13.147464,59.974616,4.860152,4.930871,21.720113,3.375570,2.414907,7.029449,142,28106,10,10
129,0,10.181993,2.017558,37.399326,1.820397,10.545298,59.947015,4.447201,4.611674,18.495161,2.668545,2.208371,5.873393,117,23227,12,12
130,0,2.836372,2.022807,36.587497,2.046817,18.493276,59.963962,4.491014,3.808068,18.441681,2.616584,2.182675,6.053212,116,23227,4,4
131,0,2.819404,1.960775,38.709100,1.877262,16.579600,59.985365,4.253560,5.769823,18.873586,2.765201,2.284431,5.805152,130,23227,26,26
132,0,2.838284,2.016520,42.331421,1.925819,12.847666,59.943190,4.966685,5.082126,21.941403,3.137193,2.615058,7.324056,142,28106,10,10
133,0,6.952216,2.014669,37.238091,1.827335,13.946767,59.964410,4.275798,4.614573,18.099335,2.615465,1.976081,5.934672,117,23227,12,12
134,0,2.841295,2.018731,36.347426,2.290978,18.517039,59.996738,4.291341,3.623925,18.479614,2.797258,1.999854,5.795746,116,23227,4,4
135,0,2.797370,2.013713,38.971368,1.843760,16.318261,59.930759,4.461955,5.833686,18.817563,2.802592,2.178850,5.866096,130,23227,27,27
136,0,2.808085,2.020142,42.205444,1.854889,13.096256,59.964674,4.817603,4.789147,22.011695,3.395220,2.548543,7.158393,142,28106,10,10
137,0,68.411140,2.048238,37.347649,1.811747,12.393873,119.964410,4.350715,4.690582,18.370039,2.872389,2.074812,5.772193,117,23227,12,12
138,0,2.844103,2.024597,36.760756,1.945082,18.407613,59.957553,4.436235,3.700016,18.404510,2.569465,1.965210,5.958984,116,23227,4,4
139,0,2.807739,2.018188,37.112691,1.847649,18.196554,59.964634,4.291212,4.161611,18.627316,2.717906,2.092889,5.888279,117,23227,6,6
