frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,13.957642,2.020691,42.258043,2.184916,1.564250,59.964851,4.911143,4.889855,22.151404,3.030697,2.700477,7.571852,143,28106,8,8
121,0,8.772970,2.012594,37.047329,1.816749,12.326996,59.964044,4.367808,4.477478,18.302734,2.706034,2.029612,5.595520,117,23227,12,12
122,0,2.847839,2.032125,36.362637,2.194238,18.559736,59.964450,4.386071,3.752994,18.343926,2.488664,2.106622,6.015662,116,23227,4,4
123,0,2.859219,1.976237,38.914876,1.881656,16.308414,59.964166,4.686815,5.847822,18.580682,2.614838,2.201172,5.842010,130,23227,27,27
124,0,2.791389,2.007609,42.292013,1.923621,12.957157,59.964179,5.018195,4.979811,21.926032,3.116364,2.507616,7.245511,142,28106,10,10
125,0,22.948364,1.992961,37.358419,1.838664,17.818841,79.964288,4.347995,4.565843,18.321045,2.588552,2.046967,5.779117,117,23227,12,12
126,0,2.780341,1.996053,36.888021,1.986860,18.308740,59.963962,4.291267,3.897475,18.334089,2.455502,2.182587,6.173262,116,23227,4,4
127,0,2.819010,2.002869,57.082323,1.849837,18.206343,79.957513,4.645443,5.914185,18.872338,2.780294,2.272068,5.820085,130,23227,27,27
128,0,2.784241,1.967631,42.692959,1.919864,12.567346,59.964410,5.223850,4.856676,21.916022,3.205834,2.654185,7.247155,142,28106,10,10
129,0,11.959615,2.027486,37.469326,1.824181,8.710514,59.963637,4.523882,4.570546,18.051297,2.675659,1.952257,5.770586,117,23227,12,12
130,0,2.871155,2.026937,36.431749,2.144548,18.516829,59.964281,4.392544,3.589081,18.607161,2.603702,2.174784,6.008765,116,23227,4,4
131,0,2.818970,1.964925,38.774950,1.838416,16.532169,59.964505,4.501885,5.955905,18.437998,2.628601,2.344974,5.802405,130,23227,26,26
132,0,2.817973,2.010518,42.351264,1.866228,12.928857,59.964322,5.006816,4.901048,21.831394,3.084656,2.503035,7.369988,142,28106,10,10
133,0,11.637722,1.978800,37.351373,1.869646,9.105296,59.964037,4.334123,4.620999,18.231160,2.568247,2.085951,5.788506,117,23227,12,12
134,0,2.796244,1.951253,36.495083,2.189531,18.482934,59.963793,4.621986,3.595384,18.308278,2.523916,2.088474,6.003326,116,23227,4,4
135,0,2.794678,2.010661,39.113410,1.867706,16.188629,59.964423,4.476902,5.904968,18.745093,2.494432,2.402998,6.071167,130,23227,27,27
136,0,2.822415,2.005188,42.543199,1.844764,12.714847,59.925225,4.994008,4.864956,22.266191,3.226922,2.669990,7.321998,142,28106,10,10
137,0,78.409831,1.982524,37.411153,1.851742,2.291501,119.964227,4.605601,4.673411,18.126346,2.491547,2.105713,5.960263,117,23227,12,12
138,0,2.792202,2.007100,37.094096,1.911550,18.188121,59.985969,4.650604,3.856310,18.164327,2.428426,2.055020,6.136356,116,23227,4,4
139,0,2.780219,1.997477,37.406291,1.790117,17.965254,59.941881,4.419379,4.295729,18.348924,2.689711,2.040453,6.037618,117,23227,6,6
140,0,2.781331,1.999064,47.891730,1.849803,7.462880,59.985745,5.140045,9.701345,22.723928,3.199100,2.939026,7.113909,165,28106,60,60
141,0,11.948608,2.016459,37.629666,1.895057,8.501984,59.975315,4.437459,4.998461,18.135596,2.488481,2.096890,5.857602,116,23227,13,13
142,0,2.791443,2.011190,41.651923,2.107391,13.379486,59.930244,4.672217,8.232344,18.988542,2.610213,2.341953,5.672869,138,23227,45,45
143,0,2.885925,2.002075,37.272712,1.874685,17.931447,59.964769,4.457306,4.834466,18.196109,2.639872,2.032010,5.903778,116,23227,11,11
