frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.281331,2.041260,42.192532,1.839847,8.651045,59.964756,5.154819,4.721717,22.091187,3.072472,2.619602,7.406006,143,28106,8,8
121,0,8.383708,2.020874,37.402812,1.818736,12.358748,59.964003,4.531711,4.677239,18.128842,2.536777,2.214277,5.911882,117,23227,12,12
122,0,2.851969,2.037394,36.315572,2.155338,18.641483,59.964362,4.397200,3.707102,18.383999,2.597629,2.091882,5.992004,116,23227,4,4
123,0,2.861898,2.013611,38.900662,1.897085,16.304677,59.964322,4.496663,5.799533,18.675893,2.748091,2.319099,5.743120,130,23227,27,27
124,0,2.770467,1.988424,42.372416,1.902869,12.918243,59.963996,5.003910,4.986209,22.083581,3.035726,2.580631,7.351535,142,28106,10,10
125,0,23.730618,2.013794,37.282389,1.801592,17.149723,79.964322,4.386397,4.535668,18.201684,2.538774,2.055569,6.054108,117,23227,12,12
126,0,2.790649,2.010376,36.621853,2.405039,18.146210,59.963752,4.511824,3.633962,18.153439,2.486942,2.229509,5.878754,116,23227,4,4
127,0,2.792033,1.994649,57.080994,1.817474,18.235538,79.926039,4.422909,5.869168,19.077488,2.649495,2.291280,5.907461,130,23227,27,27
128,0,2.777710,1.995015,42.826179,1.882321,12.478377,59.964586,5.161065,5.121033,21.961378,3.228906,2.628550,7.421766,142,28106,10,10
129,0,13.132874,2.034261,37.544054,1.832062,7.454885,59.963874,4.454837,4.822432,18.035105,2.464776,2.050201,5.883196,117,23227,12,12
130,0,2.796326,2.012756,36.389777,2.168596,18.609195,59.963894,4.298072,3.530124,18.446574,2.518151,2.266988,6.090607,116,23227,4,4
131,0,2.818136,1.964417,39.089844,1.906823,16.185028,59.999830,4.460463,5.864112,18.748352,2.681705,2.263631,5.944234,130,23227,26,26
132,0,2.787516,2.007121,42.392463,1.894867,12.853160,59.928006,5.016225,5.035275,21.916246,3.262570,2.526415,7.224555,142,28106,10,10
