frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.295722,2.033671,42.705153,1.843394,8.120887,59.965156,4.850396,4.865997,22.747369,3.221907,2.032766,7.224314,143,28106,8,8
121,0,6.891676,2.048482,37.857117,1.864532,13.350291,59.963616,4.369344,4.618452,18.753916,2.680684,1.644382,6.054464,117,23227,12,12
122,0,2.881375,2.037326,36.955566,1.814830,18.305491,59.957262,4.361138,3.748433,19.016429,2.656528,1.605299,5.841248,116,23227,4,4
123,0,2.800320,2.013652,39.672662,1.889706,15.602305,59.964993,4.320428,6.115607,19.337433,2.823883,1.952498,5.943675,130,23227,27,27
124,0,2.851345,2.018351,43.020610,1.874814,12.217031,59.963799,4.908657,5.163038,22.684085,3.410895,2.048374,7.323341,142,28106,10,10
125,0,20.889574,2.013529,37.688043,1.867408,19.518667,79.963691,4.141286,4.783281,18.705248,2.561117,1.684584,5.828593,117,23227,12,12
126,0,2.851752,1.960754,37.225722,1.847517,18.039378,59.964369,4.442573,3.563616,19.145884,2.727580,1.709384,6.106350,116,23227,4,4
127,0,2.800340,2.013163,55.690545,1.956926,19.516246,79.964057,4.533664,5.952660,19.512861,2.681061,2.047953,5.758118,130,23227,27,27
128,0,2.825914,1.975769,43.533725,1.884803,11.719920,59.964362,5.010742,4.956713,22.932638,3.312754,2.125448,7.263509,142,28106,10,10
129,0,11.266852,2.021118,38.170485,2.145036,8.348541,59.930915,4.336500,4.645620,18.874851,2.567966,1.862223,5.936245,117,23227,12,12
130,0,2.903897,2.018066,36.940308,1.805172,18.307627,59.957004,4.351963,3.717780,18.979034,2.734734,1.753794,5.907250,116,23227,4,4
131,0,2.791348,2.006571,39.614821,1.856320,15.701453,59.963942,4.275757,5.865523,19.783705,2.701562,1.924920,6.129920,130,23227,26,26
132,0,2.875122,2.019633,42.997864,1.892331,12.198544,59.963860,4.954359,5.037065,22.704580,3.296505,2.170929,7.132996,142,28106,10,10
133,0,7.183601,1.976135,37.856622,1.967770,12.955990,59.963982,4.298333,4.756850,18.785231,2.843641,1.786475,5.673818,117,23227,12,12
134,0,2.835958,2.016500,37.025031,1.866160,18.203813,59.930962,4.280497,3.777683,19.096900,2.560201,1.885532,5.866170,116,23227,4,4
135,0,2.840766,1.978678,39.466465,1.960581,15.718930,59.986742,4.363844,5.771671,19.650608,2.623688,1.819312,6.042992,130,23227,27,27
136,0,2.841397,2.023275,42.929884,2.166745,12.003632,59.941657,4.702891,5.211039,22.675741,3.011661,2.081095,7.355462,142,28106,10,10
137,0,72.591560,2.025859,37.804925,1.853641,7.713877,119.964003,4.441152,4.572869,18.904636,2.563819,1.764720,5.849870,117,23227,12,12
138,0,2.834696,2.011820,37.369514,1.831431,17.921580,59.957221,4.392721,3.910594,19.012950,2.736860,1.797767,5.890788,116,23227,4,4
139,0,2.851624,2.031474,37.943400,1.902768,17.295183,59.992974,4.432126,4.297947,19.185218,2.660733,1.765320,6.084167,117,23227,6,6
140,0,2.803596,2.019511,48.226149,1.867177,7.057227,59.954149,5.024431,9.548031,23.333825,3.273668,2.347317,7.081156,165,28106,60,60
141,0,11.556864,2.026876,38.086833,1.901764,8.399350,59.944811,4.387583,5.106411,18.646712,2.503540,1.687276,5.872437,116,23227,13,13
142,0,2.872965,1.993937,42.007731,1.887299,13.227678,59.995673,4.487946,8.094421,19.530772,2.708442,2.040595,5.694261,138,23227,45,45
143,0,2.829963,2.045003,37.967326,1.840098,17.294776,59.932163,4.334218,4.900835,18.965946,2.638319,1.750549,5.889713,116,23227,11,11
144,0,2.826077,2.037211,46.941969,2.184079,8.011993,59.964118,5.048557,8.831292,22.613261,3.271257,2.410404,6.862308,157,28106,48,48
145,0,10.673652,2.027588,38.092909,1.842607,9.354523,59.963691,4.404334,5.022471,18.808516,2.636603,1.744222,5.857395,116,23227,12,12
146,0,2.807949,2.019694,41.816406,1.857493,13.482229,59.964077,4.494253,8.068837,19.377190,2.779917,1.921916,5.622657,138,23227,46,46
147,0,2.861620,2.038717,37.823337,1.946855,17.326141,59.957954,4.283858,4.749600,18.881877,2.828861,1.721415,5.663862,116,23227,11,11
148,0,2.857808,2.036621,46.563992,1.871531,8.670542,59.963874,4.902520,8.673008,22.737966,3.181990,2.217624,6.815738,157,28106,48,48
149,0,6.909695,2.034505,38.048455,1.884823,13.120962,59.963935,4.267846,5.125410,18.731140,2.652693,1.634443,5.922201,116,23227,12,12
150,0,15.863939,2.041728,42.177836,1.940033,19.950226,79.932034,4.445292,8.143433,19.607249,2.653419,1.955750,5.834551,138,23227,46,46
151,0,2.807400,2.014730,38.884433,1.829749,16.441884,59.963467,4.735260,4.974528,18.999057,2.796875,1.649729,5.810798,117,23292,11,11
152,0,2.867072,2.041036,47.150736,1.881202,8.091197,59.990207,5.018734,8.816620,22.886237,3.484931,2.293040,6.759813,158,28171,48,48
153,0,7.334208,2.048564,38.362922,1.879771,12.360830,59.937731,4.548286,4.860033,19.197300,2.524909,1.747416,5.714786,117,23285,12,12
154,0,7.139147,2.070251,42.389343,1.858144,8.577796,59.964430,4.411557,8.438009,19.740699,2.687666,2.041104,5.694054,139,23299,46,46
155,0,2.860562,2.047302,38.397380,2.172211,16.501197,59.931349,4.245307,4.866347,19.327945,2.727580,1.754645,5.822340,117,23299,11,11
156,0,2.900865,2.065287,100.629374,1.820390,14.607473,119.958103,6.572717,8.438521,23.724338,3.429392,2.292131,6.759074,162,28771,48,48
157,0,6.961636,2.031820,40.321079,1.868228,10.780813,59.931756,4.803467,4.764672,20.831760,2.962257,1.846914,6.226040,124,24908,12,12
158,0,2.850654,2.048136,44.223219,2.149295,10.741160,59.964328,4.520440,8.211823,21.128723,2.802253,2.029293,6.419939,146,24956,46,46
159,0,2.908719,2.043518,40.155328,1.861759,15.037791,59.963596,4.384410,4.729635,21.313154,2.983877,1.896189,6.468028,125,25505,11,11
160,0,2.842516,2.039469,48.611504,1.889218,6.620907,59.964145,4.887916,9.088708,24.376641,3.367120,2.396257,7.638618,165,30413,48,48
161,0,6.929857,2.015157,60.106032,1.847517,11.080800,79.964206,4.426860,5.149105,20.642283,2.853007,1.849165,6.863030,124,25534,12,12
162,0,66.989563,2.041016,44.362169,1.903948,6.742462,119.998142,4.335337,8.501919,21.443451,2.989241,2.264553,6.683519,146,25534,46,46
163,0,2.847256,2.042033,39.945435,1.865434,15.264557,59.922682,4.310605,5.131951,20.486284,2.921054,1.750719,6.570767,124,25548,11,11
164,0,2.855130,2.050659,49.409397,2.039188,5.659719,59.963433,5.049910,8.826077,24.849060,3.549255,2.433143,7.667697,165,30427,48,48
165,0,6.504625,2.028971,40.101339,1.868520,11.457496,59.931980,4.376055,5.184163,20.719662,3.061832,1.772176,6.978102,124,25548,12,12
166,0,7.318529,2.048889,44.272454,1.859236,6.513763,59.963982,4.579369,8.350505,21.326857,3.000027,2.301208,6.662672,146,25556,46,46
167,0,2.850450,2.043315,40.217936,1.874908,14.966875,59.910170,4.385881,5.024570,20.891958,2.981547,1.811588,6.717726,124,25556,11,11
168,0,2.863444,2.051412,48.706401,1.822534,6.571442,59.963820,5.343675,9.003808,24.269579,3.693888,2.406253,7.486433,165,30435,48,48
169,0,7.310791,2.047668,40.098063,1.858192,10.718909,59.985955,4.511414,5.139370,20.688460,3.031375,1.930664,6.843435,124,25556,12,12
170,0,7.053107,2.130127,43.813104,1.886763,7.189158,59.942132,4.468580,8.209113,21.350661,3.095920,2.062147,6.650360,146,25556,46,46
171,0,2.831245,2.028219,39.676534,1.857235,15.599131,59.964145,4.408725,5.036624,20.382002,2.906694,1.851732,6.677643,124,25556,11,11
172,0,2.926907,2.092448,48.606703,2.025659,6.431488,59.990757,4.991733,8.879649,24.524353,3.594154,2.307376,7.700361,165,30435,48,48
173,0,6.996487,2.061096,39.982822,1.823388,11.127777,59.930474,4.369290,5.195899,20.608649,2.898027,1.785472,6.967367,124,25556,12,12
174,0,2.925361,2.090942,43.931858,1.819461,11.287893,59.964572,4.667067,8.153473,21.159485,2.886417,2.015076,6.528419,146,25556,46,46
175,0,19.100450,2.071655,39.849399,2.163659,18.850535,79.964044,4.349786,5.025994,20.392904,2.902564,1.770318,6.728583,124,25556,11,11
176,0,2.869331,2.068542,49.142917,1.900509,6.046302,59.959059,5.111376,8.940803,24.519711,3.654914,2.384674,7.756310,165,30435,48,48
177,0,7.481879,2.073079,40.450236,1.819346,10.185354,59.936815,4.572289,5.337792,20.580051,2.807753,1.950080,6.978784,124,25556,12,12
178,0,2.944180,2.069702,43.933594,1.871396,11.246043,59.995212,4.635074,8.247135,21.385593,2.923130,2.108005,6.727234,146,25556,46,46
179,0,7.356391,2.073303,39.705037,1.855743,11.015154,59.932326,4.346469,4.827559,20.569841,3.015479,1.949897,6.502892,124,25556,11,11
180,0,2.907898,2.031596,48.719055,1.824317,6.513404,59.964674,5.137689,8.821818,24.395192,3.499125,2.528229,7.524095,165,30435,48,48
181,0,6.988634,2.053792,39.877394,1.863766,11.227780,59.957574,4.397590,5.126434,20.456651,2.897386,1.848416,6.527429,124,25556,12,12
182,0,2.861884,2.061991,43.917196,1.897966,11.286957,59.964003,4.466970,8.177202,21.294613,3.038293,2.022237,6.727939,146,25556,46,46
183,0,2.895209,2.011698,39.709595,1.835371,15.544980,59.985155,4.629272,4.889737,20.235090,2.853963,1.787855,6.610369,124,25556,11,11
184,0,2.856086,2.056824,48.545553,1.932187,6.608714,59.942539,4.800408,9.143968,24.462321,3.582614,2.292837,7.638099,165,30435,48,48
185,0,7.838894,2.059326,40.090814,1.847517,10.186615,59.963840,4.200935,5.316942,20.532247,3.027886,1.893636,6.851044,124,25556,12,12
186,0,2.892280,2.047852,43.987745,1.898909,11.184804,59.963738,4.611813,8.572578,20.986209,2.911096,2.185601,6.595517,146,25560,46,46
187,0,68.054023,2.058472,40.185852,1.860369,9.863698,119.963942,4.739065,5.053653,20.418759,3.053457,1.807224,6.561496,124,25556,11,11
188,0,2.852688,2.043844,49.074843,1.864146,6.172177,59.963854,5.137516,8.770064,24.460829,3.463925,2.489092,7.747613,165,30435,48,48
189,0,7.101542,2.039836,40.310696,1.848582,10.696265,59.957086,4.399611,5.233327,20.641018,2.879249,1.970039,6.816613,124,25556,12,12
190,0,2.906359,2.065470,44.329956,2.028602,10.666840,59.931756,4.671519,8.526388,21.171149,2.929352,2.150302,6.630534,147,25558,46,46
191,0,7.199755,2.056254,40.345581,1.869822,10.549069,59.964227,4.783800,4.844099,20.930878,3.093770,1.919963,6.775109,127,25966,11,11
192,0,2.957343,2.079773,46.506890,1.859392,8.639767,59.963392,5.189043,6.540110,24.269162,3.532864,2.280162,7.914741,154,30869,22,22
193,0,6.673143,2.065287,40.161702,1.863970,11.232086,59.930901,4.429321,4.564802,20.982544,3.098724,1.836483,6.865194,128,26070,11,11
194,0,2.930440,2.047485,39.176032,1.867516,16.011966,59.985955,4.494337,3.721500,20.964556,2.964308,1.890608,7.084656,127,26070,2,2
195,0,6.982551,2.066915,58.313083,1.884199,12.762461,79.942295,4.539120,4.254835,20.726257,2.833194,1.991872,7.082347,127,26070,5,5
196,0,2.918437,2.066081,45.010885,1.788822,10.245555,59.963698,5.127998,4.569648,24.358799,3.617225,2.092818,8.399628,153,30949,6,6
197,0,7.033895,2.034098,39.898031,1.833561,11.213674,59.979160,4.610206,3.941440,20.983988,2.964410,1.843516,7.129591,127,26070,5,5
198,0,2.927192,2.085470,39.290588,1.825314,15.899384,59.942478,4.611796,3.802077,20.821916,3.150991,1.844679,7.033627,127,26070,4,4
199,0,4.444092,3.545288,39.916836,1.875444,13.760935,59.997308,4.591302,4.052256,20.985965,2.892334,1.949412,7.067437,127,26070,5,5
200,0,16.612169,2.121555,44.834493,1.818600,16.688344,79.953606,5.176832,4.645064,24.642629,3.601732,2.221252,8.652188,153,30949,6,6
201,0,8.545051,2.096151,40.023390,1.818200,9.554331,59.940972,4.692447,4.146440,20.678101,2.961782,1.780738,6.921790,127,26070,5,5
202,0,2.965827,2.106906,39.970154,1.845517,15.209035,59.990533,4.572123,3.569472,21.310245,2.928104,2.024590,6.813656,127,26084,4,4
203,0,2.955736,2.104431,39.446126,1.823178,15.712270,59.937310,4.500949,3.976420,21.002228,2.993585,1.928145,6.987573,127,26084,5,5
204,0,6.858303,2.115458,44.584513,1.831675,6.689674,59.964166,5.193804,4.274970,24.599660,3.681519,2.056837,8.169220,153,30963,6,6
205,0,7.137980,2.113403,39.588121,1.871226,11.366594,59.963921,4.689558,3.931315,20.803745,2.891734,1.825572,7.004293,127,26091,5,5
206,0,2.989346,2.120789,39.582458,1.789825,15.596371,59.958001,4.393124,3.901120,21.160075,2.887716,1.805759,7.132901,127,26091,4,4
207,0,2.953824,2.105855,39.411553,1.819177,15.747121,59.931675,4.433011,4.036499,20.873522,2.993601,2.032908,6.902252,127,26091,5,5
208,0,2.979906,2.123881,44.660665,1.894650,10.429637,59.964857,5.210259,4.432817,24.728414,3.423638,2.160489,8.580750,153,30970,6,6
209,0,7.096992,2.127279,39.605259,1.827966,11.432973,59.963189,4.394623,4.061740,20.994239,2.975542,1.983002,6.918325,127,26091,5,5
210,0,2.974921,2.117350,39.492452,1.833513,15.663361,59.964247,4.327857,3.793481,21.038537,3.199087,1.774845,6.861742,127,26091,4,4
211,0,2.988024,2.113342,39.533834,1.816301,15.625804,59.963962,4.476186,3.945034,21.130446,2.893673,2.039171,7.086450,127,26091,5,5
212,0,67.607571,2.127075,44.550598,1.841814,5.963979,119.963962,5.047329,4.420702,24.592902,3.574972,2.232666,8.366289,153,30970,6,6
213,0,6.403971,2.122965,40.157803,1.825653,11.576677,59.964105,4.489997,4.213881,20.876621,2.976115,1.886298,7.052392,127,26091,5,5
214,0,3.015259,2.125712,39.836100,2.160695,14.945960,59.958015,4.448130,3.770237,21.281033,3.002092,1.879286,7.277262,127,26091,4,4
215,0,2.942037,2.122437,39.429606,1.817156,15.775184,59.963982,4.507416,4.043332,20.712053,3.034454,1.863637,6.937290,127,26091,5,5
216,0,7.266995,2.105591,44.508708,1.893789,6.323666,59.993157,4.890917,4.512570,24.453929,3.426083,2.085598,8.549408,153,30970,6,6
217,0,7.362698,2.183838,39.585707,1.823117,11.163510,59.935031,4.432543,4.078288,20.979072,2.912221,1.892409,6.957635,127,26091,5,5
218,0,3.018250,2.148641,39.378784,1.883080,15.683665,59.963779,4.492815,3.680223,21.233751,3.154802,1.848650,7.141456,127,26091,4,4
219,0,2.994039,2.140422,39.573730,1.874800,15.521861,59.964430,4.271918,4.014950,21.053402,3.005981,1.940704,7.000329,127,26091,5,5
220,0,9.058960,2.136963,44.836005,1.822140,4.246267,59.963372,5.064324,4.387390,24.919223,3.684282,2.327372,8.522274,153,30970,6,6
221,0,7.484992,2.199768,39.746067,1.827918,10.905351,59.964328,4.635474,4.220005,20.792528,3.009206,1.853139,7.002079,127,26091,5,5
222,0,3.030565,2.177022,39.431234,1.855567,15.646576,59.963942,4.570821,3.747203,21.197015,3.061903,1.853187,7.187144,127,26091,4,4
223,0,2.998033,2.142721,39.577264,1.820370,15.561723,59.957391,4.351369,4.074836,20.928128,3.064165,1.824351,6.998939,127,26091,5,5
224,0,3.032498,2.175781,44.760844,1.833710,10.337073,59.964125,5.042087,4.567600,24.668701,3.344476,2.190280,8.546349,153,30970,6,6
225,0,20.860541,2.141398,39.338799,1.801375,17.963226,79.963942,4.337090,3.955770,20.857083,3.063134,1.832381,7.098667,127,26091,5,5
226,0,2.964783,2.133240,39.587979,1.866119,15.544837,59.963718,4.539480,3.755903,20.992079,2.907796,1.961636,7.245884,127,26091,4,4
227,0,2.997525,2.139181,39.762627,2.093869,15.137834,59.991855,4.518670,4.006354,20.912384,2.961680,1.952576,6.947550,127,26091,5,5
228,0,3.003588,2.150228,44.988132,1.889014,10.055396,59.936130,4.919749,4.597805,24.843136,3.693797,2.198866,8.531125,153,30970,6,6
229,0,10.593757,2.161112,57.671970,1.842322,9.856218,79.964267,4.476308,3.889303,20.925524,2.853519,1.745212,7.217692,127,26091,5,5
230,0,3.038133,2.150553,39.858676,1.856869,15.209897,59.963576,4.481533,3.691298,21.201419,3.184543,1.848785,6.956553,127,26091,4,4
231,0,2.949605,2.127319,40.111959,1.829546,15.023882,59.914992,4.562588,4.036129,20.902693,3.019965,1.869683,6.878560,127,26091,5,5
232,0,3.029527,2.175049,44.837538,1.794640,10.317495,59.979201,4.923537,4.511010,24.829295,3.561086,2.369385,8.569987,153,30970,6,6
233,0,7.225715,2.150391,39.681742,2.154660,10.905691,59.967807,4.468923,3.912014,21.062483,2.879757,1.820017,7.203115,127,26091,5,5
234,0,2.986796,2.128560,39.179532,1.844215,15.934580,59.945123,4.381561,3.855194,20.854930,2.926514,1.778073,7.075636,127,26091,4,4
235,0,2.994127,2.131632,39.871168,1.880958,15.248179,59.994432,4.774767,3.984358,20.822232,2.896047,1.782539,6.902317,127,26091,5,5
236,0,2.992662,2.171265,44.735270,1.799964,10.404917,59.932814,5.007517,4.567017,24.590295,3.594340,2.158403,8.148916,153,30970,6,6
237,0,68.254829,2.123718,39.581319,1.829037,10.298452,119.963637,4.308899,3.832520,20.935425,2.980740,1.959120,7.029673,127,26091,5,5
238,0,3.004523,2.141452,39.687107,1.793698,15.478797,59.964125,4.351254,4.003364,20.950443,2.960022,1.919071,7.167823,127,26091,4,4
239,0,3.042101,2.152995,40.088657,2.081702,14.744951,59.957411,4.573612,4.125892,21.025848,2.941311,1.812771,6.979482,127,26091,5,5
240,0,3.006334,2.143677,44.706516,1.887034,10.364743,59.964627,5.148695,4.422750,24.633084,3.443576,2.309675,8.177792,153,30970,6,6
241,0,10.910672,2.195109,39.488057,1.808258,7.777442,59.984429,4.480927,3.863708,20.922753,2.844727,1.955468,6.919271,127,26091,5,5
242,0,2.935676,2.113586,39.372084,1.794410,15.840308,59.942478,4.425066,3.692447,21.066162,3.002886,1.884606,7.111254,127,26091,4,4
243,0,3.051208,2.164164,39.694804,1.830631,15.388051,59.964695,4.492113,4.159892,20.934889,2.889645,1.864170,7.104251,127,26091,5,5
244,0,2.938158,2.116862,44.618062,1.799313,10.607798,59.963331,4.979167,4.572113,24.671580,3.544020,2.391808,8.421458,153,30970,6,6
245,0,11.161709,2.147095,39.513726,1.873491,7.415741,59.964667,4.311415,3.959856,21.041545,3.007701,1.884525,6.950456,127,26091,5,5
246,0,3.019090,2.158664,39.392409,1.788435,15.763824,59.963759,4.440894,3.883253,20.912198,2.764421,1.878113,7.212118,127,26091,4,4
247,0,3.005764,2.153198,39.493178,1.885400,15.579234,59.963576,4.248644,3.953613,21.062663,3.073490,1.783457,6.928782,127,26091,5,5
248,0,3.013536,2.152995,44.598938,1.877085,10.468747,59.958306,4.919135,4.454298,24.780931,3.624078,2.202630,8.619751,153,30970,6,6
249,0,6.806234,2.156576,39.780294,1.833167,11.510983,59.930678,4.472785,4.176080,20.942156,2.844103,1.839189,7.015432,127,26091,5,5
250,0,15.940335,2.170959,39.370300,1.934092,2.719866,59.964593,4.405331,3.716014,20.936266,2.952555,1.846822,7.199158,127,26091,4,4
251,0,3.044749,2.155090,39.392453,1.833181,15.693763,59.964145,4.336731,4.019199,20.778303,2.905636,1.819190,6.933302,127,26091,5,5
252,0,2.985725,2.129557,44.604811,1.859846,10.513743,59.964125,5.103275,4.376512,24.777673,3.427138,2.267002,8.711714,153,30970,6,6
253,0,7.076090,2.143433,39.467041,1.837101,11.583221,59.963454,4.633406,4.053280,20.807631,3.058156,1.944834,6.995310,127,26091,5,5
254,0,7.453803,2.146220,39.299208,1.821333,11.389720,59.964064,4.374054,3.595483,21.156887,3.061639,1.912706,7.072218,127,26091,4,4
255,0,3.004978,2.121257,39.402418,1.797957,15.758250,59.963603,4.628818,3.951786,20.919596,3.113427,1.785967,7.098914,127,26091,5,5
256,0,3.002672,2.143087,44.769531,1.904741,10.287221,59.964166,5.099952,4.455024,24.880825,3.531494,2.300422,8.598168,153,30970,6,6
257,0,7.141120,2.153320,39.809835,1.836599,11.190793,59.978346,4.502204,3.884226,21.166083,2.933102,1.953217,7.108582,127,26091,5,5
258,0,2.947083,2.131958,39.276313,1.791155,15.928457,59.943007,4.417908,3.710198,20.880571,3.125383,1.847555,7.028690,127,26091,4,4
259,0,3.010132,2.159729,39.831936,1.833845,15.257267,59.933180,4.471534,4.083469,20.990512,3.046193,1.959863,7.048750,127,26091,5,5
260,0,3.023905,2.140035,44.543810,1.800127,10.609548,59.977390,5.191376,4.252801,24.735748,3.413401,2.127475,8.693899,153,30970,6,6
261,0,9.100959,2.145549,39.558044,3.374257,7.916419,59.949680,4.395406,4.057963,20.931122,2.844662,1.820428,7.206190,127,26091,5,5
262,0,68.772549,2.152608,39.448764,1.804671,9.938080,119.964064,4.521576,3.802246,21.129713,2.992099,1.980286,7.277625,127,26091,4,4
263,0,3.000475,2.123861,58.512160,1.812456,16.639136,79.964227,4.646912,4.318912,20.801168,2.875288,1.972426,6.996429,127,26091,5,5
264,0,2.992072,2.145935,44.644158,1.867394,10.478119,59.981744,5.125417,4.539948,24.505551,3.447316,2.225352,8.533013,153,30970,6,6
265,0,7.066759,2.141032,40.118035,1.834944,10.920115,59.939853,4.579091,4.129808,20.890876,3.058228,1.883918,6.947673,127,26091,5,5
266,0,7.041572,2.122043,39.464105,1.862606,11.595734,59.964016,4.473314,3.539280,21.304220,3.147932,1.911740,6.882799,127,26091,4,4
267,0,2.982815,2.174377,39.379049,1.837521,15.731984,59.931369,4.288561,4.127675,20.884250,2.986938,1.854312,6.940128,127,26091,5,5
268,0,2.989346,2.139628,44.772637,1.903324,10.299021,59.964328,5.161838,4.530253,24.740119,3.522929,2.236426,8.582577,153,30970,6,6
269,0,7.233019,2.152730,39.648003,1.832462,11.250132,59.963616,4.320828,3.942905,21.154595,2.884945,1.823883,7.026577,127,26091,5,5
270,0,7.032823,2.142314,39.290039,1.798743,11.842478,59.964084,4.468801,3.738400,20.933133,2.841817,1.787367,7.330526,127,26091,4,4
271,0,3.026537,2.152812,39.679620,1.827511,15.430620,59.964288,4.411896,4.161289,20.694204,2.938968,1.747508,7.061998,127,26091,5,5
272,0,2.949341,2.140747,44.504259,1.825958,10.684567,59.964125,4.784651,4.395477,24.761888,3.545783,2.271745,8.347439,153,30970,6,6
273,0,7.212816,2.157593,39.770867,1.833269,11.141191,59.958143,4.629249,4.166568,20.855282,2.976966,1.853390,7.014242,127,26091,5,5
274,0,2.965535,2.122823,39.404629,1.795237,15.798499,59.963901,4.350932,3.910645,20.845076,2.954278,1.856445,7.122331,127,26091,4,4
275,0,17.056464,2.148743,39.748081,1.825619,1.333716,59.963881,4.567322,4.158546,20.879564,2.941996,1.876970,6.969337,127,26091,5,5
276,0,2.991584,2.147257,44.693068,1.841997,10.459245,59.985894,4.925988,4.456231,24.770508,3.600983,2.168494,8.533034,153,30970,6,6
277,0,7.063504,2.134033,39.501424,1.812761,11.564056,59.941745,4.404433,3.906725,21.173496,3.094191,1.941796,6.943339,127,26091,5,5
278,0,2.992900,2.147868,39.468160,1.824914,15.701508,59.987481,4.524651,3.755653,21.088033,2.995914,1.892792,7.172668,127,26091,4,4
279,0,7.297017,2.143311,39.684835,1.792138,11.166433,59.940423,4.702884,3.966400,20.959225,2.968987,1.836219,7.055040,127,26091,5,5
280,0,2.993110,2.180237,44.715061,1.871097,10.384857,59.964125,5.014069,4.563646,24.700568,3.499051,2.270901,8.490987,153,30970,6,6
281,0,7.194099,2.146952,39.689223,1.863692,11.216868,59.963881,4.386722,3.696804,21.555589,2.962019,1.844744,6.885701,128,26067,5,5
282,0,2.944302,2.137126,39.335137,1.793087,15.885169,59.957696,4.348548,3.899119,20.853631,2.890283,1.857452,6.725688,127,25459,4,4
283,0,3.040710,2.153585,39.136332,1.788795,15.998613,59.964450,4.548920,3.889462,20.695062,3.067803,1.834975,6.400238,126,25099,5,5
284,0,2.961555,2.144206,44.322686,1.952837,10.727475,59.964552,5.118747,4.246287,24.247023,3.676348,2.206814,7.412764,151,29666,6,6
285,0,7.761583,2.145752,38.018019,1.813785,12.370127,59.963515,4.615190,3.854614,19.566640,2.857056,1.876099,6.135505,121,23887,5,5
286,0,2.958320,2.141337,37.518304,1.832340,17.655019,59.963982,4.431546,3.574900,19.431115,2.737508,1.683824,6.431190,120,23885,4,4
287,0,64.163133,2.155680,38.047302,1.856625,15.896820,119.963881,4.563551,3.839379,19.284519,2.854292,1.754537,6.192946,120,23885,5,5
288,0,2.962287,2.145325,43.271518,1.898563,11.831553,59.963921,5.044376,4.328868,23.262770,3.203810,2.141262,7.716254,146,28764,6,6
289,0,7.271308,2.154358,56.649556,1.817074,14.226512,79.964450,4.362946,4.055430,19.600013,2.754940,1.787367,5.984168,120,23885,5,5
290,0,3.035421,2.156250,38.180603,1.845198,16.896128,59.957350,4.697801,3.609812,19.491991,2.716909,1.722853,6.312639,120,23885,4,4
291,0,7.155870,2.128703,38.120707,1.818600,12.892568,59.987745,4.568858,3.918603,19.450809,2.829868,1.849301,6.173272,120,23885,5,5
