frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.850216,2.148892,39.355072,1.001489,11.751258,59.958035,5.083950,3.940942,21.936486,2.931268,2.516510,7.214379,142,28090,0,0
121,0,7.882592,2.121582,34.241662,1.004459,16.834890,59.963603,4.487847,3.436652,18.187117,2.501600,2.102041,5.947839,116,23211,0,0
122,0,2.911014,2.123827,38.921804,1.031043,17.099864,59.963725,4.998969,3.785604,21.749044,2.904931,2.557492,7.154877,142,28090,0,0
123,0,2.958520,2.121745,33.827416,1.031803,2.145640,39.963379,4.294495,3.363481,18.379574,2.493317,2.000336,5.913818,116,23211,0,0
124,0,2.953162,2.123176,39.222646,0.999976,16.788083,59.963867,5.092638,3.781270,21.810913,2.887529,2.659041,7.143694,142,28090,0,0
125,0,21.792504,2.114692,34.284509,1.004201,2.881215,59.962429,4.490024,3.489875,18.161865,2.389903,2.078620,5.968123,116,23211,0,0
126,0,2.905602,2.116726,39.018158,1.005775,17.007707,59.937242,4.851973,4.051215,21.658586,3.026404,2.589847,7.096978,142,28090,0,0
127,0,2.983097,2.125800,33.940291,1.008094,2.031918,39.963399,4.354234,3.404822,18.282667,2.436127,2.052931,5.939209,116,23211,0,0
128,0,2.905602,2.116503,39.354496,1.002811,16.701223,59.964132,5.046451,4.061896,21.673265,3.016422,2.573490,7.066661,142,28090,0,0
129,0,10.874997,2.099813,34.313961,0.999834,13.768158,59.956950,4.197479,3.278514,18.738356,2.678158,2.330478,5.782569,116,23211,0,0
130,0,2.940331,2.115736,39.228600,0.998525,16.810326,59.977783,4.888353,3.882541,21.897814,2.922312,2.623556,7.200039,142,28090,0,0
131,0,2.938968,2.119853,33.853831,1.036943,2.148122,39.977865,4.343313,3.212270,18.522949,2.560560,2.230204,5.975182,116,23211,0,0
132,0,2.893416,2.107259,39.099328,1.002621,16.940447,59.935811,5.082747,3.844418,21.667365,3.167050,2.534807,6.903083,142,28090,0,0
133,0,7.567468,2.120483,34.494083,1.004825,16.896962,59.963338,4.341590,3.561900,18.520382,2.471822,2.216441,6.073673,116,23211,0,0
134,0,2.904110,2.115214,38.936941,1.035526,17.087128,59.963704,4.955332,3.940552,21.691250,2.921773,2.666860,7.143989,142,28090,0,0
135,0,2.945316,2.097026,33.834089,1.003476,2.180111,39.962992,4.268500,3.428843,18.383365,2.550191,2.086426,5.857958,116,23211,0,0
136,0,2.973758,2.132690,39.136987,1.010359,16.842946,59.964050,5.098891,3.865963,21.569784,2.957492,2.573676,7.183797,142,28090,0,0
137,0,85.253055,2.116760,34.326609,0.977651,19.406226,139.963542,4.432431,3.248844,18.643239,2.577376,2.147508,5.889401,116,23211,0,0
138,0,2.981605,2.132358,39.198157,1.033037,16.772736,59.985535,5.016100,4.289161,21.470239,2.957787,2.582258,7.075836,142,28090,0,0
139,0,2.936506,2.118306,34.232771,1.004154,1.761342,39.934774,4.242896,3.324249,18.542938,2.438348,2.148702,5.970483,116,23211,0,0
140,0,2.972358,2.112590,39.055155,1.029321,16.929867,59.986701,4.896986,3.858856,21.872047,3.089962,2.606862,7.146152,142,28090,0,0
141,0,14.108910,2.127543,34.157027,1.024662,10.667314,59.957913,4.449710,3.510471,18.214918,2.391503,2.013234,6.035129,116,23211,0,0
142,0,2.883894,2.096436,39.014184,1.001278,17.047360,59.946716,4.864102,3.897003,21.917511,3.042087,2.522539,7.075545,142,28090,0,0
143,0,2.983537,2.124478,33.919444,1.001957,2.058163,39.963101,4.282338,3.389642,18.457214,2.481961,2.012465,6.031996,116,23211,0,0
144,0,2.961043,2.143819,39.246952,1.002852,16.753333,59.964179,4.877374,3.649038,22.303969,3.210541,2.578193,7.139889,142,28090,0,0
145,0,11.411604,2.114712,34.207530,1.000912,13.313853,59.933899,4.378540,3.355754,18.410617,2.538900,2.149462,5.900591,116,23211,0,0
146,0,2.998457,2.166931,39.089094,1.003991,16.877601,59.969143,4.984470,3.872335,21.919257,3.043260,2.673503,7.089596,142,28090,0,0
147,0,2.892297,2.105048,34.132490,1.004968,1.920603,39.950358,4.561937,3.301005,18.540802,2.484992,2.145718,5.900363,116,23211,0,0
148,0,2.925968,2.111708,39.066572,1.004778,16.966936,59.964254,4.880859,3.814894,21.777001,3.351312,2.478112,6.749590,142,28090,0,0
149,0,7.488529,2.112569,34.461612,1.033369,16.979706,59.963216,4.314328,3.604231,18.585832,2.641317,2.214705,5.894579,116,23211,0,0
150,0,20.114221,2.120755,39.144338,1.007300,19.697988,79.963847,5.045648,3.927039,21.846283,2.981676,2.582560,7.097419,142,28090,0,0
151,0,2.958906,2.120972,34.333357,1.004072,1.666317,39.962653,4.557170,3.469655,18.328793,2.509288,2.060998,5.941288,116,23211,0,0
152,0,3.016666,2.147502,39.115482,1.001617,16.851403,59.985168,5.067291,3.974070,21.607056,2.999610,2.593051,7.053582,142,28090,0,0
153,0,7.989275,2.113444,34.215261,1.006263,16.732113,59.942912,4.417457,3.457045,18.287944,2.499051,2.079054,6.027503,116,23211,0,0
154,0,8.273007,2.118273,38.950043,1.002987,11.737586,59.963623,4.834930,3.741418,21.813697,3.269928,2.567013,6.962748,142,28090,0,0
155,0,2.979028,2.119554,34.028568,1.001244,1.954078,39.962918,4.454532,3.390727,18.277896,2.365387,2.010695,6.027659,116,23211,0,0
156,0,2.944889,2.157518,39.369171,1.006446,16.643829,59.964335,5.045597,4.049805,21.788578,2.945038,2.522356,7.137234,142,28090,0,0
157,0,7.351376,2.117981,34.265554,0.993215,17.346649,59.956794,4.401998,3.444583,18.431485,2.552294,2.076555,5.893860,116,23211,0,0
158,0,2.958683,2.167562,38.915755,1.035912,17.070994,59.981344,4.836653,3.796027,21.747257,2.819204,2.643307,6.996179,142,28090,0,0
159,0,2.909142,2.121094,33.829193,1.003354,2.204437,39.946126,4.282288,3.440721,18.317501,2.743140,1.982751,5.795383,116,23211,0,0
160,0,2.944441,2.098226,39.114716,1.003984,16.900584,59.963725,5.108365,3.731245,21.914164,2.974277,2.552917,6.992927,142,28090,0,0
161,0,6.990095,2.119934,34.139245,0.979496,17.854624,59.963460,4.386095,3.459429,18.213267,2.527320,2.130825,5.697852,116,23211,0,0
162,0,76.650414,2.116801,39.271467,1.005307,3.035478,119.962667,4.957631,4.094357,21.764489,2.928365,2.549306,7.101291,142,28090,0,0
163,0,2.936425,2.114610,34.193329,1.005124,1.828827,39.963704,4.512990,3.405945,18.123338,2.525035,2.087206,5.766676,116,23211,0,0
164,0,2.899580,2.112488,39.471154,1.004296,16.589244,59.964274,4.898332,4.081607,21.911950,3.085117,2.520888,7.197232,142,28090,0,0
165,0,7.850847,2.114237,34.271678,1.016880,16.824158,59.963562,4.320058,3.321974,18.492547,2.551259,2.275831,5.954851,116,23211,0,0
166,0,7.637963,2.102227,39.110301,1.007199,12.201284,59.956746,4.743028,4.048289,21.924076,2.961795,2.592061,7.066779,142,28090,0,0
167,0,2.920875,2.114631,33.816132,1.005191,2.220801,39.962999,4.159861,3.380785,18.524814,2.528144,2.084266,5.858117,116,23211,0,0
168,0,2.915612,2.116516,39.153941,1.000342,16.893592,59.963487,4.881544,3.865580,22.008531,3.022858,2.777713,6.849348,142,28090,0,0
169,0,7.130110,2.111816,34.290232,0.986393,17.557709,59.964444,4.492299,3.477227,18.324602,2.520745,2.151055,5.963050,116,23211,0,0
170,0,7.273726,2.111274,39.014184,1.004866,12.671092,59.963867,4.896352,3.743161,21.830129,2.908129,2.512987,7.157023,142,28090,0,0
171,0,2.945621,2.126994,33.855214,1.024696,2.158376,39.983907,4.059299,3.331282,18.591502,2.647993,2.188819,5.738024,116,23211,0,0
172,0,2.897220,2.110636,39.057397,1.032454,16.983029,59.970100,4.914859,3.862125,21.597887,2.960704,2.610399,7.185900,142,28090,0,0
173,0,7.793623,2.120300,34.241648,1.004391,16.896922,59.936584,4.443837,3.520114,18.341380,2.477197,2.298333,6.029076,116,23211,0,0
174,0,2.908166,2.118856,38.953250,0.998478,17.103329,59.963223,4.958232,3.741350,21.730279,3.063660,2.517249,6.930284,142,28090,0,0
175,0,16.257999,2.124763,33.890710,1.000987,8.813914,59.963609,4.291673,3.292565,18.361487,2.535231,2.060771,5.876061,116,23211,0,0
176,0,2.947757,2.122660,39.156342,1.005368,16.847775,59.957241,5.150208,3.852580,21.807831,2.915944,2.542847,7.062944,142,28090,0,0
177,0,6.991113,2.123949,34.136336,0.979184,17.857073,59.963704,4.353441,3.449341,18.650964,2.394192,2.122925,6.092940,116,23211,0,0
178,0,2.898543,2.110331,39.007999,0.999291,17.057648,59.963481,4.894860,3.680284,21.897308,3.056681,2.579844,7.114485,142,28090,0,0
179,0,7.317481,2.112834,34.042755,0.977475,17.625892,59.963603,4.191091,3.660661,18.414856,2.433875,2.216231,6.077298,116,23211,0,0
180,0,2.947954,2.122192,39.168352,1.003923,16.843414,59.963643,4.926548,3.998508,21.707465,3.006938,2.440589,7.128825,142,28090,0,0
181,0,7.623864,2.113491,34.022159,0.998722,17.330597,59.975342,4.477661,3.403690,18.296092,2.576976,2.077501,5.834378,116,23211,0,0
182,0,2.904097,2.116679,39.009220,1.000342,17.037696,59.951355,4.902744,3.686181,21.847860,3.099057,2.550446,7.073062,142,28090,0,0
183,0,2.960249,2.120422,33.937381,0.997426,2.068573,39.963630,4.285912,3.100620,18.573025,2.446455,2.157888,5.946923,116,23211,0,0
184,0,2.944726,2.115051,39.199914,1.032488,16.812863,59.989990,5.003242,4.010742,21.808577,3.227329,2.532172,7.106635,142,28090,0,0
185,0,7.463179,2.111593,34.220523,1.002370,17.244734,59.930806,4.275296,3.552005,18.293518,2.424608,2.150116,6.065993,116,23211,0,0
186,0,2.894697,2.108053,39.063154,1.004642,16.972951,59.935445,5.068515,3.772393,21.920624,2.905470,2.669891,7.213694,142,28090,0,0
