frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.797824,2.027798,36.787292,0.992445,19.387597,59.965159,4.640886,3.851929,20.005012,2.883433,2.790344,7.269969,142,28090,0,0
121,0,2.853468,2.018473,32.178955,1.005520,3.925100,39.963043,4.211019,3.279433,16.930040,2.511417,2.006911,5.809289,116,23211,0,0
122,0,2.814304,2.025804,36.569275,0.980150,19.572764,59.936493,4.622321,3.719387,19.903978,2.963596,2.532898,7.104774,142,28090,0,0
123,0,2.835707,1.991272,32.030843,1.005602,4.091522,39.963674,4.199090,3.393941,16.581516,2.549723,2.151601,5.610352,116,23211,0,0
124,0,2.877584,2.046468,36.683689,0.974698,19.428090,59.964060,4.950402,3.668559,19.886176,2.991723,2.530599,7.209327,142,28090,0,0
125,0,2.805067,2.032193,32.418884,1.002570,3.736582,39.963104,4.327311,3.423343,16.845703,2.498308,2.052178,6.086999,116,23211,0,0
126,0,2.847690,2.044698,36.571920,0.980231,19.564524,59.964366,4.795471,3.833805,19.743357,3.006229,2.520396,6.989780,142,28090,0,0
127,0,2.801934,2.029772,32.211873,1.004157,3.939301,39.957265,4.172607,3.270318,16.849433,2.577315,2.054230,5.902415,116,23211,0,0
128,0,2.788730,2.017788,36.851766,0.984138,19.342906,59.967539,4.874335,3.821526,19.850874,3.055308,2.547624,7.206726,142,28090,0,0
129,0,2.795729,2.024312,32.267171,1.001044,3.895782,39.959727,4.055423,3.191169,16.984080,2.583065,2.089708,6.033081,116,23211,0,0
130,0,2.802178,2.032416,36.567342,0.979418,19.615712,59.964650,4.854763,3.734663,19.792053,2.909105,2.596568,7.049293,142,28090,0,0
131,0,2.818434,2.022807,32.105265,1.027289,4.005971,39.956960,4.235819,3.182339,16.872057,2.472039,2.236972,5.949677,116,23211,0,0
132,0,2.831394,2.059814,36.604329,0.983812,19.523366,59.942902,4.690657,3.747799,19.849155,2.940911,2.536157,7.324253,142,28090,0,0
133,0,2.849806,2.030443,32.179159,1.004083,3.930932,39.963979,4.259728,3.187954,16.897525,2.599335,2.017595,5.982632,116,23211,0,0
134,0,2.834059,2.026598,36.523783,0.980069,19.625865,59.963776,4.984887,3.644677,19.464559,3.022363,2.554457,6.815521,142,28090,0,0
135,0,2.789035,1.982951,32.121643,1.005419,4.047394,39.963491,4.352892,3.328579,16.662455,2.544434,2.012109,5.761980,116,23211,0,0
136,0,2.875278,2.044298,36.706177,0.981411,19.401438,59.964305,4.911316,3.826864,19.817190,2.896705,2.639960,7.202586,142,28090,0,0
137,0,2.805840,2.032925,32.418376,0.999722,3.739899,39.963837,4.225026,3.145287,17.060496,2.628767,1.943149,6.080994,116,23211,0,0
