frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.637899,2.015259,41.469713,1.820146,9.036441,59.964199,5.137760,4.688521,21.106730,3.230818,2.511512,6.023980,143,28106,8,8
121,0,7.408712,1.997904,36.623454,1.911733,14.020511,59.964410,4.616024,4.318919,17.635773,2.808078,2.001750,4.911329,117,23227,12,12
122,0,2.833483,2.016479,35.629591,1.965844,19.528303,59.957221,4.593275,3.533352,17.612376,2.968723,2.027174,4.901310,116,23227,4,4
123,0,2.856140,1.973592,38.000292,2.105018,17.002872,59.964322,4.560113,5.639387,17.907759,2.748650,2.269253,4.859955,130,23227,27,27
124,0,2.806763,2.025167,41.092061,1.848568,14.216563,59.963955,5.082547,4.775347,20.852434,3.267860,2.467000,6.015201,142,28106,10,10
125,0,28.171468,1.973755,36.591451,1.872718,13.328359,79.963996,4.536713,4.689473,17.483971,2.670013,2.205363,4.948842,117,23227,12,12
126,0,2.785563,2.000468,36.062751,2.183848,18.932119,59.964281,4.476674,3.655023,17.657135,2.732598,2.268531,4.990448,116,23227,4,4
127,0,2.790975,2.009094,38.867615,1.820838,16.484731,59.964159,4.662404,5.627177,18.443661,2.749542,2.430223,5.054162,130,23227,27,27
128,0,2.818278,1.998861,41.162482,1.845286,14.138011,59.964057,5.035682,4.785726,20.995083,3.475220,2.493157,6.097873,142,28106,10,10
129,0,13.350484,1.986104,36.519701,1.817108,8.276906,59.964199,4.369147,4.522844,17.660570,2.723328,2.186930,4.996816,117,23227,12,12
130,0,2.787496,2.001200,35.608812,1.988719,19.546743,59.931769,4.531752,3.579790,17.493771,2.641232,2.157555,4.987990,116,23227,4,4
131,0,2.805895,1.949239,38.026937,1.866065,17.258169,59.957065,4.463694,5.657091,17.968309,2.681485,2.183638,4.992116,130,23227,26,26
132,0,2.835673,2.017944,41.088874,1.881453,14.158349,59.964349,5.053511,4.845055,20.784980,3.322300,2.599382,5.934269,142,28106,10,10
133,0,8.721931,1.991943,36.515605,1.854624,12.872284,59.964444,4.600020,4.503866,17.572177,2.620572,2.233212,5.044081,117,23227,12,12
134,0,2.837979,2.021240,35.799615,1.816783,19.509525,59.963901,4.558539,3.619839,17.581984,2.612688,2.069753,5.032915,116,23227,4,4
135,0,2.795959,2.012329,55.860480,1.878103,19.429331,79.963874,4.610233,5.496446,18.547916,2.977234,2.402537,5.179443,130,23227,27,27
136,0,2.825623,1.977885,41.526021,1.842967,13.769514,59.964125,5.324860,4.764832,20.830309,3.416799,2.551147,5.980615,142,28106,10,10
137,0,115.309984,1.993632,37.015862,2.250668,5.387482,159.963996,4.451345,4.396088,17.539378,2.720591,2.038045,4.907376,117,23227,12,12
138,0,2.816169,1.996033,35.949741,1.790463,19.401154,59.957526,4.527890,3.584340,17.763380,2.833282,2.153219,4.964162,116,23227,4,4
139,0,2.838725,1.992432,36.402873,2.535634,18.187361,59.964593,4.503788,3.968207,17.635969,2.794308,2.119907,4.891184,117,23227,6,6
140,0,2.804626,2.022176,46.614583,1.893049,8.651174,59.963433,5.128957,9.552236,21.549967,3.390635,2.962243,5.760440,165,28106,60,60
141,0,12.190253,2.022441,36.712402,1.817712,9.243635,59.964003,4.448195,4.896861,17.447764,2.607876,2.006293,4.921431,116,23227,13,13
