frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,8.119914,2.163289,41.206855,1.854401,8.784231,59.965400,5.095561,4.737403,21.001868,3.064365,2.613942,6.208598,143,28106,8,8
121,0,11.245063,2.218689,36.794651,1.885583,10.038645,59.963942,4.532176,4.564497,17.527066,2.543148,2.160085,5.097124,117,23227,12,12
122,0,2.958964,2.174825,35.856771,2.183794,18.987762,59.987291,4.665171,3.738909,17.395467,2.664764,2.108283,4.946913,116,23227,4,4
123,0,2.934007,2.122559,38.487834,1.824934,16.694116,59.940891,4.629940,5.979248,17.903985,2.768572,2.269138,4.956577,130,23227,27,27
124,0,2.991116,2.171041,41.532613,1.853146,13.587528,59.964403,5.077264,4.862349,21.030558,3.156691,2.537540,6.189667,142,28106,10,10
125,0,40.870850,2.147746,36.627075,1.864139,0.601451,79.963515,4.647135,4.743005,17.230086,2.635098,2.097877,4.834462,117,23227,12,12
126,0,2.944119,2.159302,36.139682,2.513763,18.328535,59.926100,4.443288,3.853407,17.546258,2.720042,2.050303,5.122765,116,23227,4,4
127,0,2.996053,2.153788,56.564026,1.946801,18.456797,79.963677,4.696587,5.750587,18.326955,2.681007,2.323876,5.090688,130,23227,27,27
128,0,2.933797,2.150594,42.134237,1.867313,13.028432,59.963779,5.202569,4.859517,21.392782,3.302280,2.431186,6.201480,142,28106,10,10
129,0,16.279948,2.149658,37.203145,1.937063,4.543989,59.964145,4.686449,4.538517,17.503760,2.539015,2.119344,5.045844,117,23227,12,12
130,0,2.969930,2.182434,35.791226,1.823225,19.380415,59.964796,4.554572,3.781626,17.429969,2.558882,2.082452,5.193749,116,23227,4,4
131,0,3.014648,2.226379,38.357591,1.855574,16.736494,59.964308,4.540270,5.711972,17.962480,2.640066,2.390221,5.150024,130,23227,26,26
132,0,2.940355,2.155741,41.387933,1.821476,13.814362,59.964125,5.300537,5.044491,20.781040,3.292141,2.566620,6.051697,142,28106,10,10
133,0,7.237549,2.174377,36.931864,1.861250,13.933116,59.963779,4.532155,4.596897,17.704644,2.725766,2.004964,4.943383,117,23227,12,12
134,0,2.990743,2.203471,35.692573,1.836341,19.438121,59.957777,4.639821,3.685923,17.528602,2.693200,2.146311,4.939806,116,23227,4,4
135,0,3.025248,2.167480,38.241638,1.836178,16.896983,60.000047,4.533417,6.007128,17.884216,2.760678,2.342010,5.079556,130,23227,27,27
136,0,2.933356,2.151265,41.356974,1.855682,13.781036,59.927049,5.221090,4.935042,20.895128,3.276130,2.528917,6.091583,142,28106,10,10
137,0,78.364631,2.215861,36.742221,1.897749,2.959524,119.964125,4.453542,4.639604,17.770016,2.578356,2.274733,5.190752,117,23227,12,12
138,0,3.015001,2.160339,36.234653,2.460188,18.259491,59.969333,4.773088,3.790792,17.525625,2.515225,2.117723,5.115787,116,23227,4,4
139,0,2.940023,2.155782,36.681668,1.896040,18.441959,59.959690,4.630378,4.181678,17.809404,2.861213,1.937012,5.172865,117,23227,6,6
140,0,2.936266,2.153544,46.917616,1.871572,8.208174,59.933628,5.233934,9.656223,21.686900,3.422994,3.040626,5.953213,165,28106,60,60
141,0,13.709968,2.164429,36.916721,2.218652,7.132653,59.977993,4.558699,4.803518,17.629133,2.661452,2.073259,4.911024,116,23227,13,13
142,0,2.989909,2.169169,40.869934,1.888234,14.186384,59.934462,4.795739,7.850403,18.493435,2.768663,2.509566,4.909936,138,23227,45,45
143,0,3.005154,2.173767,36.624919,1.939084,18.395396,59.964552,4.480089,4.772044,17.268792,2.684248,2.001234,4.923577,116,23227,11,11
144,0,2.967957,2.157328,45.383260,1.913456,9.729563,59.994236,5.278843,8.590654,21.075124,3.229262,2.672848,5.858521,157,28106,48,48
145,0,11.381490,2.179464,36.845561,1.846717,9.859650,59.933417,4.448998,4.836724,17.569251,2.653595,2.050235,4.955519,116,23227,12,12
146,0,3.004361,2.170390,40.874708,1.843726,14.241425,59.964220,4.689724,7.928026,18.408000,2.873735,2.608161,5.058597,138,23227,46,46
147,0,2.996094,2.181152,36.737718,1.828549,18.402008,59.964369,4.567868,4.697089,17.740421,2.705282,2.099182,5.011441,116,23227,11,11
