frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.844320,2.039903,36.965407,0.981300,19.173899,59.964925,4.626848,3.750339,20.209795,3.185377,2.529558,7.290724,142,28090,0,0
121,0,2.869297,2.034186,32.391785,1.001224,3.701792,39.964098,4.246691,3.246874,16.939548,2.565308,2.165612,6.029158,116,23211,0,0
122,0,2.837769,2.030138,36.668593,0.980737,19.477488,59.964586,4.713752,3.620792,19.933679,2.963911,2.629106,7.067288,142,28090,0,0
123,0,2.781820,2.007840,32.513970,1.003048,3.664948,39.963786,4.357218,3.215264,16.793515,2.538652,2.012139,6.020026,116,23211,0,0
124,0,2.895467,2.005839,36.818495,0.978716,19.272166,59.964844,4.775506,3.697211,19.920149,3.152442,2.661818,7.020423,142,28090,0,0
125,0,2.819031,2.044420,32.491225,1.002038,3.652150,39.964444,4.345829,3.130086,16.827871,2.560306,2.004805,6.098206,116,23211,0,0
126,0,2.845032,2.041124,36.840651,0.979435,19.298859,59.963976,4.777191,3.797034,19.732527,3.093143,2.609599,7.063673,142,28090,0,0
127,0,2.797607,2.027045,32.608005,1.005449,3.551992,39.963053,4.140913,3.331933,17.025286,2.614814,1.988817,6.120934,116,23211,0,0
128,0,2.812378,2.041409,36.898614,0.979997,19.273610,59.964600,4.805237,3.745260,19.797614,2.993744,2.505347,7.221500,142,28090,0,0
129,0,2.816915,2.018127,32.337660,1.001977,3.772695,39.929247,4.158474,3.267066,16.801063,2.480865,2.086409,5.962453,116,23211,0,0
130,0,2.841614,2.040270,36.947564,0.978661,19.196177,59.964016,4.716970,3.849399,19.995965,3.177477,2.527883,7.133040,142,28090,0,0
131,0,2.874430,1.998678,32.292006,1.000363,3.797679,39.964478,4.477264,3.320401,16.598806,2.515540,1.980445,5.882216,116,23211,0,0
132,0,2.836426,1.992452,36.756768,0.980954,19.390635,59.964783,4.946099,3.636397,19.875414,2.985674,2.634661,7.043786,142,28090,0,0
133,0,2.802104,2.028307,32.489149,1.007022,3.665049,39.963325,4.221568,3.341224,16.953430,2.452098,2.002458,6.160034,116,23211,0,0
134,0,2.848328,2.041992,36.731479,0.976464,19.408315,59.964586,4.691203,3.627550,19.979526,3.189345,2.648668,6.924967,142,28090,0,0
135,0,2.807393,2.035448,32.528863,1.005856,3.621755,39.963867,4.358198,3.198402,16.889930,2.532172,1.956502,6.204098,116,23211,0,0
136,0,2.842672,2.040880,36.885939,0.974260,19.262258,59.965129,4.748352,3.852892,19.869507,3.076023,2.552616,7.089912,142,28090,0,0
137,0,2.800917,2.028632,32.345744,1.005842,3.810537,39.963040,4.329844,3.255680,16.661543,2.531118,1.967278,5.988454,116,23211,0,0
138,0,2.799737,2.028815,36.918009,0.980269,19.266469,59.964484,4.754225,3.736179,20.015856,2.984816,2.576653,7.382758,142,28090,0,0
139,0,2.862155,2.022163,32.318237,1.008074,3.775157,39.963623,4.114299,3.282267,16.847087,2.720228,2.187683,5.886926,116,23211,0,0
140,0,2.820129,2.028381,36.986545,0.979652,19.144033,59.930359,4.812174,3.556736,20.098100,3.206051,2.669067,7.223650,142,28090,0,0
141,0,2.873861,2.039653,32.376072,1.002384,3.711884,39.964199,4.042762,3.156121,17.140639,2.717902,2.039914,6.025750,116,23211,0,0
142,0,2.825562,2.018114,36.989943,0.973860,19.174652,59.964016,5.021434,3.539381,19.965583,3.202135,2.497620,7.232263,142,28090,0,0
143,0,2.834798,1.991557,32.361993,1.005307,3.732290,39.934387,4.169976,3.197920,17.010983,2.683926,2.113583,6.070140,116,23211,0,0
144,0,2.845276,1.957648,37.110975,0.979997,19.028514,59.964762,4.871046,3.597100,20.167491,3.321696,2.462277,7.307000,142,28090,0,0
145,0,2.800334,2.027344,32.519748,1.002201,3.641734,39.964016,4.285787,3.123789,17.031993,2.494459,2.031264,6.182872,116,23211,0,0
146,0,2.822388,1.992377,36.825840,0.978845,19.336680,59.963752,4.776910,3.723721,19.864570,3.070994,2.606021,6.982263,142,28090,0,0
147,0,2.797729,2.024339,32.554233,0.998430,3.613190,39.963582,4.184418,3.072734,17.024618,2.647668,1.965179,6.169427,116,23211,0,0
148,0,2.847148,2.044718,36.847059,0.979062,19.291677,59.964945,4.724996,3.639455,19.927005,3.308804,2.646145,6.822900,142,28090,0,0
149,0,2.810059,2.039781,32.569065,1.004968,3.579702,39.963793,4.181156,3.551480,16.778639,2.362159,2.066922,6.072238,116,23211,0,0
150,0,2.832194,2.061123,36.847059,0.977583,19.301015,59.957852,4.885101,3.630798,19.614081,3.037306,2.438388,7.125109,142,28090,0,0
151,0,2.820618,2.020596,32.333164,1.006507,3.776377,39.936666,4.227610,3.160648,16.910892,2.575426,2.100589,6.025031,116,23211,0,0
152,0,2.816325,2.043416,36.923943,0.982398,19.213125,59.935791,4.669915,3.906833,19.856689,3.069811,2.492337,7.170878,142,28090,0,0
153,0,2.877197,2.040324,32.423272,0.999637,3.663910,39.964016,4.093102,3.281467,17.034980,2.524851,2.335646,5.963294,116,23211,0,0
154,0,2.839254,2.032030,36.700311,0.984182,19.457679,59.981425,4.619076,3.888251,19.768490,2.961283,2.512980,7.078756,142,28090,0,0
155,0,2.811829,2.038011,32.504801,1.001740,3.628652,39.947021,4.421973,3.109582,16.938941,2.574063,2.043450,5.984138,116,23211,0,0
156,0,2.845269,1.994005,36.859538,0.983436,19.276459,59.964701,4.765859,3.877828,19.774787,3.088135,2.632456,7.092024,142,28090,0,0
157,0,2.817362,2.047045,32.632948,1.001489,3.512278,39.964077,4.217428,3.086307,17.075419,2.561581,2.074751,6.148563,116,23211,0,0
158,0,2.838745,2.037950,36.939162,0.978519,19.207367,59.963793,4.754968,3.756965,19.897966,3.009464,2.606157,7.300351,142,28090,0,0
159,0,2.811320,2.039042,32.370456,1.037699,3.761064,39.980540,4.205709,3.380486,16.721785,2.475481,2.169942,5.906738,116,23211,0,0
160,0,2.794942,2.023661,36.977085,0.978268,19.163076,59.913371,5.029863,3.557983,19.857239,3.003852,2.424191,7.249064,142,28090,0,0
161,0,2.842285,2.034390,32.334222,1.008202,3.779572,39.964281,4.395745,3.392008,16.605960,2.302097,2.078200,6.060543,116,23211,0,0
162,0,2.830098,1.986023,36.757175,0.981042,19.395864,59.964179,4.854991,3.729719,19.779683,3.202745,2.501000,7.074839,142,28090,0,0
163,0,2.827677,2.022549,32.430901,1.001299,3.703868,39.963745,4.186805,3.199795,16.930142,2.631632,2.015754,6.026462,116,23211,0,0
164,0,2.801107,2.028144,36.778680,0.980872,19.403778,59.964437,4.834971,3.821726,19.579461,3.170142,2.612837,6.772044,142,28090,0,0
165,0,2.849264,2.046129,32.281487,1.001102,3.831757,39.963609,4.193580,3.214728,16.692468,2.476078,2.042731,5.862512,116,23211,0,0
166,0,2.859843,2.053474,36.881321,0.982371,19.257972,59.981506,4.646525,3.652866,20.241645,3.186690,2.662191,7.179776,142,28090,0,0
167,0,2.803446,2.029833,32.717482,1.001780,3.443010,39.965719,4.145315,3.236871,17.077104,2.436588,2.179033,6.148627,116,23211,0,0
168,0,2.821777,2.025357,37.028375,0.978655,19.116811,59.945618,4.740729,3.800734,20.018521,3.109077,2.472093,7.260298,142,28090,0,0
169,0,2.846151,2.042623,32.389194,1.001204,3.727325,39.963874,4.208506,3.319841,16.787913,2.592468,2.019786,5.974484,116,23211,0,0
170,0,2.844686,2.019660,37.076714,0.978417,19.064545,59.964362,4.891069,3.832045,19.856001,3.173211,2.461731,7.148424,142,28090,0,0
