frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.911092,2.077352,35.530707,0.977119,0.538100,39.957018,4.687534,3.701043,18.825002,2.723372,2.603753,6.916680,141,43649,0,0
121,0,2.896423,2.074097,31.273288,1.003499,4.791070,39.964281,4.102966,3.146834,16.509837,2.368696,2.160448,5.875749,115,33205,0,0
122,0,2.897217,2.089579,35.565050,0.973497,0.527785,39.963548,4.620487,3.528554,19.216621,2.918081,2.537262,7.036536,141,43649,0,0
123,0,2.915019,2.081258,31.354282,1.003682,4.691664,39.964647,4.131666,3.169274,16.286913,2.541338,1.967807,6.070397,115,33205,0,0
124,0,2.844971,2.042806,35.567193,0.977926,0.573215,39.963304,4.618625,3.702572,19.040446,2.884067,2.467146,7.054081,141,43649,0,0
125,0,2.894877,2.069838,31.294033,1.004978,4.792426,39.986315,4.022444,3.227943,16.386468,2.395342,2.047791,6.171760,115,33205,0,0
126,0,2.878153,2.085612,35.477939,0.978068,0.607517,39.941678,4.673136,3.639628,18.964712,2.890150,2.737050,6.982042,141,43649,0,0
127,0,2.831584,2.061395,31.274041,1.002455,4.831848,39.939928,4.053538,3.118232,16.381066,2.460259,2.148763,6.047438,115,33205,0,0
128,0,2.852030,2.081807,35.646152,0.980910,0.484212,39.963304,4.706950,3.635847,19.222507,2.903385,2.941522,6.961032,141,43649,0,0
129,0,2.879578,2.065708,31.136726,0.996847,4.945719,39.958869,4.075236,3.256727,16.296655,2.426639,2.080051,6.018463,115,33205,0,0
130,0,2.862284,2.072957,35.861565,0.977763,0.262282,39.963894,4.622715,3.575121,19.236192,2.884332,2.440684,7.173370,141,43649,0,0
131,0,2.853800,2.082187,31.168023,1.002360,4.940484,39.964667,3.905643,3.341000,16.365285,2.376204,2.087121,6.063887,115,33205,0,0
132,0,2.873433,2.068108,35.681512,0.984355,0.424106,39.963406,4.585202,3.583872,19.171109,2.907315,2.832126,6.941735,141,43649,0,0
133,0,2.865804,2.072259,31.343947,1.000549,4.746453,39.956753,4.170315,3.133226,16.513936,2.319383,2.239051,6.125793,115,33205,0,0
134,0,2.880941,2.054864,35.634576,2.528815,18.920519,59.964851,4.587579,3.635959,19.169139,2.841861,2.601054,7.049639,141,43649,0,0
135,0,2.835653,2.060527,31.546909,1.005880,4.575595,39.964037,3.999101,3.172777,16.401927,2.350009,2.104109,6.086819,115,33205,0,0
136,0,2.884420,2.074070,35.622247,0.976800,0.480001,39.963467,4.554725,3.734233,19.015225,2.733497,2.629598,7.129879,141,43649,0,0
137,0,2.919718,2.090515,31.168633,1.002665,4.873020,39.964037,4.071815,3.226128,16.220435,2.401540,2.060896,6.021695,115,33205,0,0
138,0,2.907633,2.070143,35.638116,0.978027,0.439914,39.963691,4.528792,3.823212,19.150035,2.773841,2.665714,7.078162,141,43649,0,0
139,0,2.875203,2.065260,31.413079,1.005941,4.670566,39.964789,4.009779,3.299530,16.427585,2.341166,2.164198,5.997403,115,33205,0,0
140,0,2.892843,2.058261,35.463637,0.982937,0.623705,39.963121,4.467855,3.553294,19.136122,2.926870,2.477451,7.076874,141,43649,0,0
141,0,2.941878,2.099955,31.255870,1.017632,4.771525,39.986905,4.009657,3.187653,16.547187,2.441501,2.175225,6.124325,115,33205,0,0
142,0,2.837077,2.065084,35.389906,1.021281,0.717726,39.965990,4.558177,3.668328,18.977047,2.846347,2.573798,7.094103,141,43649,0,0
143,0,2.871440,2.063090,31.214267,1.001506,4.852837,39.940050,4.067091,3.242228,16.406701,2.368469,2.083659,6.085168,115,33205,0,0
144,0,2.822591,2.051412,35.484877,1.001160,0.676914,39.985541,4.734714,3.637455,18.937263,2.903080,2.576141,6.914046,141,43649,0,0
145,0,2.888855,2.083245,31.159153,1.002998,4.883470,39.934475,4.097090,3.273872,16.119999,2.302717,1.964274,6.168043,115,33205,0,0
146,0,2.835612,2.067057,35.680637,0.978088,0.470473,39.964810,4.846334,3.697055,18.925788,2.947066,2.558075,6.902089,141,43649,0,0
147,0,2.871548,2.069065,31.162808,1.002109,4.927592,39.964057,4.027839,3.089549,16.235307,2.357605,2.209347,5.999674,115,33205,0,0
148,0,2.870219,2.100362,35.805291,0.976624,0.311130,39.963264,4.585083,3.874929,19.069516,2.752363,2.622057,7.160885,141,43649,0,0
149,0,2.855693,2.085347,31.143277,0.999803,4.964817,39.963589,3.961405,3.350193,16.185143,2.438758,2.099796,5.970862,115,33205,0,0
150,0,2.886271,2.081197,35.751906,0.981852,0.343397,39.963426,4.680556,3.698937,19.163106,2.815874,2.553965,7.190823,141,43649,0,0
151,0,2.871073,2.058411,31.270176,1.002462,4.821404,39.965115,4.153093,3.239190,16.435065,2.487352,2.218021,6.005398,115,33205,0,0
152,0,2.876119,2.032159,35.682671,0.977654,0.426921,39.963365,4.639187,3.870351,18.941098,2.674347,2.444726,7.225620,141,43649,0,0
153,0,2.921631,2.050164,31.168267,1.003682,4.869968,39.963548,4.076572,3.095866,16.546814,2.488146,2.025913,6.071547,115,33205,0,0
154,0,2.903341,2.068665,35.556919,0.976888,0.526971,39.964118,4.688850,3.513709,19.185316,2.934174,2.518124,7.095818,141,43649,0,0
155,0,2.876655,2.031799,31.409817,1.002401,4.675876,39.964749,3.969330,3.422421,16.369273,2.381677,2.160217,5.999400,115,33205,0,0
156,0,2.898153,2.067505,35.571242,0.980686,0.512980,39.963060,4.456156,3.698361,19.255727,2.748867,2.742126,7.096503,141,43649,0,0
157,0,2.938070,2.098748,31.368564,1.000136,4.657552,39.964322,4.273027,3.232588,16.394894,2.460741,2.034709,6.036146,115,33205,0,0
158,0,2.886597,2.079407,35.577752,0.969557,0.523376,39.957282,4.530524,3.756680,19.078522,2.770532,2.686052,7.123840,141,43649,0,0
159,0,2.899699,2.061496,31.396213,1.004415,4.664096,39.964423,4.168176,3.112478,16.527157,2.550863,2.106066,5.937293,115,33205,0,0
160,0,2.886841,2.082886,35.559564,0.979811,0.536764,39.962979,4.537849,3.772247,19.122962,2.682064,2.553419,7.199629,141,43649,0,0
161,0,2.913879,2.092502,31.211602,1.004218,4.834398,39.964098,4.020121,3.264872,16.212341,2.479682,2.154134,5.953166,115,33205,0,0
162,0,2.870565,2.061361,35.465244,0.975667,0.625665,39.937141,4.793576,3.667097,18.953600,2.950283,2.454651,7.041867,141,43649,0,0
163,0,2.895264,2.088949,31.346876,1.002950,4.719394,39.964484,3.977722,3.119693,16.336297,2.361996,2.145721,6.097002,115,33205,0,0
164,0,2.868266,2.062981,35.408563,1.006368,0.651849,39.935045,4.568383,3.612271,19.039653,2.748047,2.439867,7.109572,141,43649,0,0
165,0,2.853333,2.083700,31.280267,1.000509,4.799900,39.934007,4.064036,3.119012,16.460802,2.411336,2.064572,6.099592,115,33205,0,0
