frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.835883,2.035536,32.286608,1.063822,3.778144,39.964457,4.371212,3.731557,16.033593,2.453691,2.355320,5.496880,131,45042,0,0
121,0,2.809096,2.042169,28.238356,0.999946,7.915785,39.963182,3.800130,3.095981,13.747257,2.059072,1.975861,4.593713,105,34598,0,0
122,0,2.800320,2.029202,32.541416,1.001567,3.620076,39.963379,4.358270,3.601325,16.440911,2.707079,2.376957,5.628418,131,45042,0,0
123,0,2.889635,2.058438,28.017910,1.034268,8.050171,39.991984,3.891493,2.995592,13.499630,2.198205,1.956807,4.574415,105,34598,0,0
124,0,2.804654,2.036730,32.308994,1.030273,3.795776,39.939697,4.368964,3.691260,16.075243,2.523156,2.202037,5.464864,131,45042,0,0
125,0,2.813293,2.044095,28.307773,1.002326,7.835632,39.959025,3.746240,3.290266,13.613234,2.116180,1.888156,4.698812,105,34598,0,0
126,0,2.836127,2.035780,32.554796,1.001207,3.571126,39.963257,4.510071,3.676954,16.086792,2.499725,2.360725,5.699670,131,45042,0,0
127,0,2.812649,2.042270,28.144274,1.002943,8.003309,39.963175,3.766602,3.179481,13.577854,2.006371,1.857452,4.788737,105,34598,0,0
128,0,2.826382,2.020847,32.423469,1.003574,3.710524,39.963949,4.387685,3.635613,16.243727,2.573385,2.358073,5.639065,131,45042,0,0
129,0,2.867771,2.035285,28.097887,1.000278,7.997409,39.963345,4.030406,2.997155,13.407840,1.942430,1.889442,4.663167,105,34598,0,0
130,0,2.804633,2.036899,32.273465,1.003350,3.881565,39.963013,4.242649,3.604869,16.076999,2.456207,2.481496,5.540368,131,45042,0,0
131,0,2.813063,2.041694,28.198744,1.001024,7.943312,39.956143,3.875810,3.163893,13.569078,2.034319,2.018277,4.643907,105,34598,0,0
132,0,2.863695,1.992560,32.418566,0.997837,3.683465,39.963562,4.464766,3.551195,16.040188,2.571764,2.468258,5.497257,131,45042,0,0
133,0,2.853068,2.008165,28.002218,1.001940,8.105808,39.963033,3.859731,3.105218,13.536428,2.221809,2.050866,4.540599,105,34598,0,0
134,0,2.787014,2.018243,32.307115,1.002428,3.841166,39.937724,4.382440,3.615940,16.087124,2.642649,2.276038,5.469170,131,45042,0,0
135,0,2.835130,2.040541,28.094001,1.030551,8.003574,39.963257,3.886851,3.281982,13.477888,2.075955,2.125017,4.393070,105,34598,0,0
136,0,2.809943,2.039313,32.564019,1.005663,3.584384,39.964010,4.299879,3.653046,16.375475,2.565406,2.524472,5.602963,131,45042,0,0
137,0,2.805508,2.035244,28.101576,1.001065,8.054823,39.962972,3.868103,3.200836,13.469638,2.156548,1.942003,4.586026,105,34598,0,0
138,0,2.866408,2.034641,32.441379,1.004028,3.651652,39.963467,4.424313,3.726437,16.073937,2.530375,2.537669,5.443424,131,45042,0,0
139,0,2.832248,2.033949,28.060289,1.029704,8.041165,39.963406,3.843679,3.007541,13.582150,2.130571,1.951633,4.622206,105,34598,0,0
140,0,2.813524,2.047655,32.460158,0.999071,3.690565,39.963318,4.435055,3.703695,16.170909,2.539883,2.266056,5.656955,131,45042,0,0
141,0,2.846076,2.050632,28.038378,1.028354,8.051080,39.963888,3.859992,3.409254,13.236962,2.109826,1.893290,4.560744,105,34598,0,0
142,0,2.844204,2.004049,32.479689,1.000875,3.638692,39.963460,4.319516,3.646335,16.140906,2.452050,2.242564,5.568624,131,45042,0,0
143,0,2.853014,2.005995,28.227275,1.008986,7.874112,39.963386,3.790643,3.061242,13.725752,2.008976,2.084998,4.504988,105,34598,0,0
144,0,2.843113,2.038812,32.548794,1.025811,3.534030,39.951748,4.301758,3.690111,16.408973,2.583110,2.532467,5.540795,131,45042,0,0
145,0,2.805915,2.037611,28.019911,1.010959,8.102953,39.939738,3.898482,3.278907,13.264248,2.245836,1.827196,4.450243,105,34598,0,0
146,0,2.814134,2.043118,32.595717,0.999003,3.554138,39.962992,4.483612,3.499441,16.340437,2.509132,2.345032,5.601488,131,45042,0,0
147,0,2.834337,2.035977,28.244453,1.005846,7.879252,39.963888,3.749135,3.230628,13.490658,2.075239,1.928321,4.607469,105,34598,0,0
148,0,2.872260,2.034458,32.331529,1.003554,3.756056,39.963399,4.298642,3.579102,16.089986,2.484870,2.225538,5.518687,131,45042,0,0
149,0,2.850755,2.051541,28.067369,0.999756,8.045478,39.963359,3.654392,3.028948,13.775838,2.168026,1.930291,4.489475,105,34598,0,0
150,0,2.833015,2.038547,32.563789,1.000644,3.566054,39.963501,4.247270,3.761587,16.158969,2.664764,2.354397,5.489397,131,45042,0,0
151,0,2.841722,2.039266,28.149794,1.006599,7.965224,39.963338,3.811052,3.347036,13.482941,2.101291,1.854099,4.638696,105,34598,0,0
152,0,2.847521,2.004361,32.449944,1.000495,3.665337,39.963298,4.250393,3.743981,16.080455,2.691515,2.355818,5.517266,131,45042,0,0
153,0,2.849643,2.047377,28.149523,0.999830,7.941542,39.940538,3.872877,3.080031,13.501984,2.021230,1.963759,4.537235,105,34598,0,0
