frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.780097,2.008918,32.325921,1.023065,3.804667,39.933750,4.374613,3.657410,16.163622,2.534251,2.408468,5.577562,131,45042,0,0
121,0,2.793728,2.022610,28.164300,1.001621,7.973870,39.933519,3.861555,3.243551,13.468492,2.273950,1.974043,4.522729,105,34598,0,0
122,0,2.802755,2.022536,32.229065,1.003018,3.928141,39.962979,4.290215,3.667430,16.173821,2.616933,2.405904,5.477624,131,45042,0,0
123,0,2.824910,2.055108,27.972202,1.004259,8.161947,39.963318,3.651896,3.149495,13.559631,2.231740,1.998528,4.412577,105,34598,0,0
124,0,2.810038,2.013848,32.574537,0.998189,3.580458,39.963223,4.481371,3.637590,16.261400,2.762329,2.406742,5.590315,131,45042,0,0
125,0,2.801208,2.031175,28.126031,1.001295,8.034871,39.963406,3.863607,3.158607,13.604852,2.031274,1.946804,4.670983,105,34598,0,0
126,0,2.836405,2.032403,32.397413,0.997748,3.732035,39.963603,4.144602,3.559523,16.265422,2.635705,2.476176,5.662120,131,45042,0,0
127,0,2.897441,2.067125,28.096598,0.999301,7.975925,39.969265,3.952691,2.971232,13.341027,2.076864,1.900360,4.613875,105,34598,0,0
128,0,2.796346,2.025913,32.295098,1.029460,3.835904,39.956807,4.517910,3.521047,16.099297,2.590712,2.331211,5.486884,131,45042,0,0
129,0,2.805325,2.034838,28.133850,0.999159,8.024570,39.962904,3.834347,3.369113,13.288567,2.210114,1.850349,4.480628,105,34598,0,0
130,0,2.826986,2.026930,32.593397,0.998834,3.544189,39.963406,4.378740,3.636831,16.338599,2.622175,2.374196,5.560798,131,45042,0,0
131,0,2.825446,2.052606,28.018711,0.999505,8.112949,39.956611,3.917647,3.108524,13.409977,2.159878,2.002662,4.490180,105,34598,0,0
132,0,2.793701,2.023363,32.561198,0.998766,3.608887,39.962552,4.484717,3.582777,16.267412,2.779839,2.525506,5.593414,131,45042,0,0
133,0,2.875285,2.007365,28.045098,1.004320,8.038778,39.963481,3.859219,3.181695,13.431841,2.076101,2.030762,4.612983,105,34598,0,0
134,0,2.827745,2.025180,32.373691,1.021579,3.740112,39.963128,4.455577,3.539717,16.132412,2.673828,2.404609,5.497423,131,45042,0,0
135,0,2.867249,2.063348,28.107293,1.000149,7.989041,39.963732,3.710788,3.296251,13.436473,2.122942,1.977719,4.452721,105,34598,0,0
136,0,2.814962,2.015388,32.204787,1.002726,3.940762,39.963236,4.131632,3.701508,16.050178,2.579190,2.370633,5.495792,131,45042,0,0
137,0,2.800151,2.031548,28.028863,1.001458,8.132975,39.963447,3.717946,3.321950,13.521111,2.281413,1.959330,4.541585,105,34598,0,0
138,0,2.793416,2.022881,32.618991,0.998481,3.551941,39.962830,4.552141,3.597137,16.125112,2.782345,2.433238,5.601634,131,45042,0,0
139,0,2.896023,2.053541,28.038730,1.001506,8.026991,39.963250,3.920563,3.101196,13.428816,2.067284,1.914992,4.662103,105,34598,0,0
140,0,2.815776,1.972683,32.367343,0.997199,3.783576,39.963894,4.605743,3.576040,15.802233,2.759121,2.366720,5.454061,131,45042,0,0
141,0,2.830634,1.987155,28.230503,1.000665,7.901767,39.963569,3.910116,3.173394,13.588155,2.282752,1.959551,4.569539,105,34598,0,0
142,0,2.800700,2.020420,32.321954,1.000115,3.809509,39.932278,4.362250,3.596768,16.206190,2.624023,2.442634,5.611209,131,45042,0,0
143,0,2.831977,2.060784,28.079095,1.001227,8.038520,39.950819,4.058760,3.050724,13.397393,2.256473,1.864966,4.499373,105,34598,0,0
144,0,2.790575,2.019199,32.517327,0.997742,3.634128,39.939772,4.352939,3.773610,16.161004,2.548893,2.382297,5.677429,131,45042,0,0
145,0,2.837979,2.031481,27.984165,1.004591,8.136312,39.963047,3.660190,3.160485,13.478868,2.185123,2.032979,4.548353,105,34598,0,0
146,0,2.790853,2.019680,32.429993,0.999207,3.743408,39.963460,4.402795,3.708242,16.171017,2.624780,2.304806,5.684998,131,45042,0,0
147,0,2.831651,2.061205,28.157830,1.001092,7.943237,39.933811,3.775920,3.342631,13.488624,2.268982,1.994171,4.588569,105,34598,0,0
148,0,2.835246,1.957377,32.276910,1.003832,3.847636,39.963623,4.371046,3.777062,15.971215,2.614010,2.414808,5.630280,131,45042,0,0
149,0,2.827928,1.986654,28.024448,1.002258,8.108738,39.963372,3.818227,3.283769,13.430155,2.119798,2.018260,4.631514,105,34598,0,0
150,0,2.796556,1.997565,32.350871,0.996813,3.787292,39.931532,4.390320,3.516805,16.148627,2.634759,2.428731,5.495202,131,45042,0,0
151,0,2.887275,2.048231,28.082492,1.008592,7.984782,39.963142,3.809126,3.131795,13.377750,2.292833,1.901560,4.554833,105,34598,0,0
152,0,2.790100,2.020562,32.259189,0.996182,3.917792,39.963264,4.327379,3.676280,16.293362,2.775760,2.427026,5.446869,131,45042,0,0
153,0,2.827067,2.029595,28.078878,1.000719,8.057210,39.963874,3.843357,3.254832,13.382002,2.263618,2.022115,4.452989,105,34598,0,0
154,0,2.831285,2.024502,32.370802,1.009216,3.751743,39.963047,4.402985,3.664785,16.119995,2.696628,2.305206,5.632100,131,45042,0,0
155,0,2.820862,2.049086,28.082147,1.001241,8.059543,39.963793,3.871111,3.018623,13.603607,2.035299,1.973321,4.589878,105,34598,0,0
156,0,2.861186,2.026259,32.386732,0.998481,3.717000,39.963399,4.407088,3.553358,16.194956,2.705136,2.422974,5.514479,131,45042,0,0
157,0,2.836412,2.031080,27.933282,1.001689,8.191399,39.962782,4.028063,3.009162,13.283061,2.277351,1.866052,4.467238,105,34598,0,0
158,0,2.781494,2.009901,32.284458,1.000875,3.890252,39.957079,4.289005,3.604306,16.244581,2.769199,2.469896,5.482347,131,45042,0,0
159,0,2.853746,2.055535,28.035231,0.994324,8.080051,39.963352,3.769945,3.208696,13.534342,2.152310,2.068715,4.484962,105,34598,0,0
160,0,2.792887,2.022447,32.471978,1.004754,3.693359,39.962979,4.490492,3.708716,16.145009,2.573781,2.586687,5.603699,131,45042,0,0
161,0,2.810594,2.039381,28.211846,1.002998,7.938334,39.963772,3.860935,3.105557,13.690972,2.154100,1.863034,4.694519,105,34598,0,0
162,0,2.837972,1.973877,32.511027,0.998244,3.616163,39.963406,4.524384,3.701769,16.087294,2.695608,2.387061,5.615499,131,45042,0,0
163,0,2.857198,2.015584,28.016371,1.025445,8.064412,39.963426,3.844560,3.145464,13.428145,2.124708,1.835714,4.672835,105,34598,0,0
164,0,2.837735,2.034132,32.418416,0.997891,3.709351,39.963392,4.432770,3.678864,16.288866,2.773617,2.395369,5.490557,131,45042,0,0
165,0,2.857625,2.025913,28.149916,0.999281,7.968953,39.975776,3.839884,3.074148,13.534393,2.337752,1.995256,4.567301,105,34598,0,0
166,0,2.790249,2.019518,32.262750,1.003513,3.894491,39.951002,4.333883,3.639245,16.028697,2.679409,2.461595,5.441430,131,45042,0,0
167,0,2.835754,2.065443,28.061517,1.000346,8.065525,39.963142,3.927436,3.071004,13.478739,2.165985,2.008735,4.448408,105,34598,0,0
168,0,2.842346,2.047275,32.565484,1.001702,3.553792,39.963325,4.453423,3.687378,16.125105,2.573001,2.435784,5.525380,131,45042,0,0
169,0,2.802375,2.030897,28.017307,1.001973,8.141452,39.963108,3.752448,2.956390,13.600996,2.273963,2.009054,4.487030,105,34598,0,0
170,0,2.830024,1.988118,32.522251,1.000481,3.603699,39.956455,4.502377,3.753109,16.238881,2.608727,2.577399,5.524258,131,45042,0,0
171,0,2.868001,2.000956,28.025587,1.002774,8.067505,39.963867,3.995368,3.205098,13.363593,2.173221,1.828712,4.660767,105,34598,0,0
172,0,2.830444,2.027825,32.194878,1.009243,3.928616,39.963182,4.247528,3.542063,16.181105,2.664924,2.435150,5.405067,131,45042,0,0
173,0,2.823330,2.019301,28.150425,0.997932,7.991353,39.963040,3.759813,3.223629,13.638126,2.152629,1.897749,4.629907,105,34598,0,0
174,0,2.834635,2.037103,32.277744,0.995443,3.855625,39.963447,4.226468,3.629710,16.080343,2.646189,2.338718,5.376526,131,45042,0,0
175,0,2.817078,2.046054,28.041334,1.003147,8.102193,39.963752,3.820740,3.143375,13.489922,2.318251,1.785645,4.486945,105,34598,0,0
176,0,2.815389,2.044501,32.382643,1.002713,3.761820,39.962565,4.390666,3.839115,16.161672,2.850837,2.409546,5.440837,131,45042,0,0
177,0,2.810852,2.017897,28.083184,1.002658,8.066447,39.963142,3.802433,3.211694,13.464789,2.069811,1.990289,4.578057,105,34598,0,0
178,0,2.847595,2.044040,32.419386,0.997043,3.699680,39.963704,4.371552,3.682061,16.118378,2.830292,2.402757,5.497657,131,45042,0,0
179,0,2.876811,2.054287,28.091492,1.004008,8.010647,39.982958,3.784488,3.203654,13.481242,2.311527,2.121406,4.460425,105,34598,0,0
180,0,2.800618,2.029934,32.292989,1.025167,3.853828,39.972602,4.290039,3.639265,16.104692,2.635627,2.543355,5.382599,131,45042,0,0
181,0,2.775574,2.006782,28.030165,1.003465,8.125081,39.934285,3.765998,3.260844,13.275692,2.098419,1.978075,4.398020,105,34598,0,0
182,0,2.827515,2.025194,32.355035,1.005758,3.775180,39.963487,4.380185,3.661513,16.241275,2.688385,2.421831,5.595588,131,45042,0,0
183,0,2.812242,2.038825,28.140116,1.003533,8.014845,39.970737,4.041477,3.211921,13.454593,2.309431,1.926938,4.585853,105,34598,0,0
184,0,2.842204,2.038581,32.427585,1.001675,3.678040,39.949504,4.249312,3.625495,16.397305,2.572571,2.562188,5.529514,131,45042,0,0
185,0,2.849080,2.018826,28.161106,1.027371,7.952393,39.989950,3.764693,3.099932,13.649624,2.341336,1.929562,4.582831,105,34598,0,0
186,0,2.806539,2.036655,32.305678,1.040887,3.824809,39.977912,4.427402,3.582160,16.082330,2.791626,2.377011,5.454339,131,45042,0,0
187,0,2.813477,2.045485,28.035251,1.000631,8.072238,39.921597,3.793003,3.172896,13.377950,2.120914,2.000956,4.417840,105,34598,0,0
188,0,2.839091,2.031521,32.416416,0.995714,3.711833,39.963053,4.481293,3.596503,16.188904,2.651055,2.507477,5.623128,131,45042,0,0
189,0,2.780863,2.009820,28.014520,1.000916,8.166884,39.963182,3.857629,3.156728,13.271186,2.323619,1.865540,4.464576,105,34598,0,0
190,0,2.829285,2.031379,32.572930,1.001092,3.560059,39.963365,4.462006,3.772034,16.157467,2.541582,2.422597,5.717777,131,45042,0,0
191,0,2.876424,2.042697,28.035299,1.006117,8.044908,39.962748,3.850772,3.148298,13.503676,2.169918,1.902941,4.631612,105,34598,0,0
192,0,2.845398,2.040432,32.394586,1.001044,3.722561,39.963589,4.647057,3.533017,16.034980,2.645698,2.352756,5.512872,131,45042,0,0
193,0,2.829468,2.032932,28.155206,1.026571,7.950575,39.961819,4.029412,3.176751,13.368717,2.161641,1.906847,4.548777,105,34598,0,0
194,0,2.825826,2.023146,32.289124,1.005642,3.813287,39.933879,4.173367,3.676680,16.108883,2.609019,2.420586,5.634288,131,45042,0,0
195,0,2.832689,2.060554,28.022759,1.002231,8.075989,39.933668,3.666487,3.123393,13.525960,2.214430,1.898092,4.518409,105,34598,0,0
196,0,2.795132,2.027011,32.471958,1.002116,3.654344,39.923550,4.351156,3.632161,16.243069,2.726929,2.482083,5.541612,131,45042,0,0
197,0,2.836609,2.030450,28.056471,1.875621,7.197350,39.966051,3.759966,3.131144,13.720117,2.195201,1.923987,4.531369,105,34598,0,0
198,0,2.801520,2.030443,32.566725,0.998956,3.593397,39.960598,4.352515,3.517690,16.368666,2.709415,2.501611,5.613569,131,45042,0,0
199,0,2.875916,2.007345,28.038751,1.002007,8.046583,39.963257,3.854557,3.254127,13.521491,2.180854,2.023122,4.579417,105,34598,0,0
200,0,2.859701,2.029860,32.404941,1.003120,3.695543,39.963304,4.443770,3.637221,16.091153,2.669759,2.323622,5.683275,131,45042,0,0
