frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.780796,2.014852,31.743249,1.022329,4.417999,39.964372,4.251590,3.616848,15.935672,2.099169,2.263926,5.676225,131,45042,0,0
121,0,2.767999,2.003560,27.603499,1.017385,8.575409,39.964291,3.707018,3.193478,13.383026,1.818488,1.904154,4.446903,105,34598,0,0
122,0,2.780836,1.953254,31.869449,1.022227,4.291656,39.964169,4.282037,3.444044,16.246921,2.202799,2.330912,5.609592,131,45042,0,0
123,0,2.756524,1.987183,27.465173,1.022939,8.718801,39.963437,3.841454,2.954203,13.414788,2.077698,1.853082,4.356160,105,34598,0,0
124,0,2.816115,1.977105,31.804121,1.020376,4.323252,39.963864,4.264231,3.597426,15.987912,2.107368,2.340152,5.553833,131,45042,0,0
125,0,2.829746,1.964261,27.569136,1.020762,8.544403,39.964047,3.586083,3.330631,13.390706,1.778493,1.886973,4.648224,105,34598,0,0
126,0,2.796156,1.996046,31.703169,1.019704,4.444509,39.963538,4.299194,3.290880,16.168159,2.352390,2.349969,5.597456,131,45042,0,0
127,0,2.749356,1.982788,27.457787,1.023794,8.682383,39.913320,3.788333,2.993886,13.342516,1.878652,1.964647,4.490885,105,34598,0,0
128,0,2.809319,1.976067,31.550805,1.042352,4.561205,39.963681,4.258664,3.546600,15.988909,2.128598,2.518751,5.462185,131,45042,0,0
129,0,2.737603,1.970479,27.608829,1.020376,8.597280,39.964088,3.657810,2.982775,13.572164,1.773119,1.960860,4.654277,105,34598,0,0
130,0,2.803908,2.006592,31.731205,1.024994,4.403615,39.963721,4.190962,3.556746,15.975064,2.241764,2.281942,5.435289,131,45042,0,0
131,0,2.750373,1.982151,27.528873,1.019765,8.657664,39.956675,3.600101,3.023821,13.438914,1.779117,2.008097,4.552917,105,34598,0,0
132,0,2.768548,2.000346,31.700931,1.019175,4.474599,39.963253,4.343794,3.475050,16.017466,2.291565,2.294769,5.428111,131,45042,0,0
133,0,2.767693,1.974101,27.681400,1.020070,8.495107,39.964271,3.774994,2.862356,13.725288,1.917270,1.973799,4.652652,105,34598,0,0
134,0,2.790202,1.949788,31.758738,1.019196,4.395884,39.964020,4.437314,3.512997,15.893667,2.026954,2.335849,5.686774,131,45042,0,0
135,0,2.774190,1.934224,27.590586,1.055545,8.573435,39.993757,3.677202,3.209591,13.352573,1.699005,1.861115,4.558370,105,34598,0,0
136,0,2.801378,1.986301,31.577830,1.071971,4.507273,39.958452,4.434323,3.313405,15.972392,2.203373,2.424432,5.552528,131,45042,0,0
137,0,2.754083,1.987305,27.373376,1.022369,8.789602,39.939429,3.838325,2.872643,13.338175,1.816152,1.924598,4.471205,105,34598,0,0
138,0,2.762322,1.998047,31.849491,1.023326,4.328664,39.963803,4.336962,3.584561,16.128113,2.211321,2.254974,5.577260,131,45042,0,0
139,0,2.781691,1.985284,27.438032,1.021061,8.722938,39.963721,3.821377,3.103193,13.194343,1.731191,1.881466,4.518253,105,34598,0,0
140,0,2.771417,2.003269,31.727359,1.021922,4.444163,39.964861,4.264181,3.538032,16.029439,2.108829,2.373430,5.452894,131,45042,0,0
141,0,2.766066,1.998006,27.778222,1.019155,8.399485,39.962928,3.754171,3.066389,13.655674,1.949134,1.992622,4.662042,105,34598,0,0
142,0,2.822659,1.963250,31.806725,1.021556,4.312795,39.963735,4.261369,3.783166,15.795383,2.190626,2.261509,5.664720,131,45042,0,0
143,0,2.755100,1.955058,27.617252,1.022654,8.568715,39.963721,3.671580,2.984243,13.695079,1.980381,1.933719,4.532091,105,34598,0,0
144,0,2.764988,1.997721,31.654626,1.026642,4.466075,39.912330,4.112193,3.524241,16.045773,2.171495,2.280870,5.518765,131,45042,0,0
145,0,2.744744,1.977824,28.995080,1.018239,7.173391,39.931454,3.756314,3.056193,13.353699,1.937761,1.916989,4.463901,105,34598,0,0
146,0,2.760790,1.995599,31.586110,1.020070,4.596771,39.963742,4.211127,3.489926,16.063792,2.110650,2.264889,5.508725,131,45042,0,0
147,0,2.787184,1.990621,27.289066,1.019867,8.867381,39.963498,3.639537,3.062354,13.281769,1.733476,1.955858,4.608883,105,34598,0,0
148,0,2.773166,2.006205,31.930688,1.019826,4.240346,39.964027,4.176883,3.424693,16.455763,2.186208,2.214630,5.679426,131,45042,0,0
149,0,2.756504,1.989360,27.713504,1.021820,8.472097,39.963925,3.691742,2.872386,13.864393,1.863688,2.051958,4.602275,105,34598,0,0
150,0,2.829420,2.000766,31.727848,1.027822,4.378672,39.963762,4.246575,3.665860,15.917433,2.078874,2.395277,5.567478,131,45042,0,0
151,0,2.789686,1.951253,27.569238,1.048648,8.582876,39.990448,3.628452,3.146359,13.546709,1.796943,1.908179,4.527496,105,34598,0,0
152,0,2.771118,2.005595,31.658478,1.020213,4.499746,39.949554,4.172923,3.434194,16.038110,2.061774,2.316247,5.576080,131,45042,0,0
153,0,2.782810,1.985528,27.359907,1.021718,8.786916,39.951352,3.628903,3.008274,13.398037,1.740512,1.947795,4.560421,105,34598,0,0
154,0,2.754856,1.988281,31.568709,1.020477,4.619843,39.963884,4.291484,3.607429,15.844086,2.054840,2.333727,5.454359,131,45042,0,0
155,0,2.759820,1.991692,27.480920,1.046987,8.676097,39.963823,3.687639,2.962772,13.539402,1.778246,2.029463,4.555786,105,34598,0,0
156,0,2.772332,1.972900,31.881005,1.022776,4.287465,39.963579,4.383864,3.698035,16.087029,2.162971,2.357842,5.711436,131,45042,0,0
157,0,2.749220,1.950012,27.684940,1.019928,8.503082,39.957170,3.651584,3.066345,13.702318,1.780470,1.947486,4.620195,105,34598,0,0
158,0,2.830736,2.002394,31.621077,1.024323,4.487233,39.963369,4.438602,3.257809,15.970469,2.178016,2.339386,5.680491,131,45042,0,0
159,0,2.739536,1.973979,27.495527,1.019175,8.675649,39.929888,3.831428,3.170871,13.277859,1.845222,1.887556,4.500804,105,34598,0,0
160,0,2.794101,2.028252,31.592431,1.018341,4.559174,39.964047,4.283891,3.620819,15.652405,1.975243,2.505887,5.438371,131,45042,0,0
161,0,2.768894,1.989543,27.382063,1.019501,8.792714,39.963172,3.654938,3.071584,13.309119,1.729706,1.816335,4.571435,105,34598,0,0
162,0,2.758694,1.991123,31.690108,1.018911,4.496084,39.963796,4.196523,3.505280,16.149814,2.152768,2.312395,5.521535,131,45042,0,0
163,0,2.736905,1.968933,27.732954,1.020884,8.473033,39.963776,3.817617,3.180712,13.441864,1.884854,1.818566,4.567627,105,34598,0,0
164,0,2.849603,2.006944,31.697025,1.056183,4.360952,39.963762,4.298581,3.691844,15.821801,2.175191,2.262956,5.660461,131,45042,0,0
165,0,2.786689,1.949544,27.510074,1.047923,8.646332,39.991018,3.655250,2.942922,13.770962,1.894958,1.836236,4.495992,105,34598,0,0
166,0,2.755873,1.989156,31.677717,1.025428,4.497847,39.956865,4.298594,3.405565,16.000593,2.213854,2.373576,5.518392,131,45042,0,0
167,0,2.782945,1.989699,27.383677,1.019399,8.756175,39.942196,3.669305,3.003760,13.417046,1.693312,1.981761,4.536662,105,34598,0,0
168,0,2.767219,1.998962,31.684940,1.019135,4.492116,39.963409,4.156613,3.572096,15.930800,2.165812,2.232619,5.695936,131,45042,0,0
169,0,2.801914,2.005107,27.402978,1.023285,8.736399,39.964576,3.580292,2.930929,13.477207,1.953749,1.840983,4.580346,105,34598,0,0
170,0,2.803196,1.918477,31.801436,1.023692,4.328542,39.956865,4.302541,3.537357,16.037384,2.182695,2.363919,5.610606,131,45042,0,0
171,0,2.793433,1.950968,27.601440,1.020905,8.547394,39.963172,3.611674,2.907332,13.947605,1.744853,1.984283,4.603343,105,34598,0,0
172,0,2.775072,1.966933,31.620426,1.049788,4.512095,39.957381,4.535478,3.209720,16.106957,2.225918,2.438066,5.639584,131,45042,0,0
173,0,2.745945,1.979797,27.467187,1.020559,8.703562,39.937252,3.750973,3.093146,13.246002,1.786363,1.906616,4.483612,105,34598,0,0
174,0,2.766106,2.000258,31.712324,1.021291,4.464427,39.964149,4.167026,3.506599,16.142093,2.132328,2.339233,5.649007,131,45042,0,0
175,0,2.800042,2.004062,27.272708,1.022227,8.868317,39.963294,3.900692,3.052972,12.949310,1.775899,1.836772,4.377397,105,34598,0,0
176,0,2.814087,1.973687,31.803212,1.020477,4.325938,39.963715,4.353149,3.473392,16.149289,2.122569,2.302138,5.657654,131,45042,0,0
177,0,2.794847,1.951579,27.606110,1.020620,8.542674,39.964250,3.601339,3.165856,13.529907,1.812347,1.869144,4.569936,105,34598,0,0
178,0,2.816149,1.988566,31.634918,1.025279,4.487437,39.963782,4.338576,3.519257,15.846490,2.135783,2.388926,5.659963,131,45042,0,0
179,0,2.742425,1.976888,27.480655,1.019847,8.686961,39.929888,3.700378,3.071774,13.487963,1.808150,1.918786,4.589884,105,34598,0,0
