
== garage-day
metric                         control-a     control-b     control-c        flush1        flush3       vuheavy    vuheavy-tc
work_ms                           50.437        50.188        50.654        50.906        51.880        50.342        51.258
update_ms                          7.658         7.388         7.956         7.514         7.632         7.673         7.641
submit_ms                         40.905        40.915        40.830        41.522        42.396        40.793        41.752
finish_ms                          1.874         1.885         1.868         1.870         1.852         1.875         1.865
present_ms                        13.191        13.187        12.975        12.805        11.747        13.035        12.370
bounds_included_ms                 4.604         4.600         4.569         4.604         4.564         4.598         4.573
prepare_included_ms                4.793         4.804         4.800         4.814         4.849         4.804         4.845
dispatch_included_ms              20.494        20.523        20.458        21.088        21.972        20.412        21.327
packet_included_ms                 3.016         3.033         2.974         2.994         3.000         2.918         2.927
dma_included_ms                    2.358         2.359         2.326         1.940         1.930         2.303         2.310
vif_wait_included_ms               6.804         6.797         6.794         6.829         6.810         6.794         7.688
flushes                          131.654       131.654       131.654       131.654       131.654       131.654       131.654
triangles                      26041.408     26036.692     26010.329     26021.208     26030.683     26041.408     26014.950
reuploads                         12.167        12.167        12.167        12.167        12.167        12.167        12.167

== garage-night
metric                         control-a     control-b     control-c        flush1        flush3       vuheavy    vuheavy-tc
work_ms                           54.868        54.410        54.195        55.090        56.258        54.419        55.695
update_ms                          8.129         7.656         7.572         7.777         8.015         7.801         8.145
submit_ms                         44.354        44.364        44.218        44.931        45.849        44.204        45.165
finish_ms                          2.385         2.390         2.405         2.381         2.394         2.413         2.386
present_ms                         9.591         9.467         9.682         9.038         8.869         9.625         8.932
bounds_included_ms                 5.530         5.538         5.463         5.521         5.478         5.492         5.486
prepare_included_ms                5.457         5.492         5.489         5.468         5.521         5.491         5.539
dispatch_included_ms              20.504        20.495        20.509        21.080        22.066        20.478        21.231
packet_included_ms                 3.031         3.045         3.034         3.044         3.037         2.988         2.973
dma_included_ms                    2.545         2.547         2.507         2.101         2.086         2.506         2.486
vif_wait_included_ms               6.191         6.188         6.150         6.203         6.248         6.143         6.957
flushes                          142.438       142.438       142.438       142.438       142.438       142.438       142.438
triangles                      25089.546     25089.546     25089.546     25089.546     25089.546     25089.546     25089.546
reuploads                          5.750         5.750         5.750         5.750         5.750         5.750         5.750

== outer-day
metric                         control-a     control-b     control-c        flush1        flush3       vuheavy    vuheavy-tc
work_ms                           26.787        26.879        26.669        26.951        27.324        26.847        27.376
update_ms                          7.597         7.652         7.438         7.496         7.444         7.640         7.644
submit_ms                         18.174        18.212        18.217        18.436        18.865        18.193        18.717
finish_ms                          1.016         1.014         1.014         1.018         1.015         1.014         1.015
present_ms                        15.751        15.911        16.036        15.589        15.298        15.693        15.498
bounds_included_ms                 2.324         2.318         2.326         2.322         2.339         2.337         2.363
prepare_included_ms                1.164         1.167         1.166         1.172         1.186         1.179         1.174
dispatch_included_ms               9.985         9.998         9.975        10.254        10.627         9.983        10.484
packet_included_ms                 1.363         1.372         1.345         1.385         1.386         1.325         1.334
dma_included_ms                    0.998         0.994         0.981         0.815         0.808         0.987         0.976
vif_wait_included_ms               3.744         3.749         3.737         3.745         3.755         3.715         4.242
flushes                           55.883        55.883        55.883        55.883        55.883        55.883        55.883
triangles                      11920.867     11940.942     11921.367     11920.867     11924.133     11924.075     11921.367
reuploads                          0.000         0.000         0.000         0.000         0.000         0.000         0.000

== outer-night
metric                         control-a     control-b     control-c        flush1        flush3       vuheavy    vuheavy-tc
work_ms                           30.601        30.223        30.029        30.642        31.278        30.494        30.904
update_ms                          7.912         7.820         7.764         7.693         7.856         7.839         7.995
submit_ms                         21.135        20.852        20.708        21.397        21.862        21.104        21.360
finish_ms                          1.554         1.551         1.557         1.552         1.560         1.551         1.549
present_ms                        12.775        13.070        13.348        12.735        12.183        12.883        12.640
bounds_included_ms                 3.024         3.005         3.002         3.038         3.044         3.073         3.038
prepare_included_ms                1.667         1.620         1.614         1.672         1.670         1.661         1.621
dispatch_included_ms              10.448        10.155        10.105        10.711        11.145        10.406        10.611
packet_included_ms                 1.456         1.415         1.401         1.467         1.475         1.417         1.386
dma_included_ms                    1.056         1.033         1.023         0.879         0.887         1.049         1.014
vif_wait_included_ms               3.813         3.640         3.631         3.809         3.826         3.746         4.144
flushes                           60.746        58.942        58.942        60.746        60.821        60.342        58.933
triangles                      12501.071     12157.087     12156.721     12501.071     12525.129     12491.808     12155.929
reuploads                          0.000         0.000         0.000         0.000         0.000         0.000         0.000
