frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.225403,2.001770,43.375529,1.847321,7.516930,59.965183,4.830895,4.917728,23.366289,3.158369,2.443159,8.554450,143,28106,8,8
121,0,6.918505,2.035136,38.151462,1.891897,13.002628,59.964491,4.126417,4.932505,19.004856,2.613176,1.994154,6.348887,117,23227,12,12
122,0,2.884359,2.057597,37.436490,1.823876,17.812585,59.957309,4.193180,3.996667,19.330661,2.644409,1.978824,6.836975,116,23227,4,4
123,0,2.817206,1.995524,39.759555,1.863759,15.524214,59.964735,4.511108,5.886980,19.541528,2.663598,2.354268,6.496172,130,23227,27,27
124,0,2.859117,1.991170,43.324483,1.873227,11.907216,59.964044,4.987345,5.253733,22.893802,3.217709,2.430010,8.227356,142,28106,10,10
125,0,22.450080,2.026855,38.127319,1.793806,17.592919,79.964125,4.313422,5.110833,18.761173,2.602603,2.027208,6.528490,117,23227,12,12
126,0,2.836534,2.014872,37.722473,1.849002,17.556522,59.964532,4.356862,3.907725,19.304369,2.674276,1.944923,6.968496,116,23227,4,4
127,0,2.844204,2.018209,53.958591,1.872976,1.288598,59.964369,4.343842,5.884071,19.563439,2.775831,2.214966,6.615807,130,23227,27,27
128,0,2.832011,2.013835,43.199626,1.823795,12.075226,59.930657,4.680650,5.218418,22.878577,3.095330,2.510274,8.243737,142,28106,10,10
129,0,11.501227,2.022705,38.051873,1.821943,8.588918,59.963962,4.126231,5.022692,18.997267,2.659251,2.096191,6.571381,117,23227,12,12
130,0,2.899828,2.046468,37.330661,1.838789,17.887828,59.957106,4.346469,3.745222,19.451291,2.595591,2.123440,6.769765,116,23227,4,4
131,0,2.815294,2.028402,39.783969,1.955529,15.408844,59.963637,4.285628,5.933075,19.782328,2.590162,2.257378,6.723212,130,23227,26,26
132,0,2.843411,2.015869,43.377279,2.113237,11.635142,59.969069,4.800415,5.246643,22.908325,3.282830,2.402100,8.213972,142,28106,10,10
133,0,7.007792,2.000224,37.994141,1.819672,13.137170,59.958774,4.408488,4.760715,18.733731,2.497118,1.991503,6.535360,117,23227,12,12
134,0,2.811266,2.018392,37.228271,1.838850,18.085432,59.963820,4.169793,3.963904,19.153592,2.519955,2.061279,6.748901,116,23227,4,4
135,0,2.845059,2.020508,40.019463,1.837189,15.229435,59.931146,4.436435,6.038123,19.857900,2.750007,2.242340,6.770718,130,23227,27,27
136,0,2.822611,2.030640,43.599738,1.822595,11.719181,59.964125,4.738641,5.101274,23.406175,3.337209,2.591122,8.182427,142,28106,10,10
137,0,70.569973,2.040324,38.439189,2.034481,8.920502,119.964145,4.219208,5.085985,19.107059,2.537106,2.162852,6.604635,117,23227,12,12
138,0,2.870755,2.033630,37.610345,1.794986,17.681671,59.957757,4.497158,3.644382,19.360569,2.600949,2.079135,6.634898,116,23227,4,4
139,0,2.815294,2.022013,38.093641,1.807872,17.247684,59.964491,4.338179,4.332865,19.289334,2.563819,2.020145,7.087558,117,23227,6,6
140,0,2.823120,2.008016,48.360806,1.941769,6.805715,59.931410,4.984826,9.582987,23.501170,3.234087,2.718235,7.722860,165,28106,60,60
141,0,11.093126,2.022847,38.276238,1.853641,8.741567,59.964572,4.444346,5.037221,18.848843,2.597246,2.034515,6.521651,116,23227,13,13
142,0,2.829719,2.037354,42.032138,1.847944,13.254140,59.963942,4.362942,8.161960,19.494012,2.750763,2.401608,6.388292,138,23227,45,45
143,0,2.887756,1.988973,38.331916,1.946048,16.832828,59.998549,4.525686,4.721914,19.207035,2.706401,2.110480,6.372728,116,23227,11,11
144,0,2.837084,2.048319,46.894952,1.845144,8.352726,59.929905,4.940314,8.866523,22.776954,3.207598,2.702064,7.566596,157,28106,48,48
145,0,11.456000,2.050191,38.449049,1.889720,8.136763,59.931532,4.206424,5.457743,18.876709,2.537944,2.018670,6.671258,116,23227,12,12
146,0,2.846768,2.053060,42.250481,2.164968,12.702884,59.965101,4.471951,8.067329,19.668888,2.645582,2.333279,6.401120,138,23227,46,46
147,0,2.918620,2.063416,38.231913,1.837507,16.968719,59.956760,4.253760,4.813182,19.243802,2.686832,2.071960,6.479662,116,23227,11,11
148,0,2.829658,2.041463,47.222751,2.218346,7.693085,59.963840,4.868951,8.813541,23.135881,3.195462,2.619636,7.627699,157,28106,48,48
149,0,7.443258,2.034098,38.245144,1.887611,12.388214,59.964227,4.066094,5.098870,19.091560,2.579186,2.061300,6.711226,116,23227,12,12
150,0,17.616075,2.072652,42.651286,1.814612,17.882355,79.964328,4.178833,8.237644,20.365065,2.768443,2.389174,6.472371,138,23227,46,46
151,0,2.845262,2.048381,39.003594,2.157250,15.925527,59.931634,4.808153,4.717119,19.446120,2.634800,1.949578,6.323429,117,23299,11,11
152,0,2.845445,2.043986,47.533834,1.863766,7.721181,59.964227,5.027666,8.799723,23.040575,3.128828,2.630839,7.615323,158,28178,48,48
153,0,8.026028,2.030111,38.740736,1.870426,11.326976,59.964166,4.635329,4.940331,19.158067,2.539032,1.980411,6.562836,117,23299,12,12
154,0,9.907620,2.061930,42.511976,1.816878,5.727793,59.964267,4.551385,8.327050,19.702667,2.602485,2.363936,6.435065,139,23299,46,46
155,0,2.859707,2.057414,38.180311,1.857364,17.066925,59.964308,4.444244,4.764286,19.207079,2.550171,2.148085,6.542474,117,23299,11,11
156,0,2.938768,2.070089,101.449320,2.205204,13.391951,119.985243,6.831390,8.713331,23.811259,3.121799,2.712409,7.773502,162,28785,48,48
157,0,7.034512,2.020732,40.626567,1.815392,10.459781,59.936252,4.483826,4.783915,21.158515,2.953800,2.178012,7.237000,124,24914,12,12
158,0,2.859707,2.053304,44.299432,1.839013,10.966332,59.964484,4.430640,8.205143,21.418840,2.841631,2.386607,7.106408,146,24962,46,46
159,0,2.912679,2.005859,40.446716,1.831546,14.773075,59.964016,4.326341,4.828834,21.188134,2.910112,2.296346,7.344611,125,25490,11,11
160,0,2.894206,2.052531,49.375210,1.847124,5.848256,59.964796,5.231021,8.961090,24.814012,3.375651,2.758884,8.548781,165,30384,48,48
161,0,6.818000,2.038879,58.924920,1.889604,12.331431,79.963955,4.598399,5.059269,20.683241,2.819817,2.279426,7.377353,124,25505,12,12
162,0,71.227017,2.040527,44.826491,2.060306,1.850718,119.964532,4.595971,8.394243,21.463545,2.770260,2.617957,7.420851,146,25505,46,46
163,0,2.906359,2.061178,40.222005,1.859589,14.969716,59.957669,4.450996,4.958462,20.791541,2.900825,2.257667,7.647647,124,25505,11,11
164,0,2.895148,2.057780,49.692586,1.853329,5.545400,59.986464,5.120650,8.945302,24.989553,3.482907,2.982805,8.859507,165,30384,48,48
165,0,7.132751,2.045898,40.498481,1.817685,10.492340,59.941257,4.407552,5.436900,20.670648,2.961629,2.194604,7.515778,124,25505,12,12
166,0,7.211833,2.076477,44.386644,1.875973,6.490122,59.964572,4.485118,8.695530,21.241421,2.795336,2.475803,7.422119,146,25505,46,46
167,0,2.918566,1.999898,40.342319,1.829641,14.873071,59.963596,4.360738,5.217122,20.875810,3.097202,2.237803,7.537184,124,25505,11,11
168,0,2.874247,2.062398,49.134732,1.818037,6.104719,59.931736,5.238003,9.026306,24.486623,3.601352,2.636895,8.732330,165,30384,48,48
