frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,7.087816,2.013957,42.315464,1.823612,8.705536,59.932427,4.937242,5.033990,22.040073,3.118666,2.378828,7.390900,143,28106,8,8
121,0,6.830451,2.041728,37.425090,2.126624,13.582204,59.964369,4.545200,4.702525,18.058716,2.453830,1.990356,5.904843,117,23227,12,12
122,0,2.859911,2.034017,36.406243,2.195153,18.503448,59.964756,4.192156,3.923401,18.414215,2.575046,2.204339,5.849820,116,23227,4,4
123,0,2.853455,2.028524,39.052375,1.956221,16.102034,59.964084,4.418813,5.696794,19.098280,2.631232,2.361657,5.739037,130,23227,27,27
124,0,2.855225,2.028117,42.092285,1.890662,13.148312,59.986484,4.787432,4.835063,22.129852,3.200470,2.679979,7.030114,142,28106,10,10
125,0,20.470832,2.039062,37.244446,1.811568,0.414452,59.941298,4.444312,4.642873,18.223158,2.609823,2.047936,5.829848,117,23227,12,12
126,0,2.858812,1.995544,36.335768,2.209707,18.560184,59.964471,4.462531,3.722334,18.070333,2.610623,2.024940,6.022922,116,23227,4,4
127,0,2.833035,2.020793,53.231384,1.873695,2.025950,59.964064,4.346547,5.747369,19.062724,2.673994,2.318254,5.751258,130,23227,27,27
128,0,2.802233,2.011454,42.338684,1.895877,12.921329,59.958123,4.910319,5.011414,22.050422,3.256344,2.477471,7.059645,142,28106,10,10
129,0,11.162415,2.025208,37.501750,1.819156,9.480764,59.964084,4.380212,4.860535,18.275058,2.589810,2.025482,5.824032,117,23227,12,12
130,0,2.805691,2.017985,36.489231,2.141544,18.527232,59.963698,4.339203,3.921380,18.381666,2.539561,2.074748,6.069275,116,23227,4,4
131,0,2.871955,2.017721,38.832513,2.141930,16.117747,59.964145,4.283651,5.914578,18.730262,2.701599,2.254703,5.728119,130,23227,26,26
132,0,2.815084,2.024089,42.320523,2.241981,12.586416,59.964003,4.920125,5.067722,21.922367,3.266303,2.321971,7.198347,142,28106,10,10
133,0,8.255907,2.017476,37.381592,1.833900,12.502452,59.973850,4.566233,4.705156,18.100379,2.518521,2.166060,5.879832,117,23227,12,12
134,0,2.815436,2.025818,36.568075,2.172346,18.398929,59.954787,4.361582,3.838243,18.420044,2.511366,2.094177,5.961090,116,23227,4,4
135,0,2.885668,2.034505,38.850457,1.858510,16.369571,59.964206,4.285417,5.733907,18.936917,2.796254,2.145450,5.775414,130,23227,27,27
136,0,2.822761,2.034973,42.417948,1.878733,12.844988,59.964430,4.737311,5.037723,22.279215,3.220500,2.665015,7.385583,142,28106,10,10
137,0,70.469591,2.023885,37.319967,1.818180,10.349328,119.957065,4.380520,4.700504,18.249315,2.652218,2.112471,5.928104,117,23227,12,12
138,0,2.845968,2.024923,36.712423,1.952091,18.453847,59.964328,4.469760,3.653039,18.434102,2.667935,1.920831,6.024628,116,23227,4,4
139,0,2.897583,2.005107,37.229540,1.832150,18.004812,59.964084,4.444204,4.283437,18.303748,2.534051,2.046085,6.023709,117,23227,6,6
140,0,2.806729,2.018921,47.681186,1.893904,7.582001,59.963820,5.179253,9.598229,22.480116,3.276798,2.802131,7.040843,165,28106,60,60
141,0,11.113959,2.018921,37.494181,1.833757,9.522247,59.964145,4.342421,4.992269,18.354001,2.550754,2.008698,5.817183,116,23227,13,13
142,0,2.860033,2.034078,41.623250,1.913754,13.598962,59.995999,4.341176,8.121257,19.019141,2.720822,2.377011,5.723002,138,23227,45,45
143,0,2.858181,2.040385,37.197503,2.198781,17.677962,59.932427,4.261261,4.893138,18.124461,2.620334,1.921994,5.704793,116,23227,11,11
144,0,2.828939,2.036479,46.018134,1.913110,9.204105,59.964288,4.840281,8.622565,22.138614,3.132009,2.733968,6.897583,157,28106,48,48
145,0,10.758931,2.034932,37.585863,2.130273,9.482242,59.957309,4.372128,5.055172,18.242035,2.779772,2.027256,5.744259,116,23227,12,12
146,0,2.854011,2.049113,41.396342,1.888818,13.825199,59.964369,4.303274,7.907657,19.296828,2.600833,2.373101,5.791517,138,23227,46,46
147,0,2.835978,2.043966,37.410889,1.848819,17.868418,59.964105,4.158447,5.057078,18.351576,2.613393,2.011353,5.770643,116,23227,11,11
148,0,2.834188,2.044861,46.461697,2.148821,8.519257,59.963962,5.209001,8.750305,22.362528,3.165866,2.755578,6.818495,157,28106,48,48
149,0,7.162971,2.031311,37.439148,1.879411,13.482941,59.964471,4.383297,4.868106,18.229953,2.614482,1.984772,5.739973,116,23227,12,12
150,0,16.005459,2.049723,41.635512,2.100610,0.222158,59.963738,4.332845,8.324931,19.070119,2.629300,2.368663,5.832815,138,23227,46,46
