frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.806027,2.025757,23.478736,1.020538,12.638221,39.943522,2.216183,2.423553,13.231496,1.701019,1.835154,4.854706,105,36868,0,0
121,0,2.869971,1.991937,23.454647,1.016585,12.621931,39.963135,2.099647,2.432031,13.387861,1.863047,1.909929,4.794932,105,36868,0,0
122,0,2.842092,2.030979,23.689416,1.046695,12.385176,39.963379,2.188944,2.566786,13.342990,1.835544,1.836009,4.782745,105,36868,0,0
123,0,2.783071,2.006951,23.305484,1.016951,12.827437,39.932943,2.142307,2.435282,13.324337,1.680589,1.953712,4.791606,105,36868,0,0
124,0,2.829057,1.986844,23.520891,1.018070,12.595361,39.963379,2.105974,2.605937,13.205539,1.889184,1.761112,4.784258,105,36868,0,0
125,0,2.826657,2.014350,23.495622,1.066830,12.625851,40.014960,2.212565,2.568027,13.248786,1.708327,1.871328,4.876509,105,36868,0,0
126,0,2.786428,2.007453,23.411584,1.023400,12.690148,39.911560,2.016001,2.427470,13.437005,1.808726,1.839006,4.764557,105,36868,0,0
127,0,2.835826,2.021213,23.505374,1.031538,12.591170,39.963908,2.052487,2.706577,13.172814,1.767968,1.911384,4.830661,105,36868,0,0
128,0,2.794939,2.014350,23.634254,1.017893,12.515825,39.962911,2.113905,2.519307,13.405582,1.665168,1.880951,4.941874,105,36868,0,0
129,0,2.854733,2.019497,23.413774,1.040551,12.676863,39.985921,2.148892,2.466617,13.281169,1.747515,1.834469,4.740784,105,36868,0,0
130,0,2.825578,2.018948,23.406511,1.017012,12.691166,39.940267,2.012075,2.597443,13.183448,1.800005,1.916484,4.636509,105,36868,0,0
131,0,2.779551,2.001316,23.277245,1.017459,12.882185,39.956441,2.052565,2.466749,13.366367,1.803796,1.842753,4.668783,105,36868,0,0
132,0,2.863217,1.978387,23.498023,1.022932,12.579329,39.963501,2.083035,2.428816,13.337772,1.784654,1.874922,4.915219,105,36868,0,0
133,0,2.861192,2.012973,23.420376,1.021406,12.674340,39.977315,2.193451,2.611562,13.251204,1.879649,1.947510,4.755463,105,36868,0,0
134,0,2.774329,1.995192,23.364600,1.021549,12.789025,39.949504,2.137665,2.470384,13.323832,1.750987,1.861013,4.711263,105,36868,0,0
135,0,2.846025,2.037259,23.427466,1.021840,12.668108,39.963440,2.165046,2.477970,13.448046,1.806315,2.066233,4.728916,105,36868,0,0
