frame,phase,update_ms,vehicles_included_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
120,0,2.823018,1.983134,23.720032,1.059574,12.383067,39.985691,2.080471,2.539117,13.396362,1.593211,2.042440,4.893663,106,35061,0,0
121,0,2.784932,2.007840,23.881524,1.015913,12.260067,39.942437,2.042881,2.602956,13.502248,1.780775,1.929749,4.917270,106,35061,0,0
122,0,2.796875,1.986064,23.874403,1.015696,12.288320,39.975294,2.051103,2.544729,13.657050,1.635610,2.159241,4.928928,106,35061,0,0
123,0,2.832906,2.024462,23.780592,1.014353,12.323924,39.951775,2.067698,2.459093,13.446659,1.745643,1.916534,5.081061,106,35061,0,0
124,0,2.847792,1.986735,23.839681,1.039825,12.244863,39.972161,2.049795,2.717950,13.399085,1.678209,1.940823,5.003913,106,35061,0,0
125,0,2.795593,2.017110,23.829427,1.020253,12.309391,39.954664,2.251129,2.532817,13.317613,1.679708,1.788052,4.926653,106,35061,0,0
126,0,2.868612,2.026699,23.968811,1.017459,12.108693,39.963576,1.968652,2.359016,13.844964,1.802975,1.945794,5.102712,106,35061,0,0
127,0,2.830770,2.023220,23.843357,1.020179,12.269392,39.963698,2.099013,2.443434,13.502279,1.713074,2.065582,4.956170,106,35061,0,0
128,0,2.841003,1.985575,24.027520,1.015337,12.079390,39.963250,2.147749,2.537398,13.591180,1.705929,1.961477,5.077881,106,35061,0,0
129,0,2.795634,2.018311,23.944411,1.046933,12.176700,39.963677,2.086066,2.478699,13.597215,1.839433,1.992184,4.944719,106,35061,0,0
130,0,2.891642,2.050598,23.834554,1.021122,12.227441,39.974759,2.033685,2.449215,13.519216,1.837189,1.999624,4.911523,106,35061,0,0
131,0,2.809285,2.030667,23.767409,1.041480,12.327796,39.945970,2.007599,2.577959,13.405209,1.728960,1.959873,4.917619,106,35061,0,0
132,0,2.819614,1.970723,23.987712,1.018450,12.137536,39.963311,2.090407,2.525004,13.574470,1.759318,2.005117,5.070401,106,35061,0,0
133,0,2.808716,2.017626,23.705872,1.023753,12.425642,39.963982,2.037306,2.431997,13.486705,1.727634,1.993829,4.891995,106,35061,0,0
134,0,2.838718,2.025072,23.982971,1.019304,12.121911,39.962904,1.927127,2.646142,13.499464,1.680010,1.973779,5.058529,106,35061,0,0
135,0,2.805990,2.027100,23.738383,1.015127,12.404422,39.963921,2.014672,2.447879,13.340217,1.716685,2.007704,4.848585,106,35061,0,0
136,0,2.862895,2.018921,23.894423,1.015798,12.190379,39.963494,1.965861,2.543003,13.537676,1.676144,1.972961,5.039900,106,35061,0,0
137,0,2.797831,2.019023,23.821242,1.043291,12.301395,39.963759,2.098555,2.518721,13.515164,1.697947,1.968587,5.025343,106,35061,0,0
138,0,2.850952,2.040982,23.887716,1.021352,12.203617,39.963637,1.931664,2.637885,13.476501,1.710327,1.947506,4.928860,106,35061,0,0
139,0,2.845825,2.036621,23.813741,1.020477,12.283613,39.963657,1.977810,2.547533,13.583011,1.676080,1.984311,5.047638,106,35061,0,0
140,0,2.825202,1.984165,23.854160,1.024289,12.229719,39.933370,1.892910,2.611606,13.444773,1.715023,1.965552,4.899685,106,35061,0,0
141,0,2.799065,2.019307,23.750007,1.089562,12.374474,40.013109,2.232496,2.439426,13.424303,1.670885,1.893517,4.928151,106,35061,0,0
142,0,2.792243,2.014045,23.963698,1.043576,12.114729,39.914246,2.119449,2.593896,13.520070,1.632467,1.985358,4.977661,106,35061,0,0
143,0,2.825765,2.011353,23.762953,1.051897,12.322208,39.962823,2.089193,2.452091,13.427575,1.774763,1.874766,4.980540,106,35061,0,0
144,0,2.850464,2.041402,23.893311,1.014374,12.215844,39.973992,2.276191,2.495700,13.392802,1.734066,1.859416,4.991404,106,35061,0,0
145,0,2.814697,2.034838,23.815972,1.014258,12.301904,39.946832,2.059577,2.378703,13.641106,1.773363,1.923832,5.165938,106,35061,0,0
146,0,2.803128,2.014526,23.815186,1.020633,12.293176,39.932122,2.259593,2.465224,13.326867,1.725549,1.970924,4.890157,106,35061,0,0
147,0,2.831014,1.980509,23.964064,1.045787,12.149377,39.990241,2.220710,2.505907,13.780199,1.716844,1.971490,5.086738,106,35061,0,0
148,0,2.798394,2.020650,23.824666,1.021868,12.291955,39.936883,1.952420,2.510590,13.648014,1.788222,1.893921,4.992286,106,35061,0,0
149,0,2.827332,2.016649,23.736877,1.049381,12.369375,39.982964,1.991808,2.514360,13.489519,1.634542,2.039775,5.028066,106,35061,0,0
150,0,2.793701,2.016093,23.970256,1.046844,12.133304,39.944105,2.027886,2.530409,13.615970,1.761420,2.023268,4.903870,106,35061,0,0
151,0,2.791646,1.980075,23.767619,1.062083,12.341719,39.963067,2.003347,2.504537,13.475393,1.635712,2.009464,4.942461,106,35061,0,0
